"","corr...38. R","corr...38. sig","massloss R","massloss sig","cellulase R","cellulase sig","chitinase R","chitinase sig","phosphatase R","phosphatase sig","protease R","protease sig","phenoloxydase R","phenoloxydase sig","peroxydase R","peroxydase sig","cellulase2phenolxydase R","cellulase2phenolxydase sig","cellulase2peroxydase R","cellulase2peroxydase sig","chitinase2phenoloxydase R","chitinase2phenoloxydase sig","chitinase2peroxydase R","chitinase2peroxydase sig","phosphatase2phenoloxydase R","phosphatase2phenoloxydase sig","phosphatase2peroxydase R","phosphatase2peroxydase sig","protase2phenoloxydase R","protase2phenoloxydase sig","protease2peroxydase R","protease2peroxydase sig","aa_conc R","aa_conc sig","g_prot_depoly R","g_prot_depoly sig","g_aa_immo R","g_aa_immo sig","g_n_min R","g_n_min sig","g_nh4_immo R","g_nh4_immo sig","g_nitrifi R","g_nitrifi sig","g_n03_immo R","g_n03_immo sig","g_p_min R","g_p_min sig","g_p_immo R","g_p_immo sig","g_glucan_depoly R","g_glucan_depoly sig","net_glucan_depoly R","net_glucan_depoly sig","g_glucose_consumption R","g_glucose_consumption sig","glucose_conc R","glucose_conc sig","C_mic R","C_mic sig","N_.mic R","N_.mic sig","P_mic R","P_mic sig","C.N_mic R","C.N_mic sig","C.Pmic R","C.Pmic sig","N.Pmic R","N.Pmic sig","total.PFLA.content R","total.PFLA.content sig","identified.PLFA.content R","identified.PLFA.content sig","approx..Fungal.Biomass R","approx..Fungal.Biomass sig","main.fungal.marker.18.2.9.12.c R","main.fungal.marker.18.2.9.12.c sig","Sum.of.gram.positiv.markers R","Sum.of.gram.positiv.markers sig","Sum.of.general.bacterial.markers.incl..gram. R","Sum.of.general.bacterial.markers.incl..gram. sig","ratioF.B.1 R","ratioF.B.1 sig","ratioF.B.2 R","ratioF.B.2 sig","ratioF.B.3 R","ratioF.B.3 sig","al R","al sig","ar R","ar sig","bf R","bf sig","c R","c sig","cp R","cp sig","cut0 R","cut0 sig","cut1 R","cut1 sig","f R","f sig","g R","g sig","ind R","ind sig","o R","o sig","p R","p sig","ph R","ph sig","Ph R","Ph sig","short R","short sig","sy R","sy sig","ter R","ter sig","unk R","unk sig","al.1 R","al.1 sig","C R","C sig","Cut R","Cut sig","L R","L sig","N R","N sig","non R","non sig","Ph.1 R","Ph.1 sig","unk.1 R","unk.1 sig","adf R","adf sig","cellulose R","cellulose sig","llignin_extr R","llignin_extr sig","starch R","starch sig","C_lit R","C_lit sig","N_lit R","N_lit sig","P_lit R","P_lit sig","C.N_lit R","C.N_lit sig","C.P_lit R","C.P_lit sig","N.P_lit R","N.P_lit sig","NH4.concentration R","NH4.concentration sig","NO3.concentration R","NO3.concentration sig","PO4.concentration R","PO4.concentration sig","DOC R","DOC sig","TN R","TN sig","DON R","DON sig","K.litter R","K.litter sig","CA.litter R","CA.litter sig","MG.litter R","MG.litter sig","FE.litter R","FE.litter sig","MN.litter R","MN.litter sig","ZN.litter R","ZN.litter sig","corr...60. R","corr...60. sig","recidx R","recidx sig","L_PH R","L_PH sig"
"corr...38.","1","***","0.389702246936547",".","0.801629387038197","***","0.921449485173478","***","0.786545317299148","***","0.171605310932402","n.s.","0.762177362663067","***","0.786805517342038","***","0.196135037027262","n.s.","0.382806431016665",".","0.510001235725849","*","0.642339996816367","**","-0.692787367144591","***","-0.704307462950438","***","-0.757628226816427","***","-0.803955930858463","***","0.798734066756742","***","0.470585174271953","*","0.415654940560012",".","0.826997215862914","***","0.821613129847192","***","0.78673514670189","***","0.72781200484149","***","0.636517383402838","**","0.419062880612672",".","0.259821880596767","n.s.","-0.5262003657803","*","0.428200791996546",".","0.51611457736279","*","0.491366361485105","*","0.201162676535808","n.s.","-0.179662350684108","n.s.","0.629439187863594","**","0.641220388206662","**","0.534105913056338","*","0.226923964016507","n.s.","0.236088346159596","n.s.","-0.153330093211042","n.s.","-0.153329995262637","n.s.","0.0269202637464469","n.s.","0.367644350515934","n.s.","-0.169985685139142","n.s.","-0.17762667995836","n.s.","-0.856510391225468","***","0.771907238580808","***","0.8292912127231","***","-0.598080409784569","**","-0.742017878235343","***","0.613710336523477","**","0.825770470778757","***","0.796744198201584","***","-0.837237534511769","***","0.301958232274109","n.s.","0.704416944133655","***","-0.279258845749488","n.s.","0.664694444144918","**","0.268773215486337","n.s.","-0.0971009878918498","n.s.","0.234099152917675","n.s.","0.381042079559618",".","-0.76782905972201","***","-0.686217459270492","***","0.511107070433732","*","-0.793902036324672","***","0.851611743752068","***","0.344316916321678","n.s.","0.704703234482667","***","0.373668317977469","n.s.","-0.0939720320497718","n.s.","-0.79558520471376","***","-0.285415513440256","n.s.","-0.356772757029409","n.s.","-0.237335826521747","n.s.","-0.125128805313317","n.s.","0.0830687474694275","n.s.","0.808811597882483","***","0.267681519598076","n.s.","-0.827385067791151","***","-0.0927074042376873","n.s.","0.179376155108178","n.s.","0.799249408941265","***","0.694562520478195","***","0.154408601455594","n.s.","0.857277265763054","***","0.835991230229033","***","-0.76938186805401","***","0.736695274283074","***","-0.547664672142536","*","-0.602150289951327","**","-0.470308652477665","*","0.701395646030906","***","0.403714728491159",".","0.175075521235808","n.s.","-0.722609978303449","***","0.459361194067342","*"
"massloss","0.389702246936547",".","1","***","0.494535753027568","*","0.422244835243641",".","0.193705624688418","n.s.","0.171855023773241","n.s.","0.581163013015604","**","0.545621740363371","*","-0.285469764243135","n.s.","-0.0858375360150698","n.s.","-0.261274782753508","n.s.","-0.10605453798072","n.s.","-0.469781437617866","*","-0.354515643964942","n.s.","-0.284810693839663","n.s.","-0.23780636831118","n.s.","0.388569226766983",".","0.340796018023714","n.s.","0.555388935237953","*","0.295338840320438","n.s.","0.282706109330116","n.s.","0.60195841587725","**","0.548874757487523","*","0.427422309813154",".","0.403318649673097",".","0.249079257498516","n.s.","-0.253172627076415","n.s.","0.258075777553554","n.s.","0.0421100069333826","n.s.","0.738969022683414","***","0.716091402206491","***","0.523049246024441","*","0.283653132079591","n.s.","0.263526845025829","n.s.","0.127346555283678","n.s.","0.36900421104504","n.s.","0.377139233080722","n.s.","0.310026875160078","n.s.","0.310026541060768","n.s.","0.027690286251397","n.s.","0.377351286494203","n.s.","0.264879275305005","n.s.","0.198083675240454","n.s.","-0.140789072500831","n.s.","0.371108970000665","n.s.","0.192853938058801","n.s.","-0.300551019981931","n.s.","-0.218205035993792","n.s.","0.0335530230672047","n.s.","0.194583024600787","n.s.","0.423699056820473",".","-0.241765237238047","n.s.","0.179339118738859","n.s.","0.529760012585651","*","-0.0996207449771606","n.s.","0.506932247107012","*","-0.0308613193755436","n.s.","-0.178912193785413","n.s.","-0.194330715319457","n.s.","0.210236262564637","n.s.","-0.234494973002428","n.s.","-0.0460540991542015","n.s.","0.535131565310854","*","-0.274038408401662","n.s.","0.34058574663262","n.s.","0.198043490435033","n.s.","0.535878258648324","*","-0.147447467026685","n.s.","-0.177831336078298","n.s.","-0.248511921886178","n.s.","-0.363981370062033","n.s.","-0.342886153582463","n.s.","-0.354761087327838","n.s.","-0.208749339276359","n.s.","0.128664430138871","n.s.","0.472608475950436","*","0.568194407361159","**","-0.449252298348977","*","-0.491544094898556","*","-0.373201987962146","n.s.","0.533231385646964","*","0.321798046130796","n.s.","0.410855471279427",".","0.49457609356852","*","0.311085110971953","n.s.","-0.63084278584251","**","0.248670304476642","n.s.","-0.165542224574004","n.s.","0.0125136407238353","n.s.","-0.278424043921542","n.s.","0.343351617113241","n.s.","0.293518781453416","n.s.","0.358989293241891","n.s.","-0.0510600205450587","n.s.","-0.00243374779326924","n.s."
"cellulase","0.801629387038197","***","0.494535753027568","*","1","***","0.940941076752013","***","0.733666534590998","***","0.261998659136668","n.s.","0.922581228475999","***","0.947446584148023","***","0.350814826022934","n.s.","0.546391220740744","*","0.450973967198128","*","0.558687137280218","*","-0.759552681883047","***","-0.844669676871047","***","-0.774830926002064","***","-0.892818745132119","***","0.813566380790546","***","0.591169198225558","**","0.422795110058285",".","0.852778963937564","***","0.853572350069915","***","0.934256723680323","***","0.927186361731893","***","0.68310654948872","**","0.235360246134886","n.s.","0.268342739624699","n.s.","-0.383370403350849","n.s.","0.372336802217099","n.s.","0.380755317179758",".","0.670575908778456","**","0.282939949830881","n.s.","-0.211901978986776","n.s.","0.839032568297045","***","0.857483259593299","***","0.712107304974936","***","0.419941436040953",".","0.423967925443105",".","0.194869832736956","n.s.","0.194869755994474","n.s.","0.148458951979902","n.s.","0.500406242430001","*","0.0435672465081856","n.s.","-0.0146906215641484","n.s.","-0.704580947783875","***","0.653530322560672","**","0.742035459735277","***","-0.826550831726308","***","-0.553622115445809","*","0.824271788092178","***","0.816433871852052","***","0.936744366123104","***","-0.767724251908384","***","0.662609909418057","**","0.491696880444806","*","-0.297148140255209","n.s.","0.597188137705026","**","-0.0606083393492747","n.s.","-0.45862100406971","*","0.169293061150845","n.s.","0.622751484134255","**","-0.896433264815801","***","-0.542491865346866","*","0.376263882116588","n.s.","-0.616812766636507","**","0.930339869899846","***","0.669878011009309","**","0.603507661412222","**","0.241507409096551","n.s.","-0.45568561133674","*","-0.881254336152962","***","-0.588377221347966","**","-0.611487153161535","**","-0.546884933288158","*","-0.0182217669133664","n.s.","-0.214034901732473","n.s.","0.78801509029239","***","0.502815125582709","*","-0.83933822963539","***","-0.364744114179508","n.s.","-0.100115456184159","n.s.","0.948696359299303","***","0.66742334452688","**","0.483920182526433","*","0.970245823828092","***","0.912002300230387","***","-0.916569568978073","***","0.664279043621355","**","-0.332570354712523","n.s.","-0.640639477023692","**","-0.260381786611167","n.s.","0.791618571816288","***","0.596903958271171","**","0.230145370987763","n.s.","-0.646726756511464","**","0.309300644624817","n.s."
"chitinase","0.921449485173478","***","0.422244835243641",".","0.940941076752013","***","1","***","0.793291842806449","***","0.334440257947381","n.s.","0.89093448252324","***","0.929425198014128","***","0.303790239301115","n.s.","0.493953308890555","*","0.54901366408372","*","0.667696965613905","**","-0.781924151085254","***","-0.84844240126533","***","-0.78994060223838","***","-0.889857780745547","***","0.802491994482516","***","0.608258283866066","**","0.403570831972921",".","0.861697752752175","***","0.862500923652377","***","0.906510709560751","***","0.865433819543502","***","0.719889787111714","***","0.323207647945738","n.s.","0.235337464974615","n.s.","-0.42482252372817",".","0.367602933438253","n.s.","0.409887980996819",".","0.594192222107973","**","0.220965303913476","n.s.","-0.252662796504786","n.s.","0.794841971877336","***","0.799937709901745","***","0.667717793427036","**","0.260084416665272","n.s.","0.264863642600916","n.s.","-0.0359126512007738","n.s.","-0.0359126405365484","n.s.","0.0531026750368381","n.s.","0.36949070709903","n.s.","-0.0709023960582962","n.s.","-0.117628040991311","n.s.","-0.772484907941426","***","0.710392341623355","***","0.776865810012249","***","-0.766844106036738","***","-0.628081999638862","**","0.767927159594497","***","0.871402357782604","***","0.927076435688629","***","-0.81476517098831","***","0.551063817889174","*","0.57523528225247","**","-0.318581473988331","n.s.","0.604706479004125","**","0.0459853876988627","n.s.","-0.358263334285792","n.s.","0.216532634139319","n.s.","0.585367061722299","**","-0.89711455583777","***","-0.621105225950117","**","0.408544394809236",".","-0.695452101944212","***","0.949847079798462","***","0.58419134866133","**","0.62733677090202","**","0.296839542308512","n.s.","-0.355139242099187","n.s.","-0.877437506438698","***","-0.515321435118149","*","-0.564579162043967","**","-0.465495732390965","*","-0.115529231526186","n.s.","-0.144016982169647","n.s.","0.829062270175316","***","0.42134102024625",".","-0.86583149333927","***","-0.272186551008371","n.s.","0.00901351170949189","n.s.","0.88004743186479","***","0.690756910789811","***","0.372815083438064","n.s.","0.93578488828785","***","0.88189381138345","***","-0.849221801421669","***","0.695687483048315","***","-0.404807949560428",".","-0.684535396339198","***","-0.306357551966617","n.s.","0.780460883331141","***","0.507158302323752","*","0.213122848675668","n.s.","-0.716954688723264","***","0.360077963350294","n.s."
"phosphatase","0.786545317299148","***","0.193705624688418","n.s.","0.733666534590998","***","0.793291842806449","***","1","***","0.326018249375607","n.s.","0.558764946092898","*","0.611230136581425","**","0.478142768496121","*","0.70668747905677","***","0.682849988570465","***","0.810078996898886","***","-0.463480410691154","*","-0.469547768549697","*","-0.613434306190098","**","-0.661237916714656","**","0.767917781119228","***","0.467026184713929","*","0.376994943598346","n.s.","0.586882307374948","**","0.600262987960522","**","0.649366316416314","**","0.649735869533011","**","0.265210573864486","n.s.","0.167885597131707","n.s.","0.120669083971392","n.s.","-0.27728070150942","n.s.","0.242325856950963","n.s.","0.437975338717016",".","0.260793670134193","n.s.","-0.117487012940318","n.s.","-0.485224381205519","*","0.707391600762173","***","0.787056840809844","***","0.717170625561296","***","0.342490999975857","n.s.","0.338294144777017","n.s.","0.0583333472418712","n.s.","0.058333678802042","n.s.","0.350043193133092","n.s.","0.438094294579339",".","-0.318100727942052","n.s.","-0.369480698653222","n.s.","-0.822128135304336","***","0.585263807318322","**","0.713852093008408","***","-0.575555643999163","**","-0.590546244873062","**","0.699212889950716","***","0.78455389804736","***","0.661262449761008","**","-0.819989904450523","***","0.436748131785837",".","0.418301221535521",".","-0.158228536884597","n.s.","0.343249702870249","n.s.","0.21940943477873","n.s.","-0.119045131416583","n.s.","0.189428222969176","n.s.","0.395875582576442",".","-0.763705762285762","***","-0.657481548227776","**","0.179146580978789","n.s.","-0.714623541579908","***","0.752350312986549","***","0.435676426018666",".","0.375355072247604","n.s.","0.289389120909406","n.s.","-0.116189444158118","n.s.","-0.73851820276959","***","-0.203557138643094","n.s.","-0.234403627029426","n.s.","-0.178582633162292","n.s.","-0.175618515904803","n.s.","-0.175681936807955","n.s.","0.499270726302366","*","0.0955969739996154","n.s.","-0.573380740544633","**","0.0677899290230814","n.s.","0.26798897765352","n.s.","0.686651711469683","***","0.687017724258998","***","0.00471159632082993","n.s.","0.739073237851134","***","0.802666526494698","***","-0.633927604151392","**","0.732968275016832","***","-0.437263367376805",".","-0.796622822632892","***","-0.244139567128595","n.s.","0.714506417606613","***","0.592069923982888","**","0.247903227287385","n.s.","-0.757012337721173","***","0.589523572994229","**"
"protease","0.171605310932402","n.s.","0.171855023773241","n.s.","0.261998659136668","n.s.","0.334440257947381","n.s.","0.326018249375607","n.s.","1","***","0.2863592683101","n.s.","0.328153813963182","n.s.","-0.042046725954738","n.s.","0.0610775307391422","n.s.","0.151999810947773","n.s.","0.255943179249328","n.s.","-0.274376847403047","n.s.","-0.351127953946252","n.s.","0.00937156415905925","n.s.","-0.0849872726190093","n.s.","0.0485211745802667","n.s.","0.356001907856594","n.s.","0.03363418813085","n.s.","-0.0296920792265534","n.s.","-0.0174491226306664","n.s.","0.269926419121208","n.s.","0.254516677714681","n.s.","0.132915599501409","n.s.","-0.264080501646183","n.s.","-0.404000422932654",".","0.191022800346657","n.s.","-0.34596755145567","n.s.","-0.246604123558349","n.s.","0.13381359458612","n.s.","-0.0969265976007723","n.s.","-0.176305894137207","n.s.","0.418380190237642",".","0.277170511038726","n.s.","0.111897393003574","n.s.","-0.0497272251790455","n.s.","-0.0612586844345749","n.s.","-0.0292390802188276","n.s.","-0.0292382916091176","n.s.","0.192124753877571","n.s.","-0.049282845540259","n.s.","-0.234395872916015","n.s.","-0.338801246077278","n.s.","-0.158775191814078","n.s.","-0.0909408719671217","n.s.","0.0580685829917615","n.s.","-0.13371119249619","n.s.","0.226957674461484","n.s.","0.113796093448365","n.s.","0.149313451574045","n.s.","0.238087388526484","n.s.","-0.09654197226684","n.s.","0.309791141590202","n.s.","0.0306674851993435","n.s.","-0.161550467597137","n.s.","-0.24664117650265","n.s.","-0.216785402859795","n.s.","-0.231598966214987","n.s.","-0.165102460322722","n.s.","0.178525564304896","n.s.","-0.231942167566344","n.s.","-0.128115623863792","n.s.","-0.188296264170815","n.s.","-0.009249889998795","n.s.","0.209737996972151","n.s.","0.267966252192766","n.s.","-0.200201666750789","n.s.","-0.182485512625933","n.s.","-0.231774390680673","n.s.","-0.107360247355859","n.s.","-0.402361502419565",".","-0.393748992746711",".","-0.385334049842569",".","-0.00637756954339471","n.s.","-0.21539595103788","n.s.","0.0442297454518682","n.s.","0.118365923067515","n.s.","-0.0614886823695234","n.s.","-0.124286215237526","n.s.","-0.106230452003252","n.s.","0.111914346429289","n.s.","0.05521434271618","n.s.","0.13513562871157","n.s.","0.15298764958867","n.s.","0.123605895564625","n.s.","-0.0901839301972686","n.s.","0.0433060284333978","n.s.","0.0742280063048442","n.s.","-0.243327945290342","n.s.","0.201019301950707","n.s.","0.170732962564446","n.s.","0.0875356352643318","n.s.","0.189651625831371","n.s.","-0.104569994617675","n.s.","0.0194177641031636","n.s."
"phenoloxydase","0.762177362663067","***","0.581163013015604","**","0.922581228475999","***","0.89093448252324","***","0.558764946092898","*","0.2863592683101","n.s.","1","***","0.963301970235354","***","0.00211499823281163","n.s.","0.26643274560884","n.s.","0.168703857795363","n.s.","0.361140302416875","n.s.","-0.89923699713515","***","-0.83242113501639","***","-0.820865224965377","***","-0.81720523317581","***","0.741104222890613","***","0.700535803711121","***","0.551554030262504","*","0.851339800964644","***","0.862933476566697","***","0.920311917153366","***","0.910198736521937","***","0.76681159295278","***","0.381133411352481","n.s.","0.286445322441631","n.s.","-0.49400218258534","*","0.427562452160052",".","0.387064807134683",".","0.732239276874725","***","0.455986052785099","*","0.00598299681096133","n.s.","0.68961022681919","***","0.716578951975017","***","0.581709172417497","**","0.287441154309229","n.s.","0.297240971933718","n.s.","0.0811323911623454","n.s.","0.0811322925313909","n.s.","-0.0708769037353993","n.s.","0.373443900251971","n.s.","0.21280429123805","n.s.","-0.0221562750855543","n.s.","-0.596834513335872","**","0.69611185319667","***","0.672924629953893","**","-0.734097266628973","***","-0.506277398867291","*","0.643106686035847","**","0.675587279470462","**","0.88184742954384","***","-0.681747646094495","***","0.54092461511807","*","0.608652564939922","**","-0.296466721988578","n.s.","0.685125288943901","***","-0.025460003966192","n.s.","-0.39302496081933",".","0.106578056580819","n.s.","0.549819253123183","*","-0.754650737960573","***","-0.512340689196772","*","0.579338472352217","**","-0.57658127137306","**","0.833115172358959","***","0.563494077220297","**","0.701724508701338","***","0.180440420469534","n.s.","-0.390273635136304",".","-0.806101776045609","***","-0.55120711467191","*","-0.596877410886598","**","-0.501173130044077","*","-0.123312164274356","n.s.","-0.0221080608863831","n.s.","0.860026255016332","***","0.57410878211393","**","-0.871287375200013","***","-0.437717277450483",".","-0.165982140754809","n.s.","0.900161052096905","***","0.582769913058614","**","0.477129382393599","*","0.89959179402185","***","0.798384526453938","***","-0.897782714544268","***","0.635506005090082","**","-0.41660824383936",".","-0.494876963762463","*","-0.393207671666422",".","0.741610923279147","***","0.557386087121059","*","0.311808229461625","n.s.","-0.538283259366246","*","0.244497219363981","n.s."
"peroxydase","0.786805517342038","***","0.545621740363371","*","0.947446584148023","***","0.929425198014128","***","0.611230136581425","**","0.328153813963182","n.s.","0.963301970235354","***","1","***","0.150390380463379","n.s.","0.293589111810123","n.s.","0.301342379621721","n.s.","0.389721577398402",".","-0.813577253477442","***","-0.90361661567466","***","-0.75045486042479","***","-0.870417506201377","***","0.765930381848033","***","0.686313169085108","***","0.511587997190133","*","0.866643768896287","***","0.869565122523737","***","0.924279763149255","***","0.903396199469873","***","0.780659984136575","***","0.34205316350392","n.s.","0.187174561266561","n.s.","-0.347653255455637","n.s.","0.300732381186496","n.s.","0.273435587747538","n.s.","0.776015212493058","***","0.439663973559272",".","-0.0379580680749262","n.s.","0.783797822698431","***","0.77874312589462","***","0.61396426167252","**","0.266136233211356","n.s.","0.273198548935778","n.s.","0.0941680614822652","n.s.","0.0941680279237515","n.s.","-0.0554088702933099","n.s.","0.337917107594987","n.s.","0.197352180172523","n.s.","0.00550312064714111","n.s.","-0.56484788538309","*","0.644361192434658","**","0.689601847421785","***","-0.80282630784311","***","-0.508160932533627","*","0.720874897799897","***","0.75872028444378","***","0.921598373132239","***","-0.678852819294856","***","0.619770446549489","**","0.534036476713125","*","-0.359370621377883","n.s.","0.670288270270091","**","-0.100317318509439","n.s.","-0.479701799230098","*","0.176736345509789","n.s.","0.601660736890983","**","-0.818337177311077","***","-0.491521194132837","*","0.475030885514452","*","-0.551001196509114","*","0.894858395287896","***","0.634266418096512","**","0.673636090201755","**","0.236034184894737","n.s.","-0.476960248824654","*","-0.847896536696975","***","-0.653639807915203","**","-0.678434033639474","**","-0.607953718637388","**","-0.0919469025505508","n.s.","-0.107403413806325","n.s.","0.851442501267809","***","0.5683619478576","**","-0.874403815756124","***","-0.454237669476543","*","-0.182503124984039","n.s.","0.927291028284533","***","0.585564820122166","**","0.516668793715191","*","0.925119867770602","***","0.818906065434795","***","-0.922515832974597","***","0.583273002428133","**","-0.345029318799098","n.s.","-0.509254645788746","*","-0.308088059408754","n.s.","0.721759686540466","***","0.528711430583189","*","0.255003773601296","n.s.","-0.560112457746688","*","0.194352259749127","n.s."
"cellulase2phenolxydase","0.196135037027262","n.s.","-0.285469764243135","n.s.","0.350814826022934","n.s.","0.303790239301115","n.s.","0.478142768496121","*","-0.042046725954738","n.s.","0.00211499823281163","n.s.","0.150390380463379","n.s.","1","***","0.825647436136538","***","0.865462467884317","***","0.64992053214523","**","0.18122661209523","n.s.","-0.242756119157562","n.s.","-0.0846183309839635","n.s.","-0.421796814258034",".","0.330042187529401","n.s.","-0.0642503932386857","n.s.","-0.24416581816814","n.s.","0.229283715018369","n.s.","0.212148842861058","n.s.","0.259741117400423","n.s.","0.263823287279152","n.s.","0.0252800991384254","n.s.","-0.268828402853046","n.s.","0.112403678083683","n.s.","0.176410377083908","n.s.","0.0199915325203839","n.s.","0.106134276106722","n.s.","-0.139737985038036","n.s.","-0.498070311905232","*","-0.725118293834947","***","0.512776485885966","*","0.506598428965131","*","0.495540839799308","*","0.195245031721829","n.s.","0.183372057623634","n.s.","0.0636764615470549","n.s.","0.0636763375573184","n.s.","0.351381838164937","n.s.","0.2160685465347","n.s.","-0.395041234435774",".","0.0839670152475598","n.s.","-0.387980933258463","n.s.","0.0654043356429954","n.s.","0.245853291529964","n.s.","-0.44139116509034",".","-0.262799095539517","n.s.","0.656681821589407","**","0.571926293877291","**","0.317503551318721","n.s.","-0.376545974731421","n.s.","0.482543641136761","*","-0.270404566345035","n.s.","-0.167806810055378","n.s.","-0.151737477187702","n.s.","-0.0885399882036254","n.s.","-0.313152517178861","n.s.","0.333203547712302","n.s.","0.428781621169782",".","-0.601023070916481","**","-0.210889086332766","n.s.","-0.449014601416719","*","-0.221905561770378","n.s.","0.450880742360383","*","0.477905015726891","*","-0.183869706021914","n.s.","0.266313749572484","n.s.","-0.31156807543398","n.s.","-0.413394428189208",".","-0.194646853288044","n.s.","-0.11798998776922","n.s.","-0.220097911435359","n.s.","0.104597448941256","n.s.","-0.60162667156119","**","0.003475520524316","n.s.","-0.118323882765982","n.s.","-0.104657573359115","n.s.","0.133753122032086","n.s.","0.187756932028769","n.s.","0.258912132557418","n.s.","0.312136053440354","n.s.","0.129671146419773","n.s.","0.33976552113409","n.s.","0.438315697157023",".","-0.166579103841282","n.s.","0.194250102217961","n.s.","0.193306140452933","n.s.","-0.586773790687867","**","0.339886330948377","n.s.","0.290548768065585","n.s.","0.195644206188767","n.s.","-0.112958164350331","n.s.","-0.494240697191146","*","0.251077375107962","n.s."
"cellulase2peroxydase","0.382806431016665",".","-0.0858375360150698","n.s.","0.546391220740744","*","0.493953308890555","*","0.70668747905677","***","0.0610775307391422","n.s.","0.26643274560884","n.s.","0.293589111810123","n.s.","0.825647436136538","***","1","***","0.798150559409335","***","0.852776623327696","***","-0.161757640986479","n.s.","-0.260851135706049","n.s.","-0.398048137260129",".","-0.503488201477087","*","0.475324459456945","*","0.134765353966972","n.s.","-0.057835395555403","n.s.","0.355082499718275","n.s.","0.361219008112064","n.s.","0.458388147904271","*","0.487793753611409","*","0.0831213652188442","n.s.","-0.127976036178549","n.s.","0.293018480884432","n.s.","-0.131817241905753","n.s.","0.285106770344197","n.s.","0.390197784136129",".","-0.076686474961331","n.s.","-0.430607318714976",".","-0.744798994244353","***","0.578587960237872","**","0.657484201199769","**","0.67812751520301","**","0.396339006690419",".","0.388355804885506","n.s.","0.142390042969336","n.s.","0.142389852940375","n.s.","0.472663622280687","*","0.459166041917725","*","-0.436129893788154",".","-0.154288425948203","n.s.","-0.662846565489651","**","0.294581139733607","n.s.","0.404509775651613",".","-0.494080053684657","*","-0.379456738145859",".","0.704645653940866","***","0.611748805698586","**","0.467076822519882","*","-0.588335394767922","**","0.491822330017186","*","-0.0231577993429126","n.s.","-0.0476016540598786","n.s.","-0.0257750134002224","n.s.","0.043840364277378","n.s.","-0.236872531029775","n.s.","0.152172828003396","n.s.","0.477721679164565","*","-0.685609072528789","***","-0.383359089613015",".","-0.211796543794359","n.s.","-0.438376334530693",".","0.557857842619313","*","0.503434264399049","*","-0.0264539995369171","n.s.","0.151131437112576","n.s.","-0.234687340031165","n.s.","-0.528778206920278","*","-0.1472863927225","n.s.","-0.104180517932151","n.s.","-0.159620816317852","n.s.","0.028420258304119","n.s.","-0.546829231472714","*","0.1562950091452","n.s.","0.012426432474238","n.s.","-0.257521649339181","n.s.","0.0919541870004876","n.s.","0.198754916261714","n.s.","0.408303471002588",".","0.509348600390683","*","0.106007972575445","n.s.","0.506780443098699","*","0.605274072995268","**","-0.324584414318475","n.s.","0.496471001962977","*","-0.0305538111805617","n.s.","-0.801481762878864","***","0.142187661254878","n.s.","0.571650836778036","**","0.478677859904544","*","0.080287804432989","n.s.","-0.612756099565143","**","0.466018400742997","*"
