"","X","name","RT","MW","m.z","class","origin","tic","exclude","X.1","sim"
"1","f1","Furan",2.35,"68","39+68","f","C",1.1940583305,FALSE,NA,NA
"2","f2","Methylfuran",2.74,"82","81+82","f","C",0.999770402,FALSE,NA,NA
"3","f3","Methylfuran",2.91,"82","81+82","f","C",0,FALSE,NA,NA
"4","f4","Dimethylfuran",3.43,"96","95+96","f","C",0,FALSE,NA,NA
"5","f5","Dimethylfuran",3.66,"96","95+96","f","C",1.1,FALSE,NA,NA
"6","f6","Vinylfuran",5.01,"94","65+94","f","C",2.5891238115,FALSE,NA,NA
"7","f7","3-Furaldehyd",11.57,"96","95+96","f","C",1.652828514,FALSE,NA,NA
"8","f8","2(5H)Furanon",11.69,"98","55+98","f","C",2.409331274,FALSE,NA,NA
"9","f9","2-Furaldehyd",12.22,"96","95+96","f","C",1.6737352185,FALSE,NA,NA
"10","cp10","Acetylfuran",12.99,"110","95+110","cp","C",2.378797135,FALSE,NA,NA
"11","f11","5-Methyl-2-furancarboxaldehyde",14.23,"110","109+110","f","C",2.440815327,FALSE,NA,NA
"12","cp12","Butyrolactone",15.22,"86","56+86","cp","C",12.373827545,FALSE,NA,NA
"13","cp13","Furanmethanol",15.61,"98","98","cp","C",5.206772312,FALSE,NA,NA
"14","f14","5-Methyl-2(5H)-furanone",16.06,"98","55+98","f","C",3.9163635165,FALSE,NA,NA
"15","f15","5-hydroxymethylfuran1--carboxaldehyde",27.51,"126","97+126","f","C",2.171627102,FALSE,NA,NA
"30","cp1","2-Oxopropanoic Acid, ME",7.92,"102","43+102","cp","C",0.579144112,FALSE,NA,NA
"31","cp2","1-Hydroxypropanone",9.24,"74","43","cp","C",1.428699657,FALSE,NA,NA
"32","cp3","Propanoic acid, ME",12.1,"102","43+102","cp","C",1.442887015,FALSE,NA,NA
"33","f41","unknown carbohydrate 1",19.06,"","58+86+114","f","C",1.830393883,FALSE,NA,NA
"34","cp5","unknown carbohydrate 2",19.35,"","98+126","cp","C",5.34990526,FALSE,NA,NA
"35","f61","unknown carbohydrate 3",21.77,"","116","f","C",0,FALSE,NA,NA
"36","cp7","unknown carbohydrate 4",22.33,"","44","cp","C",3.336083454,FALSE,NA,NA
"37","f81","unknown carbohydrate 5",26.18,"","57+69","f","C",1.153004104,FALSE,NA,NA
"38","f91","unknown carbohydrate 6",31.67,"","73+135","f","C",7.590107005,FALSE,NA,NA
"39","f10","laevoglucosan",40.44,"","60+73","f","C",0,FALSE,NA,NA
"40","cp11","10.26_2-cyclopenten-1-one",10.26,"82","53+54+52","cp","C",2.020538261,FALSE,NA,NA
"41","cp21","10.51_2-methyl-2-cyclopenten-1-one",10.51,"96","53+96","cp","C",2.36623591,FALSE,NA,NA
"42","cp31","13.31_3-methyl-cyclopentanone",13.31,"","67+96","cp","C",4.0617533325,FALSE,NA,NA
"43","cp4","13.69_dimethylcyclopentenone",13.69,"110","67+95+110","cp","C",1.6276422925,FALSE,NA,NA
"44","cp51","14.44_2-cyclopenten-1,4-dione",14.44,"96","54+68+96","cp","C",1.6790668675,FALSE,NA,NA
"45","cp6","17.51_1,2-cylopentandione",17.51,"98","55+98","cp","C",2.2214713485,FALSE,NA,NA
"46","cp71","18.14_2-cyclopenten-1-one,_-2-hydroxy-3-me",18.14,"98","98","cp","C",15.95856595,FALSE,NA,NA
"47","cp8","18.42_1,2-cyclopentanedione,_-3-methyl-",18.42,"112","69+112","cp","C",2.735582125,FALSE,NA,NA
"66","f31","unknown_furan_6.36",NA,"","","f","C",1.9282758805,FALSE,NA,NA
"67","cp41","cyclopentanone_6.99",NA,"","","cp","C",0,FALSE,NA,NA
"71","f82","methylfurane2_7.64",NA,"","","f","C",2.0044374263,FALSE,NA,NA
"76","cp131","1-Hydroxy-2-propanone_ch_10.69",NA,"","","cp","C",2.4592896545,FALSE,NA,NA
"77","cp14","unknown_ch_11.38",NA,"","","cp","C",4.6641589255,FALSE,NA,NA
"80","cp17","unknown_ch_15.56",NA,"","","cp","C",119.6856377927,FALSE,NA,NA
"82","cp19","unknown_ch_16.17",NA,"","","cp","C",2.5775022825,FALSE,NA,NA
"83","cp20","unknown_17.67",NA,"","","cp","C",1.1554018384,FALSE,NA,NA
"123","cp15","Acetaldehyde",2.06,"44","29+44","cp","C",1.044112118,FALSE,NA,NA
