"","lignin %TIC R","lignin %TIC p","lignin %TIC sig","lignin diff R","lignin diff p","lignin diff sig","carbohydrates %cTIC R","carbohydrates %cTIC p","carbohydrates %cTIC sig","carbohydrates diff R","carbohydrates diff p","carbohydrates diff sig","litter C:N R","litter C:N p","litter C:N sig","Phenoloxidase R","Phenoloxidase p","Phenoloxidase sig","Cellulase R","Cellulase p","Cellulase sig","Cellulase/Phenoloxidase R","Cellulase/Phenoloxidase p","Cellulase/Phenoloxidase sig","TN R","TN p","TN sig","DOC R","DOC p","DOC sig","Fe R","Fe p","Fe sig","Mn R","Mn p","Mn sig","Zn R","Zn p","Zn sig"
"lignin %TIC","1","0","***","-0.966057982225628","5.02038650099272e-12","***","-0.0791716154513663","0.740048254360904","n.s.","0.456255285264034","0.0431745834291579","*","-0.371924503496102","0.106366684691112","n.s.","0.563457000718582","0.00967793483625123","**","0.669872140339997","0.0012327030498156","**","0.478048557808833","0.0330118860028821","*","0.473082598364109","0.0351438352904834","*","0.612825083588458","0.00406813244330562","**","0.293739903524665","0.208748272989515","n.s.","0.66362719241189","0.00142168117142227","**","0.580053765291485","0.0073397841704268","**"
"lignin diff","-0.966057982225628","5.02038650099272e-12","***","1","0","***","0.233899187583342","0.320937342666286","n.s.","-0.525200574779569","0.0174104164949791","*","0.466315598076945","0.0382199354910193","*","-0.63817699911885","0.00246304155053231","**","-0.718404715416828","0.000359837945966353","***","-0.414860164843643","0.068938329121696",".","-0.55844931309059","0.0104916044600296","*","-0.676104721595978","0.00106563954526326","**","-0.0728985293036748","0.760041051958363","n.s.","-0.76949731052484","7.29215578041153e-05","***","-0.680054919279537","0.000969976504740001","***"
"carbohydrates %cTIC","-0.0791716154513663","0.740048254360904","n.s.","0.233899187583342","0.320937342666286","n.s.","1","0","***","-0.888244034336111","1.71024633731832e-07","***","0.718370045025815","0.00036018603615795","***","-0.576580424481804","0.0077862298810066","**","-0.616791109182956","0.00377141535323361","**","-0.221704597419556","0.347517673559816","n.s.","-0.783947687976802","4.3120819400606e-05","***","-0.692445382284484","0.000715503708616023","***","0.64412963875861","0.00217538475842094","**","-0.617194352710423","0.00374227893292723","**","-0.404077871591727","0.0772314509263105","."
"carbohydrates diff","0.456255285264034","0.0431745834291579","*","-0.525200574779569","0.0174104164949791","*","-0.888244034336111","1.71024633731832e-07","***","1","0","***","-0.763001760205676","9.1251413986084e-05","***","0.701660597650602","0.000565143050087036","***","0.810863168754087","1.44732920179802e-05","***","0.467793042314668","0.037531133948929","*","0.876312212370994","4.07332861218634e-07","***","0.85344693979992","1.71826170225486e-06","***","-0.311082314878034","0.181865293256064","n.s.","0.73986417279913","0.000192324785158737","***","0.495626569386852","0.0262657240347233","*"
"litter C:N","-0.371924503496102","0.106366684691112","n.s.","0.466315598076945","0.0382199354910193","*","0.718370045025815","0.00036018603615795","***","-0.763001760205676","9.1251413986084e-05","***","1","0","***","-0.871278116557794","5.7223403283579e-07","***","-0.839240568681663","3.74111857936676e-06","***","-0.104356669345019","0.661498104271585","n.s.","-0.800529959431098","2.24344238104488e-05","***","-0.88089473836291","2.95074441252016e-07","***","0.564497205756173","0.00951553464998645","**","-0.680725170632783","0.000954487229335185","***","-0.517815632749187","0.0193565705463824","*"
"Phenoloxidase","0.563457000718582","0.00967793483625123","**","-0.63817699911885","0.00246304155053231","**","-0.576580424481804","0.0077862298810066","**","0.701660597650602","0.000565143050087036","***","-0.871278116557794","5.7223403283579e-07","***","1","0","***","0.922582101875821","7.14629022624536e-09","***","0.00210652156097817","0.992967523214057","n.s.","0.798368934200845","2.45103152252124e-05","***","0.899599649661753","6.80475358283417e-08","***","-0.393193466473341","0.0863338826514629",".","0.741557394257785","0.000182588812159823","***","0.557444844551429","0.0106613122840784","*"
"Cellulase","0.669872140339997","0.0012327030498156","**","-0.718404715416828","0.000359837945966353","***","-0.616791109182956","0.00377141535323361","**","0.810863168754087","1.44732920179802e-05","***","-0.839240568681663","3.74111857936676e-06","***","0.922582101875821","7.14629022624536e-09","***","1","0","***","0.350810658994222","0.129385840829757","n.s.","0.91201993749882","2.17202258401272e-08","***","0.970238604074846","1.56163970643775e-12","***","-0.260372878968539","0.267556501131023","n.s.","0.791615723088856","3.21056310372825e-05","***","0.596919170897005","0.00545919841601505","**"
"Cellulase/Phenoloxidase","0.478048557808833","0.0330118860028821","*","-0.414860164843643","0.068938329121696",".","-0.221704597419556","0.347517673559816","n.s.","0.467793042314668","0.037531133948929","*","-0.104356669345019","0.661498104271585","n.s.","0.00210652156097817","0.992967523214057","n.s.","0.350810658994222","0.129385840829757","n.s.","1","0","***","0.438459794641053","0.053135627464868",".","0.339714666475634","0.14280556135167","n.s.","0.339944901670042","0.14251758044032","n.s.","0.290616912318358","0.213854375591869","n.s.","0.19556322705192","0.408636992542101","n.s."
"TN","0.473082598364109","0.0351438352904834","*","-0.55844931309059","0.0104916044600296","*","-0.783947687976802","4.3120819400606e-05","***","0.876312212370994","4.07332861218634e-07","***","-0.800529959431098","2.24344238104488e-05","***","0.798368934200845","2.45103152252124e-05","***","0.91201993749882","2.17202258401272e-08","***","0.438459794641053","0.053135627464868",".","1","0","***","0.93634801464891","1.29118937763906e-09","***","-0.418736093881122","0.0661267607471699",".","0.752581573500848","0.000128921253441439","***","0.48094490346808","0.0318159505800206","*"
"DOC","0.612825083588458","0.00406813244330562","**","-0.676104721595978","0.00106563954526326","**","-0.692445382284484","0.000715503708616023","***","0.85344693979992","1.71826170225486e-06","***","-0.88089473836291","2.95074441252016e-07","***","0.899599649661753","6.80475358283417e-08","***","0.970238604074846","1.56163970643775e-12","***","0.339714666475634","0.14280556135167","n.s.","0.93634801464891","1.29118937763906e-09","***","1","0","***","-0.336065147178902","0.147425023246634","n.s.","0.80011984283657","2.28162418967059e-05","***","0.587807314999916","0.00641842544206539","**"
"Fe","0.293739903524665","0.208748272989515","n.s.","-0.0728985293036748","0.760041051958363","n.s.","0.64412963875861","0.00217538475842094","**","-0.311082314878034","0.181865293256064","n.s.","0.564497205756173","0.00951553464998645","**","-0.393193466473341","0.0863338826514629",".","-0.260372878968539","0.267556501131023","n.s.","0.339944901670042","0.14251758044032","n.s.","-0.418736093881122","0.0661267607471699",".","-0.336065147178902","0.147425023246634","n.s.","1","0","***","-0.353209308988405","0.126606754820729","n.s.","-0.213710048586542","0.365615776914202","n.s."
"Mn","0.66362719241189","0.00142168117142227","**","-0.76949731052484","7.29215578041153e-05","***","-0.617194352710423","0.00374227893292723","**","0.73986417279913","0.000192324785158737","***","-0.680725170632783","0.000954487229335185","***","0.741557394257785","0.000182588812159823","***","0.791615723088856","3.21056310372825e-05","***","0.290616912318358","0.213854375591869","n.s.","0.752581573500848","0.000128921253441439","***","0.80011984283657","2.28162418967059e-05","***","-0.353209308988405","0.126606754820729","n.s.","1","0","***","0.750340283036703","0.000138569847160541","***"
"Zn","0.580053765291485","0.0073397841704268","**","-0.680054919279537","0.000969976504740001","***","-0.404077871591727","0.0772314509263105",".","0.495626569386852","0.0262657240347233","*","-0.517815632749187","0.0193565705463824","*","0.557444844551429","0.0106613122840784","*","0.596919170897005","0.00545919841601505","**","0.19556322705192","0.408636992542101","n.s.","0.48094490346808","0.0318159505800206","*","0.587807314999916","0.00641842544206539","**","-0.213710048586542","0.365615776914202","n.s.","0.750340283036703","0.000138569847160541","***","1","0","***"
