"","type","harvest","pca1","pca1.error","pca2","pca2.error"
"1","AK","0","-1.3866488960448","0.106046432513263","0.609093211581324","0.127130551117414"
"2","AK","2","-1.44756228265611","0.0903053282094387","0.94685123509075","0.147735215063271"
"3","AK","6","-1.21030176057517","0.0705490987102534","0.945492344932118","0.218376602358408"
"4","AK","15","-1.38324177560768","0.0721348225017737","0.929781560998076","0.234690928335622"
"5","KL","0","0.228390847515421","0.0494511631201901","0.533721705013707","0.117105255306517"
"6","KL","2","0.400513669040519","0.101229929516566","1.3645321668552","0.149565242233149"
"7","KL","6","0.538296308919919","0.167796134808174","1.09186450535","0.144641994682323"
"8","KL","15","0.389431573043193","0.0777507883320088","0.884957213095329","0.0733855221544292"
"9","OS","0","-0.679106225052166","0.151691735184223","-1.77754852117845","0.107837610259455"
"10","OS","2","-0.674728021893681","0.0912188231222658","-1.7736300707653","0.167798537003157"
"11","OS","6","-0.437399051095649","0.12701999357688","-1.76858790606217","0.112226730896505"
"12","OS","15","-0.528856436502418","0.0536888688560737","-1.58958117768556","0.0876501768804813"
"13","SW","0","1.30913511464122","0.081342514257571","-0.0412249231242679","0.0435952817894261"
"14","SW","2","1.53439218755569","0.0874761918447872","0.107125959510477","0.097583045981212"
"15","SW","6","1.92079333814426","0.0730647151698511","-0.388140481843146","0.195875605542555"
"16","SW","15","1.75168539073436","0.136488577506454","0.0787598825767699","0.136858558531908"
