"","PC1","PC2","peaks.orig"
"f1sim",-0.0541532993596149,0.197310539517093,"C"
"f2sim",-0.117334340306437,-0.10853598240847,"C"
"f3sim",-0.326205927472095,-0.0604477027970606,"C"
"f4sim",-0.344929908804958,-0.26984947807867,"C"
"f5sim",-0.0585349123256746,0.667281871930448,"C"
"f6sim",-0.258158294118147,-0.257505961799084,"C"
"f7sim",0.320141566869703,0.188566454453186,"C"
"f8sim",0.598377101473755,0.253595489863041,"C"
"f9sim",0.239799703881526,-0.477874564121762,"C"
"cp10sim",-0.0713310819115522,-0.0380063091681977,"C"
"f11sim",-0.164784723787489,-0.0429761901484868,"C"
"cp12sim",-0.341764971078594,-0.16206271375318,"C"
"cp13sim",0.446631006673659,-0.462278013412836,"C"
"f14sim",-0.097225994280784,0.502811775476398,"C"
"f15sim",0.162115195423573,-0.7260125503234,"C"
"ar1sim",-0.489393369224939,0.412617439517226,"non"
"ar2sim",-0.611584592628346,0.19570354466139,"non"
"ar3sim",-0.472911288829775,0.3100010624947,"non"
"ar4sim",-0.193213271741389,0.694295526102645,"non"
"ar5sim",-0.484265653584905,-0.107682388215086,"non"
"ar6sim",-0.253169676372910,0.02035231346062,"non"
"ph1sim",0.0573799025329882,0.729845661826447,"Ph"
"ph2sim",-0.234067321989175,0.642826670242497,"Ph"
"ph3sim",-0.377935790619802,0.123377394602099,"Ph"
"ph4sim",-0.593780832240143,0.546426097411094,"Ph"
"ph5sim",-0.732071784245534,-0.0143448335399464,"Ph"
"ph6sim",0.62005909250098,0.228864921703044,"Ph"
"ph7sim",-0.646121266837688,0.212260473574936,"Ph"
"ph8sim",-0.077516878901793,-0.150720695990787,"Ph"
"cp1sim",0.315846201615571,0.415733152227209,"C"
"cp2sim",0.00740846683754042,0.293983424724764,"C"
"cp3sim",0.750395596090917,-0.35199396538429,"C"
"f4sim.1",0.5714497272632,-0.519381670076586,"C"
"cp5sim",-0.61801760846416,-0.0755643272599013,"C"
"f6sim.1",0.2770927785251,-0.0803796092578527,"C"
"cp7sim",0.367444650555112,-0.55188209554374,"C"
"f8sim.1",-0.0265022726061339,-0.569859321973321,"C"
"f9sim.1",0.247471026557243,-0.597342211716357,"C"
"f10sim",-0.0334430163020356,0.0247871980339603,"C"
"cp1sim.1",-0.462880663910368,0.429394699687233,"C"
"cp2sim.1",-0.747156404383193,0.267502589151827,"C"
"cp3sim.1",-0.705864607203457,0.266746711107208,"C"
"cp4sim",-0.80261999233594,0.173960565970354,"C"
"cp5sim.1",0.726030194254777,-0.144917816478025,"C"
"cp6sim",0.605644937509018,-0.128948224574799,"C"
"cp7sim.1",0.716458290392621,-0.382544168864325,"C"
"cp8sim",-0.648269498477733,0.103780620382020,"C"
"p1sim",-0.815790649435253,0.0521576505905677,"N"
"p2sim",-0.458550820513428,0.363537281589323,"N"
"p3sim",-0.577302199511286,0.059046863221696,"N"
"p4sim",-0.609150360507962,0.0400314299682009,"N"
"p5sim",-0.545107204796775,-0.00357941217717914,"N"
"p6sim",-0.178417271108438,0.306570432460221,"N"
"p7sim",0.06025014521323,0.636119162072809,"N"
"unk8sim",0.120946805866897,-0.535428086673417,"unk"
"ind9sim",-0.0483512388373996,0.56495382635874,"N"
"ind10sim",-0.234883982551582,0.422616453869051,"N"
"cut01sim",-0.414864231064666,0.0571785274595043,"Cut"
"cut12sim",-0.477747887340094,-0.133181765508187,"Cut"
"cut03sim",-0.391773177433919,0.273273845566704,"Cut"
"cut14sim",-0.386185091262597,0.0480315619995624,"Cut"
"cut05sim",-0.455186600508542,0.265386982567042,"Cut"
"cut16sim",-0.285751526963326,0.017895023889961,"Cut"
"f3sim.1",-0.307210358723657,-0.398368134438504,"C"
"cp4sim.1",-0.519521246849567,-0.070722555077131,"C"
"ar5sim.1",-0.587344391041044,-0.0132680746635361,"non"
"ter6sim",0.0823621672438186,0.393824213493063,"non"
"p7sim.1",-0.575581435735502,-0.008324310936447,"N"
"f8sim.2",0.55579114285543,-0.415966710479392,"C"
"cp13sim.1",-0.422398871493748,0.219222104946061,"C"
"cp14sim",0.0871303605878623,0.0902240373392531,"C"
"ar16sim",-0.367530721904932,-0.214638753849694,"non"
"cp17sim",-0.694638060400118,0.249698397458493,"C"
"ar18sim",-0.53289746399726,0.113341341607734,"non"
"cp19sim",0.0450612833791063,-0.172554923105266,"C"
"cp20sim",0.209747318831081,0.172954841477863,"C"
"al22sim",-0.361466897983096,-0.400771062696558,"al"
"unk23sim",-0.30616850645839,-0.50923276320908,"unk"
"unk24sim",-0.345469980857614,-0.439273137294173,"unk"
"unk25sim",-0.49893573459227,-0.229534638434307,"unk"
"al26sim",0.264138911576618,0.202068655296936,"unk"
"o27sim",0.422716032479527,-0.560395158631903,"unk"
"bf28sim",0.366270421335627,0.374154777949779,"unk"
"unk29sim",-0.494133653891302,-0.398920388568266,"unk"
"g1sim",-0.641264919307376,-0.302326814427604,"L"
"g2sim",-0.63009436361129,-0.437815829229488,"L"
"g3sim",-0.778593694702135,0.0884293174520684,"L"
"g4sim",-0.564021518811943,-0.393674396464804,"L"
"g5sim",-0.317615130433341,-0.611180073294297,"L"
"g6sim",-0.69251293235691,-0.248205880430529,"L"
"sy7sim",-0.448722020553388,-0.408774811466089,"L"
"g8sim",-0.611870966614671,-0.436720750101376,"L"
"sy9sim",-0.562907057286802,-0.516396989080433,"L"
"sy10sim",-0.685075663713709,0.217817789217959,"L"
"ph11sim",-0.554603881174495,0.123736777379021,"Ph"
"sy12sim",-0.680945485417926,-0.268089758111365,"L"
"sy13sim",-0.491639029142393,-0.444723400758496,"L"
"g14sim",-0.375536856464027,-0.63940377209901,"L"
"g15sim",0.655924087738674,0.104557702293279,"L"
"g16sim",-0.616522930569641,-0.324548019695094,"L"
"sy17sim",-0.780159023182052,-0.0251582241012860,"L"
"g18sim",-0.551956342295381,-0.421054805556121,"L"
"g19sim",-0.609289277996577,-0.537141101962279,"L"
"sy20sim",-0.69337919815997,-0.260303249617890,"L"
"sy21sim",-0.500849132429474,-0.377856925573632,"L"
"ph22sim",-0.208361584570244,-0.443912140248531,"Ph"
"sy23sim",-0.0966755453920948,-0.470377921421131,"L"
"g24sim",-0.261861109680408,-0.541543963855599,"L"
"sy25sim",-0.64465339346086,-0.163792038632366,"L"
"sy26sim",-0.537309289759476,-0.243517686185406,"L"
"g27sim",0.0232344021678912,-0.252289054379715,"L"
"g28sim",0.245625158749256,0.409894844940011,"L"
"sy29sim",-0.252429972129151,0.254968772280260,"L"
"sy30sim",0.032692853194111,0.0483627695785505,"L"
"cp1sim.2",-0.0514019952718694,0.607652775419912,"C"
"short2sim.1",-0.473153789349114,0.630742658657143,"non"
"short3sim",0.488793039839574,-0.227335589640987,"non"
"short4sim",0.572793307421986,0.159991345009039,"non"
"short5sim",0.180621323705946,0.368793771004515,"non"
"short6sim",0.0851474290333902,0.537427350362184,"non"
"short7sim",-0.634572206656908,0.0684683108860416,"non"
"short8sim",0.347300641671687,-0.202361424102918,"non"
"short9sim",-0.353760183519217,0.395958080785974,"non"
"short10sim",-0.203790300285558,0.418163824791973,"non"
"short11sim",0.538501071794523,-0.495769513010982,"non"
"fa1sim",-0.155864414631158,-0.315240836998481,"lip"
"fa2sim",-0.152896498057339,-0.412172430189023,"lip"
"fa3sim",-0.225362891579602,-0.369684612064769,"lip"
