"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,2.06391224153069,0.4847282047766,14,0,"AB","a"
"2","AK",97,2.78082146414519,0.250363168950173,97,0,"A","a"
"3","AK",181,2.13576149415736,0.317702274650796,181,0,"AB","ab"
"4","AK",375,1.29201476245124,0.070428812276485,375,0,"B","a"
"5","KL",14,3.31979936787175,1.96099375155510,14,0,"A","a"
"6","KL",97,1.24557100620805,0.053223314395238,97,0,"A","b"
"7","KL",181,1.92300548656349,0.189245395132589,181,0,"A","a"
"8","KL",375,1.49749780372427,0.106828536051870,375,0,"A","a"
"9","OS",14,1.49278211660055,0.302020034687882,14,0,"A","a"
"10","OS",97,0.785165258154683,0.0449691398473418,97,0,"A","c"
"11","OS",181,0.948352926633701,0.0595700483814092,181,0,"A","b"
"12","OS",375,0.814327471020658,0.101658146779562,375,0,"A","b"
"13","SW",14,1.37429376916010,0.196192096686866,14,0,"AB","a"
"14","SW",97,0.526818891401875,0.0406271165055509,97,0,"A","d"
"15","SW",181,0.761326705401526,0.0609837659450117,181,0,"A","b"
"16","SW",375,1.43956443406027,0.119741137271718,375,0,"B","a"
