"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,0.71099980872609,0,0,"A"
"2","AK",97,100.603638219097,0.910684229190746,0.0144573613,0.0020951584,"A"
"3","AK",181,98.808879436094,1.13882895202317,0.026773477,0.003213622,"A"
"4","AK",375,98.3718764670596,1.06141966971606,0.04755325,0.0053283547,"A"
"5","KL",0,100,0.397249916252144,0,0,"A"
"6","KL",97,103.071849539399,0.963103380199565,0.0200751224,0.0020203917,"AB"
"7","KL",181,104.382153369916,0.887543801575061,0.0404117216,0.0042461156,"B"
"8","KL",375,105.332245241352,0.807536202776051,0.0776835238,0.0069587,"B"
"9","OS",0,100,1.11207721283560,0,0,"A"
"10","OS",97,101.990664239321,0.72295525698194,0.0134305694,0.00071738,"A"
"11","OS",181,105.112577117616,0.786422553965204,0.0267462763,0.0019261247,"A"
"12","OS",375,104.411888925622,0.681599494472501,0.0531212232,0.0043748774,"A"
"13","SW",0,100,0.427580402699087,0,0,"A"
"14","SW",97,103.538186835210,0.795898773261584,0.025067428,0.0023608272,"B"
"15","SW",181,108.706055610232,0.370675992969889,0.049045333,0.0045739457,"C"
"16","SW",375,107.753714661181,1.13965853987738,0.1115045689,0.0119923415,"BC"
