"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",14,71.406,5.7270809318535,14,0,"A","a"
"2","AK",97,244.766,12.6869845116954,97,0,"B","a"
"3","AK",181,336.386,16.9559545882855,181,0,"C","a"
"4","AK",375,106.466,7.54067742314973,375,0,"D","a"
"5","KL",14,79.374,13.1318607211621,14,0,"A","ab"
"6","KL",97,108.866,9.33723438711913,97,0,"A","b"
"7","KL",181,109.908,10.8420036893556,181,0,"A","b"
"8","KL",375,124.542,7.16122573307112,375,0,"A","a"
"9","OS",14,104.372,5.97757425717155,14,0,"A","b"
"10","OS",97,145.506,10.1049881741643,97,0,"AB","b"
"11","OS",181,155.55,5.69458251323133,181,0,"B","b"
"12","OS",375,131.704,13.5559730746266,375,0,"AB","a"
"13","SW",14,142.882,25.0404080238322,14,0,"AB","ab"
"14","SW",97,144,8.75930077118031,97,0,"A","b"
"15","SW",181,238.174,11.9690520092445,181,0,"BC","c"
"16","SW",375,359.092,28.2893634428207,375,0,"C","b"
