"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,25.9326622238118,0.538744046035909,0,0,"A","ab"
"2","AK",97,25.8560423344501,0.0693823743431494,97,0,"A","a"
"3","AK",181,26.3698745547572,0.161397843805687,181,0,"A","a"
"4","AK",375,26.6245936200656,0.252850317119428,375,0,"A","a"
"5","KL",0,26.1366569010062,0.115737300871693,0,0,"A","a"
"6","KL",97,24.2506193877642,0.222297504777653,97,0,"B","b"
"7","KL",181,24.2933517512536,0.161809960656352,181,0,"B","b"
"8","KL",375,24.2679656831477,0.155356594363558,375,0,"B","b"
"9","OS",0,29.1536034966941,0.252024319173149,0,0,"A","c"
"10","OS",97,28.8505349613629,0.316889571587233,97,0,"AB","c"
"11","OS",181,27.6438141043066,0.292320978468785,181,0,"B","c"
"12","OS",375,27.5102324398296,0.140206185411415,375,0,"B","a"
"13","SW",0,26.8561068512347,0.132492438983287,0,0,"A","b"
"14","SW",97,25.350978383389,0.170950742813438,97,0,"B","a"
"15","SW",181,24.4221988925114,0.238820263254002,181,0,"BC","b"
"16","SW",375,24.2239228730662,0.196653854415558,375,0,"C","b"
