"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp"
"1","AK",0,100,3.9062695840824,0,0,"A"
"2","AK",97,129.576568064455,8.0118910210102,0.0144573613,0.0020951584,"AB"
"3","AK",181,133.823398628819,0.206231273618403,0.026773477,0.003213622,"B"
"4","AK",375,131.418125731671,1.20670708649062,0.04755325,0.0053283547,"B"
"5","KL",0,100,2.46366988621993,0,0,"A"
"6","KL",97,108.537857223331,4.24563461697032,0.0200751224,0.0020203917,"A"
"7","KL",181,103.696510158824,3.76534875585249,0.0404117216,0.0042461156,"A"
"8","KL",375,107.697332372009,4.10494157771907,0.0776835238,0.0069587,"A"
"9","OS",0,100,3.06724027141633,0,0,"A"
"10","OS",97,105.386996429797,3.16908110962971,0.0134305694,0.00071738,"AB"
"11","OS",181,120.507913338425,4.48268250124442,0.0267462763,0.0019261247,"BC"
"12","OS",375,133.761068437487,4.74060975309264,0.0531212232,0.0043748774,"C"
"13","SW",0,100,2.68480346627542,0,0,"A"
"14","SW",97,126.656021192011,2.85904622238608,0.025067428,0.0023608272,"B"
"15","SW",181,129.956769250305,3.82167769633945,0.049045333,0.0045739457,"B"
"16","SW",375,125.760136582366,2.39397211195502,0.1115045689,0.0119923415,"B"
