"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,1.61303509406716,0.200547487543285,0,0,"AB","a"
"2","AK",97,1.13400330005606,0.0315346380539337,97,0,"A","a"
"3","AK",181,0.800906597664631,0.0116178900341883,181,0,"B","ab"
"4","AK",375,0.704186826814243,0.0437336358197631,375,0,"B","a"
"5","KL",0,0.959707072161363,0.0391110762749862,0,0,"A","a"
"6","KL",97,0.82605767088516,0.0173808329960816,97,0,"A","b"
"7","KL",181,0.700706179663164,0.0240058988964751,181,0,"B","a"
"8","KL",375,0.686193100706666,0.0146955500696757,375,0,"B","a"
"9","OS",0,0.89348061189974,0.0467722639837292,0,0,"A","a"
"10","OS",97,0.574979239090808,0.0167124928492539,97,0,"B","c"
"11","OS",181,0.477803887471307,0.00702627395640529,181,0,"C","c"
"12","OS",375,0.391774614912183,0.0153543177333211,375,0,"D","b"
"13","SW",0,0.868544609657168,0.0143211662477162,0,0,"A","a"
"14","SW",97,0.84686246337193,0.0116434223694478,97,0,"A","b"
"15","SW",181,0.8688036769303,0.0273500192050478,181,0,"A","b"
"16","SW",375,1.00130224682156,0.0294259621370955,375,0,"A","c"
