"","f1sim R","f1sim p","f1sim sig","f2sim R","f2sim p","f2sim sig","f3sim R","f3sim p","f3sim sig","f4sim R","f4sim p","f4sim sig","f5sim R","f5sim p","f5sim sig","f6sim R","f6sim p","f6sim sig","f7sim R","f7sim p","f7sim sig","f8sim R","f8sim p","f8sim sig","f9sim R","f9sim p","f9sim sig","f10sim R","f10sim p","f10sim sig","f11sim R","f11sim p","f11sim sig","f12sim R","f12sim p","f12sim sig","f13sim R","f13sim p","f13sim sig","f14sim R","f14sim p","f14sim sig","f15sim R","f15sim p","f15sim sig","c1sim R","c1sim p","c1sim sig","c2sim R","c2sim p","c2sim sig","c3sim R","c3sim p","c3sim sig","c4sim R","c4sim p","c4sim sig","c5sim R","c5sim p","c5sim sig","c6sim R","c6sim p","c6sim sig","c7sim R","c7sim p","c7sim sig","c8sim R","c8sim p","c8sim sig","c9sim R","c9sim p","c9sim sig","c10sim R","c10sim p","c10sim sig","cp1sim R","cp1sim p","cp1sim sig","cp2sim R","cp2sim p","cp2sim sig","cp3sim R","cp3sim p","cp3sim sig","cp4sim R","cp4sim p","cp4sim sig","cp5sim R","cp5sim p","cp5sim sig","cp6sim R","cp6sim p","cp6sim sig","cp7sim R","cp7sim p","cp7sim sig","cp8sim R","cp8sim p","cp8sim sig","f3sim.1 R","f3sim.1 p","f3sim.1 sig","cp4sim.1 R","cp4sim.1 p","cp4sim.1 sig","f8sim.1 R","f8sim.1 p","f8sim.1 sig","short13sim R","short13sim p","short13sim sig","unk14sim R","unk14sim p","unk14sim sig","unk17sim R","unk17sim p","unk17sim sig","unk19sim R","unk19sim p","unk19sim sig","unk20sim R","unk20sim p","unk20sim sig","short1sim R","short1sim p","short1sim sig"
"f1sim","1","0","***","0.865068704887967","0","***","0.618743169206998","4.22172763414608e-09","***","0.719463872297812","5.14255305006373e-13","***","0.76669884604174","1.77635683940025e-15","***","0.934872697950371","0","***","0.824902011608123","0","***","0.509314345833681","3.58387768661927e-06","***","0.941467165070855","0","***","-0.62313635033799","3.04638987785798e-09","***","0.972698401299032","0","***","-0.788626988300843","7.30954514267233e-17","***","-0.777669552000922","3.66280141135924e-16","***","0.465558840708638","2.91854624339116e-05","***","0.88957975726892","0","***","-0.0535480333903878","0.650461821695958","n.s.","-0.835454556951103","2.13010244101959e-20","***","-0.684326806107149","1.79463776212291e-11","***","0.831335777907054","0","***","-0.287882515277891","0.01287547229438","*","0.729487160962103","1.68753899743024e-13","***","-0.928162333997836","1.25040974111691e-32","***","0.428288016446998","0.000140825729022742","***","0.899671048200652","0","***","0.880702004174076","0","***","-0.345655791404455","0.00255808446206521","**","-0.50360492275611","4.79097734058371e-06","***","-0.502236778383418","5.13213739467781e-06","***","-0.637803280341449","9.87008557093445e-10","***","-0.0303663166338748","0.79730774259641","n.s.","-0.784972444713392","1.2643005594166e-16","***","-0.588606958018368","3.47796942211249e-08","***","-0.435494141502782","0.000105349711932286","***","0.713962942041877","9.28590537796481e-13","***","-0.628018056568314","2.1072461276007e-09","***","0.346705436102825","0.00247684010624161","**","-0.731486181848171","1.34425609813841e-13","***","-0.614717106432096","5.66818260812069e-09","***","-0.221723229606009","0.0576212819931719",".","0.076087826927755","0.519365327106235","n.s.","-0.163654694533663","0.163542192397704","n.s.","-0.494039023358308","7.70243726585556e-06","***"
"f2sim","0.865068704887967","0","***","1","0","***","0.441255969419438","8.31372417784415e-05","***","0.913991036501585","0","***","0.629616176696857","1.86511561750535e-09","***","0.900714553131018","0","***","0.502493075809361","5.06654255061356e-06","***","0.330858222831253","0.00398609881178724","**","0.78295657786905","2.22044604925031e-16","***","-0.346873069071563","0.00246408124562442","**","0.857777179788835","0","***","-0.514318992863862","2.76665885821264e-06","***","-0.454666245448295","4.71182667022444e-05","***","0.380433115748526","0.00082710095537375","***","0.745821254002387","2.46469511466785e-14","***","-0.0670721206745197","0.570175303550021","n.s.","-0.684426286326994","1.77792176119298e-11","***","-0.550254650238717","3.80095561232853e-07","***","0.628940452468076","1.96406735319954e-09","***","-0.144361802366024","0.219768080634289","n.s.","0.462927892157008","3.2814045946461e-05","***","-0.682615120313421","2.10695939440921e-11","***","0.350928883400606","0.00217279145393556","**","0.718512524273709","5.7021054544748e-13","***","0.73313175847396","1.11244347067441e-13","***","-0.278456156060904","0.0162918363135085","*","-0.334750241451106","0.00355445843636617","**","-0.350727707246824","0.00218647712132722","**","-0.425875433906334","0.000154972637665724","***","-0.0377201041194136","0.749673436991698","n.s.","-0.58385607164494","4.756521798035e-08","***","-0.512321541260881","3.06923072774695e-06","***","-0.348125954487593","0.00237057091021201","**","0.884359577860367","0","***","-0.329398282952969","0.00415965368564651","**","0.186574762311493","0.111460410268426","n.s.","-0.523099640136692","1.73934552251729e-06","***","-0.511218194937971","3.24941538373933e-06","***","-0.109820648755387","0.351620380741878","n.s.","0.42278914623338","0.000174978230735645","***","0.0416411034705951","0.724639725757503","n.s.","-0.408764621609709","0.000299437933750926","***"
"f3sim","0.618743169206998","4.22172763414608e-09","***","0.441255969419438","8.31372417784415e-05","***","1","0","***","0.419865728585007","0.000196094409076641","***","0.337556772746919","0.00326955662640582","**","0.60711487408309","9.77692371506578e-09","***","0.635049504725974","1.22516752298907e-09","***","0.524089990417271","1.64928421342303e-06","***","0.589164545250288","3.35138963247772e-08","***","-0.194881145154931","0.0961354095024706",".","0.613556601122737","6.16584339141468e-09","***","-0.329960350422011","0.00409205725166916","**","-0.474947497161591","1.90594437387379e-05","***","0.420736025982335","0.000189575320881152","***","0.586750768012013","3.93284482758105e-08","***","-0.0554193407760735","0.639084208030612","n.s.","-0.456230220223777","4.40304499614158e-05","***","-0.404922611567404","0.000345512662934668","***","0.475952889092025","1.8195749613481e-05","***","0.0211485639172139","0.858055841539072","n.s.","0.561436262032251","1.95239900468991e-07","***","-0.554924854697917","2.88626330678977e-07","***","0.563353326382441","1.73736524944346e-07","***","0.534601306673738","9.28238339081844e-07","***","0.476959464502852","1.73677078432188e-05","***","0.062213240269452","0.598486804892842","n.s.","-0.0426257735708388","0.718396916138296","n.s.","0.0737010336041459","0.532590687643225","n.s.","-0.127417449138564","0.279322490252149","n.s.","0.112518720773247","0.339840957110512","n.s.","-0.411705376603833","0.00026805509391221","***","-0.312115804198595","0.00678536197141654","**","0.0925434061833216","0.432910846551167","n.s.","0.566711185924556","1.41368153849797e-07","***","-0.241675385608738","0.0380389485223844","*","0.446130429893842","6.78180223712133e-05","***","-0.383808658730439","0.00073624452526412","***","-0.0524675873947108","0.657067689716471","n.s.","0.0625481918060703","0.596515221713497","n.s.","0.182782203575325","0.119056433569054","n.s.","-0.175192975033794","0.135441707108307","n.s.","-0.156134089680041","0.184041558304334","n.s."
"f4sim","0.719463872297812","5.14255305006373e-13","***","0.913991036501585","0","***","0.419865728585007","0.000196094409076641","***","1","0","***","0.42523067500761","0.000158969052808988","***","0.84894382141583","0","***","0.327589551971073","0.00438395879885412","**","0.20893502716782","0.0740180672794526",".","0.660715474042025","1.4976397899602e-10","***","-0.139792719642559","0.234867715847053","n.s.","0.742231734382162","3.79696274421804e-14","***","-0.285783855430153","0.0135769916623459","*","-0.258449215692429","0.0261932183437311","*","0.359323860244525","0.00166589177266707","**","0.650515177493993","3.53639117989246e-10","***","0.000454320368970894","0.996934794799026","n.s.","-0.481511265335706","1.40434496307475e-05","***","-0.432914041401899","0.000116973971542061","***","0.495094827079064","7.31429874467615e-06","***","0.109043037976908","0.355061764891589","n.s.","0.371694294956791","0.00111151896786943","**","-0.490843595560304","8.99784197019275e-06","***","0.373270857914632","0.00105443842398167","**","0.6046925254618","1.15968399327926e-08","***","0.621314858516471","3.48984063869295e-09","***","-0.126684373392292","0.282120718186924","n.s.","-0.104855610183836","0.373949306512263","n.s.","-0.120031072268214","0.308366256530763","n.s.","-0.179915461096052","0.125057074886277","n.s.","-0.00748530015233389","0.949531105616722","n.s.","-0.408809130031334","0.000298938855848032","***","-0.397384753028358","0.000455266291483941","***","-0.101286254303387","0.390519886700464","n.s.","0.925848565158707","0","***","-0.126999176779171","0.280916808538166","n.s.","0.163720524804221","0.163370521380036","n.s.","-0.29649981549334","0.0103138484366533","*","-0.38318568857814","0.00075229688927101","***","0.129278943649225","0.272300231999604","n.s.","0.565483703129623","1.52474869841157e-07","***","0.0190341726341052","0.8721208889315","n.s.","-0.37413761389359","0.00102420054992078","**"
"f5sim","0.76669884604174","1.77635683940025e-15","***","0.629616176696857","1.86511561750535e-09","***","0.337556772746919","0.00326955662640582","**","0.42523067500761","0.000158969052808988","***","1","0","***","0.55837608789673","2.34858121173076e-07","***","0.493008638255167","8.09974419735404e-06","***","0.0295666840311336","0.802535702520535","n.s.","0.567144881531866","1.37630374430486e-07","***","-0.786877567691054","9.51440558679848e-17","***","0.63384440518373","1.34581057409378e-09","***","-0.847424944167192","1.75066169858095e-21","***","-0.813678136548902","1.24747411454259e-18","***","0.0293254251226141","0.804114753790388","n.s.","0.536822539844663","8.20013066338277e-07","***","-0.341898975299627","0.00286877716251875","**","-0.854593920879669","3.53016418305721e-22","***","-0.904477410310582","2.34326465817368e-28","***","0.500969855823192","5.46823895231086e-06","***","-0.623751064440105","2.90925287222145e-09","***","0.278781151565661","0.0161622125964489","*","-0.843382680824663","4.16658619535453e-21","***","-0.0406421252795405","0.730991615437392","n.s.","0.639478629838534","8.6446938496465e-10","***","0.554267528978622","3.00105368555847e-07","***","-0.62940495970345","1.89552342408785e-09","***","-0.546375678087617","4.76235718123893e-07","***","-0.525700226551497","1.51215429809611e-06","***","-0.622875468026566","3.1064327558372e-09","***","-0.547142952982255","4.55563546361601e-07","***","-0.911584068535683","1.64454131233208e-29","***","-0.854671599290678","3.46782509874645e-22","***","-0.722784354236214","3.575160509214e-13","***","0.319796673898472","0.00547787249713627","**","-0.712859594633591","1.04383092769377e-12","***","-0.225083806135869","0.0538426818003481",".","-0.733086891673443","1.11825939578046e-13","***","-0.810907582317784","2.0152236291901e-18","***","-0.289106148524675","0.0124811139423591","*","-0.169749540808952","0.148206052468215","n.s.","-0.132889452187092","0.259019806081178","n.s.","-0.531027525462534","1.13104297945824e-06","***"
"f6sim","0.934872697950371","0","***","0.900714553131018","0","***","0.60711487408309","9.77692371506578e-09","***","0.84894382141583","0","***","0.55837608789673","2.34858121173076e-07","***","1","0","***","0.75253498570081","1.06581410364015e-14","***","0.529754259485299","1.21288034526934e-06","***","0.921534585733481","0","***","-0.377793602264148","0.00090511259975641","***","0.961028273067315","0","***","-0.600179696682901","1.5878792356658e-08","***","-0.592221231905936","2.73160566424248e-08","***","0.547097620789835","4.56760971490056e-07","***","0.882528100180855","0","***","-0.000579238849126202","0.996092001636247","n.s.","-0.696379614281427","5.61866264772646e-12","***","-0.519066684294282","2.15608762315784e-06","***","0.784448525249894","2.22044604925031e-16","***","-0.0580890176238082","0.622995904587363","n.s.","0.73035523299048","1.52988732793347e-13","***","-0.789939941889798","5.98759762430925e-17","***","0.530271778517328","1.1789670359974e-06","***","0.840334971619514","0","***","0.844897430156079","0","***","-0.179819071550164","0.125262774648338","n.s.","-0.343204725430058","0.00275716326806264","**","-0.358231046559464","0.00172520605742814","**","-0.477773830191817","1.67236453398402e-05","***","0.146727348928651","0.212224414483914","n.s.","-0.60595952344353","1.0608154519907e-08","***","-0.422928792572584","0.000174023982004294","***","-0.252663610907666","0.0298660253895861","*","0.857688895438285","0","***","-0.44278327992939","7.80235324804149e-05","***","0.45312961938574","5.03467621351117e-05","***","-0.587078595530563","3.8486049281654e-08","***","-0.451483730643371","5.40316336401719e-05","***","-0.0801269000991426","0.497368981073515","n.s.","0.273490345024654","0.0183864823217976","*","-0.092255865937082","0.434347871382583","n.s.","-0.386763315656001","0.00066426884319091","***"
"f7sim","0.824902011608123","0","***","0.502493075809361","5.06654255061356e-06","***","0.635049504725974","1.22516752298907e-09","***","0.327589551971073","0.00438395879885412","**","0.493008638255167","8.09974419735404e-06","***","0.75253498570081","1.06581410364015e-14","***","1","0","***","0.757137131815904","5.99520433297585e-15","***","0.883667615078728","0","***","-0.546365739274266","4.76509211985223e-07","***","0.845236333319869","0","***","-0.734784277636757","9.1864570692367e-14","***","-0.775137999025406","5.24691779677735e-16","***","0.579263619934858","6.4072241956481e-08","***","0.821572447535517","0","***","0.0666631083806015","0.572534246351632","n.s.","-0.669772701461054","6.78931953820994e-11","***","-0.404780555589023","0.000347334496728614","***","0.842640499848612","0","***","-0.208079454499981","0.0752362836321079",".","0.921572224299408","0","***","-0.843518655322343","4.04842762403294e-21","***","0.545858003983828","4.90679855635889e-07","***","0.822990165588604","0","***","0.808265934077857","0","***","-0.139055080757048","0.23737125061716","n.s.","-0.468787086800262","2.52433086689816e-05","***","-0.462718974422198","3.31194598552038e-05","***","-0.617818616642034","4.51891140881285e-09","***","0.270205758138726","0.0198953391394856","*","-0.59688442576681","1.99134709704536e-08","***","-0.27890272882857","0.0161139503557309","*","-0.269035273687091","0.0204580166384833","*","0.441024189363538","8.39398366856425e-05","***","-0.629917048770298","1.82260234873961e-09","***","0.662606462643875","1.27246657655178e-10","***","-0.695955230461904","5.85881786371402e-12","***","-0.325818285890117","0.00461395324522472","**","-0.289285493091037","0.0124242028395789","*","-0.162813596193516","0.165747322276024","n.s.","-0.235613503361344","0.0432937400243946","*","-0.282496589050821","0.0147422485788687","*"
"f8sim","0.509314345833681","3.58387768661927e-06","***","0.330858222831253","0.00398609881178724","**","0.524089990417271","1.64928421342303e-06","***","0.20893502716782","0.0740180672794526",".","0.0295666840311336","0.802535702520535","n.s.","0.529754259485299","1.21288034526934e-06","***","0.757137131815904","5.99520433297585e-15","***","1","0","***","0.641209018213744","7.53213491577753e-10","***","-0.0342647619895024","0.771951198819248","n.s.","0.582224358345446","5.29038521879244e-08","***","-0.226894015080852","0.0518927514420651",".","-0.311568282421255","0.00688826811222733","**","0.762667221013391","2.88657986402541e-15","***","0.510188997920955","3.42639925143828e-06","***","0.366684168357106","0.00131196399413525","**","-0.171711792356419","0.143504954491944","n.s.","0.113174303919918","0.337016615211065","n.s.","0.571955736503201","1.01976208810584e-07","***","0.152229910419049","0.195389936973555","n.s.","0.765771735600752","1.99840144432528e-15","***","-0.420407934266583","0.000192009159125085","***","0.452761964225151","5.11490583336993e-05","***","0.474816709898453","1.91745658544296e-05","***","0.629112613798757","1.93839166939824e-09","***","0.334371953042477","0.00359450411377038","**","-0.101194819625061","0.390950024516689","n.s.","-0.104538532655531","0.375403847942206","n.s.","-0.247613783601668","0.0334171569106668","*","0.654362147755011","2.56740850801407e-10","***","-0.0221928102592486","0.851125414570584","n.s.","0.165394255886701","0.159050355361138","n.s.","0.176642448821686","0.132187277448946","n.s.","0.398982415594311","0.000429644066315404","***","-0.118408318892197","0.314999924041134","n.s.","0.81411764025579","0","***","-0.237978661263428","0.0411761808058444","*","0.208680029572984","0.0743794856608602",".","-0.116225308388495","0.324067589589405","n.s.","0.179340201891107","0.126288534080228","n.s.","-0.0519427063467391","0.660286355414583","n.s.","0.162126789325053","0.167564121656267","n.s."
"f9sim","0.941467165070855","0","***","0.78295657786905","2.22044604925031e-16","***","0.589164545250288","3.35138963247772e-08","***","0.660715474042025","1.4976397899602e-10","***","0.567144881531866","1.37630374430486e-07","***","0.921534585733481","0","***","0.883667615078728","0","***","0.641209018213744","7.53213491577753e-10","***","1","0","***","-0.562693590833259","1.80870303409833e-07","***","0.963845540700728","0","***","-0.715642721462452","7.76474085208889e-13","***","-0.672730852752965","5.21204129440009e-11","***","0.518047300454629","2.27538712826991e-06","***","0.954799035696864","0","***","0.0198003608056144","0.867019351784447","n.s.","-0.748528147868558","1.76561953985804e-14","***","-0.457297874143741","4.20316010915282e-05","***","0.928685418299411","0","***","-0.181871111607206","0.120939077956292","n.s.","0.847714489535473","0","***","-0.840540766146662","7.55484474833546e-21","***","0.58143415890703","5.56889419023321e-08","***","0.92671376970695","0","***","0.900777331239043","0","***","-0.274657762626239","0.0178743552323287","*","-0.545505747129683","5.0074384743746e-07","***","-0.558216588217866","2.37118578727942e-07","***","-0.677544786277062","3.36765884253639e-11","***","0.201256137859277","0.0855347066046546",".","-0.641456426080307","7.38469515942438e-10","***","-0.348361680931786","0.00235333702243454","**","-0.344034352715054","0.00268828093232298","**","0.695127266126392","6.35602681597902e-12","***","-0.600534948560039","1.54935333126112e-08","***","0.576906426621969","7.45261967693978e-08","***","-0.698215658370323","4.68413634409463e-12","***","-0.5085765961963","3.72196154698561e-06","***","-0.296949077474886","0.0101934385055055","*","0.047905684361718","0.685244333871319","n.s.","-0.216861159305719","0.0634673955553385",".","-0.491218296680064","8.83602672996746e-06","***"
"f10sim","-0.62313635033799","3.04638987785798e-09","***","-0.346873069071563","0.00246408124562442","**","-0.194881145154931","0.0961354095024706",".","-0.139792719642559","0.234867715847053","n.s.","-0.786877567691054","9.51440558679848e-17","***","-0.377793602264148","0.00090511259975641","***","-0.546365739274266","4.76509211985223e-07","***","-0.0342647619895024","0.771951198819248","n.s.","-0.562693590833259","1.80870303409833e-07","***","1","0","***","-0.528283674800607","1.31433110708374e-06","***","0.896546578456693","0","***","0.798160583177306","0","***","0.0920905038773819","0.435175512989334","n.s.","-0.581785382296061","5.44342983309581e-08","***","0.231048316467493","0.0476358746832994","*","0.81034922064472","0","***","0.68782231482096","1.28885790928734e-11","***","-0.635778705318335","1.15725294170731e-09","***","0.685031605566738","1.679367755969e-11","***","-0.393051405152373","0.000531945891127485","***","0.767575396408077","1.55431223447522e-15","***","-0.0788634957771022","0.504196716074288","n.s.","-0.69095170701289","9.54512448949428e-12","***","-0.549275033668926","4.02476918323064e-07","***","0.730826359216321","1.44995127016045e-13","***","0.771549206542942","8.88178419700125e-16","***","0.7797368966278","2.22044604925031e-16","***","0.821819043772262","0","***","0.454574254030512","4.73060030015127e-05","***","0.846668031120328","0","***","0.608439315067493","8.90027518352099e-09","***","0.746931830880499","2.1538326677728e-14","***","-0.0505518086611378","0.668845271383562","n.s.","0.857918275294574","0","***","0.0475565843783596","0.687418928500269","n.s.","0.78854821921611","0","***","0.838525895490331","0","***","0.533005289983273","1.01416220554817e-06","***","0.518495799844253","2.222154263265e-06","***","0.266418114562674","0.0217654741133002","*","0.764495571035053","2.22044604925031e-15","***"
