"","Ph1sim R","Ph1sim p","Ph1sim sig","Ph2sim R","Ph2sim p","Ph2sim sig","Ph3sim R","Ph3sim p","Ph3sim sig","Ph4sim R","Ph4sim p","Ph4sim sig","Ph5sim R","Ph5sim p","Ph5sim sig","Ph6sim R","Ph6sim p","Ph6sim sig","Ph7sim R","Ph7sim p","Ph7sim sig","Ph8sim R","Ph8sim p","Ph8sim sig","g1sim R","g1sim p","g1sim sig","g2sim R","g2sim p","g2sim sig","g3sim R","g3sim p","g3sim sig","g4sim R","g4sim p","g4sim sig","g5sim R","g5sim p","g5sim sig","g6sim R","g6sim p","g6sim sig","sy7sim R","sy7sim p","sy7sim sig","g8sim R","g8sim p","g8sim sig","sy9sim R","sy9sim p","sy9sim sig","sy10sim R","sy10sim p","sy10sim sig","h11sim R","h11sim p","h11sim sig","sy12sim R","sy12sim p","sy12sim sig","sy13sim R","sy13sim p","sy13sim sig","g14sim R","g14sim p","g14sim sig","g15sim R","g15sim p","g15sim sig","g16sim R","g16sim p","g16sim sig","sy17sim R","sy17sim p","sy17sim sig","g18sim R","g18sim p","g18sim sig","g19sim R","g19sim p","g19sim sig","sy20sim R","sy20sim p","sy20sim sig","sy21sim R","sy21sim p","sy21sim sig","h22sim R","h22sim p","h22sim sig","sy23sim R","sy23sim p","sy23sim sig","g24sim R","g24sim p","g24sim sig","sy25sim R","sy25sim p","sy25sim sig","sy26sim R","sy26sim p","sy26sim sig","g27sim R","g27sim p","g27sim sig","g28sim R","g28sim p","g28sim sig","sy29sim R","sy29sim p","sy29sim sig","sy30sim R","sy30sim p","sy30sim sig"
"Ph1sim","1","0","***","0.849694521341263","0","***","0.27976342473566","0.0157758149858498","*","0.448261642926059","6.19796977081588e-05","***","0.671456982634608","5.84268189385284e-11","***","0.493063597986649","8.07807714808817e-06","***","0.865496641105951","0","***","0.194235535614966","0.0972639577379186",".","0.0549319623906647","0.642039624861055","n.s.","-0.847385915090011","1.76559078494825e-21","***","-0.28264707833777","0.0146870778939222","*","-0.713827520922537","9.42130176157545e-13","***","-0.666605467893838","8.98097246485813e-11","***","-0.47408896472298","1.98270715504113e-05","***","0.278999103602966","0.0160757808478098","*","-0.504242935978152","4.63925883626998e-06","***","-0.749540140077765","1.55717914218069e-14","***","0.0975962651936205","0.408101574736886","n.s.","0.869708342968932","0","***","-0.715915067593829","7.54171727842583e-13","***","-0.260594245122684","0.0249323043019186","*","-0.71030339975888","1.36561814524593e-12","***","-0.418711613038491","0.000205057577356441","***","-0.358362879389843","0.00171795116382426","**","-0.404160357564378","0.000355391863050504","***","-0.569574810505067","1.18359398431088e-07","***","-0.177203274326521","0.130944121904055","n.s.","-0.428764643072755","0.000138175774858016","***","-0.690800642808124","9.68534555474258e-12","***","0.386178481586717","0.000677985365910239","***","-0.5187233532175","2.19559542063124e-06","***","-0.780515911131852","2.43139661668931e-16","***","-0.334557573352765","0.00357480439502854","**","-0.632629374153691","1.47886936504122e-09","***","-0.532418837261037","1.04757611187235e-06","***","0.330809876410633","0.00399174146783854","**","-0.319185896868637","0.00557301887031649","**","-0.504464677032837","4.58759244710858e-06","***"
"Ph2sim","0.849694521341263","0","***","1","0","***","0.467037223470511","2.73139809401357e-05","***","0.713821616425396","9.42801392511683e-13","***","0.780974729768894","2.22044604925031e-16","***","0.647794715445845","4.42296643754503e-10","***","0.674047020674395","4.62911931009558e-11","***","-0.260340661312511","0.0250786340906443","*","-0.357758656680773","0.00175142916102206","**","-0.555383012820725","2.80872168843866e-07","***","-0.0840533990837568","0.476460865978566","n.s.","-0.81652536837554","7.55681256070483e-19","***","-0.758253674674565","5.14758964436256e-15","***","-0.683661752863058","1.91031853103398e-11","***","-0.126253024406966","0.283775890455461","n.s.","-0.740554846615687","4.65476725107959e-14","***","-0.378915684493276","0.000871167997220642","***","0.368911349226301","0.0012191419634584","**","0.76709782820043","1.55431223447522e-15","***","-0.785915230455995","1.09876862815304e-16","***","-0.390562148888794","0.000581148868507108","***","-0.864671230748955","3.19655355722007e-23","***","-0.328848387536828","0.00422674410728201","**","-0.727101459695036","2.21090297152906e-13","***","-0.3781204107286","0.000895104404452712","***","-0.625956169267335","2.4641271309531e-09","***","-0.550248262618493","3.80237615557224e-07","***","-0.517711960472822","2.31596944738767e-06","***","-0.795411178239348","2.56731452067661e-17","***","0.396199277995407","0.000475171852557299","***","-0.813859775921649","1.20852332934959e-18","***","-0.724793004076491","2.86200034586474e-13","***","-0.47981881565066","1.52031857196344e-05","***","-0.639621273263052","8.5473541176234e-10","***","-0.659742952421018","1.62780599688712e-10","***","-0.172519686538977","0.141602307923821","n.s.","-0.315743964382804","0.00613698423332938","**","-0.596313479895939","2.07048179056303e-08","***"
"Ph3sim","0.27976342473566","0.0157758149858498","*","0.467037223470511","2.73139809401357e-05","***","1","0","***","0.447343583964022","6.44350850671493e-05","***","0.497834953977324","6.39064908525278e-06","***","0.094076033575787","0.425296902395706","n.s.","0.146704919689659","0.212295069650204","n.s.","-0.225336613933302","0.0535668168973768",".","-0.226401682993953","0.052417268214411",".","0.0103705562971177","0.930119536412862","n.s.","0.0680743783265147","0.564414127363468","n.s.","-0.252165800925354","0.0302013573858293","*","-0.288786511032827","0.0125831043721752","*","-0.203196223489652","0.0824991567227383",".","-0.283991205291172","0.0142021606103519","*","-0.284207813889682","0.0141253234500484","*","-0.0411889777523006","0.72751224758774","n.s.","0.120325210096699","0.307173604586184","n.s.","0.311940732573269","0.00681811842944113","**","-0.33634625206219","0.00338984394552384","**","-0.310049951925841","0.00718085116903312","**","-0.245878606504963","0.0347162328388081","*","-0.155391359244187","0.186162810754751","n.s.","-0.395390794822135","0.000489199622558361","***","-0.105450976331557","0.371227399776757","n.s.","0.067748821221942","0.566282483771563","n.s.","-0.379808185414685","0.000844998104508992","***","-0.260822094893893","0.0248014422096565","*","-0.0892953461763092","0.449299511805676","n.s.","0.431580531386433","0.000123435542479511","***","-0.376426808972143","0.000948078755199716","***","-0.318468938256619","0.00568656615424342","**","0.108146082774469","0.359057068274726","n.s.","-0.296811145533981","0.0102302756392369","*","-0.250176132109298","0.0315734232972729","*","-0.252693575102132","0.0298459414570258","*","-0.261075678483012","0.0246564854687834","*","-0.131578804860216","0.263788977747176","n.s."
"Ph4sim","0.448261642926059","6.19796977081588e-05","***","0.713821616425396","9.42801392511683e-13","***","0.447343583964022","6.44350850671493e-05","***","1","0","***","0.701721726794245","3.29691829392686e-12","***","0.315687113148664","0.0061467070519714","**","0.416248263694165","0.000225461889729717","***","-0.363734977506971","0.00144469148114273","**","-0.374943900733423","0.000996779763135204","***","-0.0737408988262857","0.532368429879485","n.s.","0.535779305426164","8.6927027531658e-07","***","-0.42712746322576","0.000147475316070494","***","-0.624285371316429","2.7948508494512e-09","***","-0.337588609341945","0.0032664451123509","**","-0.284012975836132","0.0141944217025398","*","-0.478640624459407","1.60626378368658e-05","***","0.0303381930047233","0.79749146405018","n.s.","0.786944680681699","0","***","0.476091166010591","1.80798574460628e-05","***","-0.312719249560961","0.00667351395911757","**","-0.331790371924596","0.00387868207990843","**","-0.613315745650904","6.27421484730332e-09","***","-0.293521376823804","0.0111439121436777","*","-0.529071620415184","1.25902021626228e-06","***","0.172584780643405","0.141449836809908","n.s.","-0.341416722634138","0.002911009587184","**","-0.465900396946451","2.87427847146679e-05","***","-0.132566259214738","0.260190368481168","n.s.","-0.42774719971999","0.000143889263293142","***","0.0781352507494116","0.508154199895036","n.s.","-0.592199018222759","2.73568893041016e-08","***","-0.360263375808494","0.00161637310032955","**","-0.203881925096572","0.0814469570178213",".","-0.172337915566462","0.142028727951958","n.s.","-0.477524983568427","1.69180490027923e-05","***","-0.379843540121043","0.000843976287173995","***","0.0262034886465346","0.824616405061686","n.s.","-0.366237764732411","0.00133131930593134","**"
"Ph5sim","0.671456982634608","5.84268189385284e-11","***","0.780974729768894","2.22044604925031e-16","***","0.497834953977324","6.39064908525278e-06","***","0.701721726794245","3.29691829392686e-12","***","1","0","***","0.236068092199359","0.0428798917638153","*","0.776934705161668","4.44089209850063e-16","***","0.0574303596316724","0.626949226389806","n.s.","-0.0187844238899675","0.87378493601305","n.s.","-0.322832846940306","0.00502588336611633","**","0.241319310009735","0.0383322016451624","*","-0.465944896211624","2.86855731421294e-05","***","-0.404710497379768","0.000348236210938037","***","-0.244714394338722","0.0356113012945321","*","0.153597266143701","0.19135963132584","n.s.","-0.299601521872559","0.00950720109208985","**","-0.19364605501456","0.098303421457642",".","0.527867660738029","1.34444848454152e-06","***","0.852589275942038","0","***","-0.359255507701951","0.00166954716452523","**","0.0414571666179483","0.725807889366625","n.s.","-0.484092396591724","1.24326997295164e-05","***","-0.618343420339333","4.34786215643518e-09","***","-0.339190236847963","0.00311327950945066","**","0.073715849259748","0.532508081594702","n.s.","-0.19715036592842","0.0922499521301034",".","-0.113992695055326","0.333511672890696","n.s.","-0.0108573891626368","0.926847896679536","n.s.","-0.396030258424224","0.000478073732485086","***","0.539327713085943","7.12255846302412e-07","***","-0.431925733037328","0.000121731989300476","***","-0.394913650982008","0.000497654759015511","***","-0.0720059589744133","0.542083445119854","n.s.","-0.23507397940211","0.0437891932178535","*","-0.566389145463945","1.44205583020064e-07","***","-0.14375459331563","0.221734468726956","n.s.","-0.303019088689806","0.00868269883746752","**","-0.6532255293982","2.82351423009734e-10","***"
"Ph6sim","0.493063597986649","8.07807714808817e-06","***","0.647794715445845","4.42296643754503e-10","***","0.094076033575787","0.425296902395706","n.s.","0.315687113148664","0.0061467070519714","**","0.236068092199359","0.0428798917638153","*","1","0","***","0.270151417325558","0.0199211660900496","*","-0.508676613307899","3.70295329789097e-06","***","-0.676878622989215","3.57922006022982e-11","***","-0.356527396973613","0.00182147252466263","**","-0.342006573262823","0.00285942950268375","**","-0.640022461289605","8.27915778896776e-10","***","-0.545997478367365","4.86748073528416e-07","***","-0.718385687453414","5.78066768436404e-13","***","-0.500476273179714","5.60467821734996e-06","***","-0.754990309877167","7.83410073823968e-15","***","-0.154516710645107","0.188683439091798","n.s.","0.0376347663332971","0.75022126752491","n.s.","0.276134999644642","0.01724389014667","*","-0.611778885217603","7.00959769654431e-09","***","-0.386606559730123","0.000667920355494357","***","-0.67299799177202","5.08832036757004e-11","***","0.416608382389005","0.000222366930177298","***","-0.740678311213431","4.58665411630214e-14","***","-0.431011009078893","0.000126294258969593","***","-0.569040547639865","1.22363483382524e-07","***","-0.705589817949012","2.22466847314638e-12","***","-0.563572884625719","1.71422054798741e-07","***","-0.619273856730673","4.05965284650227e-09","***","0.178009588604858","0.129172384429408","n.s.","-0.810493493806094","2.16352115786414e-18","***","-0.47097732916303","2.2857393588505e-05","***","-0.645718390987207","5.23854543466377e-10","***","-0.528614674880066","1.29082318439808e-06","***","-0.133513882684321","0.256768331048981","n.s.","-0.259157267016951","0.0257711687263252","*","-0.134338500773434","0.253815485900433","n.s.","-0.192723357372358","0.0999478788995782","."
"Ph7sim","0.865496641105951","0","***","0.674047020674395","4.62911931009558e-11","***","0.146704919689659","0.212295069650204","n.s.","0.416248263694165","0.000225461889729717","***","0.776934705161668","4.44089209850063e-16","***","0.270151417325558","0.0199211660900496","*","1","0","***","0.433188683430179","0.00011568257788408","***","0.298122485754503","0.00988470587876544","**","-0.675508513120446","4.0550346649419e-11","***","-0.029219248036518","0.804809936424247","n.s.","-0.424507458357308","0.000163564598413289","***","-0.367352675354221","0.0012834537492879","**","-0.128288610526378","0.276021276240557","n.s.","0.490564749582261","9.12005596087617e-06","***","-0.150328583386256","0.201094868241242","n.s.","-0.604692660494023","1.15967299554765e-08","***","0.229937202436091","0.048745237826612","*","0.927137387722728","0","***","-0.369918335093396","0.00117915730498534","**","0.133593106910127","0.256483630367432","n.s.","-0.417644931729873","0.000213675115288574","***","-0.570460747444375","1.11991804710806e-07","***","-0.0614896703661988","0.602755710448324","n.s.","-0.0239185754036005","0.839696779973377","n.s.","-0.247786150362527","0.0332903638147323","*","0.182941608281751","0.11872936999658","n.s.","-0.00536609903942725","0.963808115620823","n.s.","-0.393228918414225","0.000528586643170343","***","0.45786873140805","4.09977451827359e-05","***","-0.240923717879724","0.0386602031029801","*","-0.467931184857572","2.62371487336614e-05","***","-0.0454587157364362","0.700539677652377","n.s.","-0.288670448300074","0.0126203161896944","*","-0.373981183075979","0.0010295990500475","**","0.372983470289184","0.00106464135649564","**","-0.285837705841603","0.0135585860703338","*","-0.547076911040659","4.57308996399569e-07","***"
"Ph8sim","0.194235535614966","0.0972639577379186",".","-0.260340661312511","0.0250786340906443","*","-0.225336613933302","0.0535668168973768",".","-0.363734977506971","0.00144469148114273","**","0.0574303596316724","0.626949226389806","n.s.","-0.508676613307899","3.70295329789097e-06","***","0.433188683430179","0.00011568257788408","***","1","0","***","0.863775189381448","0","***","-0.389469328925441","0.000604031667314517","***","-0.150432362133546","0.200780443759297","n.s.","0.212962634008769","0.0684937876545981",".","0.233940996121399","0.0448448934547594","*","0.457957429700601","4.08392436450633e-05","***","0.871941581561369","0","***","0.533067855598667","1.01065732893701e-06","***","-0.499545034467118","5.87082390985321e-06","***","-0.265115686971595","0.0224422282009477","*","0.323257303379155","0.00496539985108679","**","0.247381246348284","0.0335888521082364","*","0.438807530209614","9.19858208352498e-05","***","0.365523579062229","0.00136282201321802","**","-0.489619487379558","9.54599818928486e-06","***","0.733899099770997","1.01696429055664e-13","***","0.164413123612744","0.161572427945726","n.s.","0.260408915445634","0.0250391768368605","*","0.827183844154119","0","***","0.408716241380556","0.000299981292924745","***","0.314502694422948","0.00635238072718391","**","0.202715324987271","0.0832435033709422",".","0.665358887379084","1.00170760575224e-10","***","0.0448462377586345","0.704387076928635","n.s.","0.458741335890889","3.94629592697093e-05","***","0.253520826056332","0.029295936649796","*","0.0651209066056632","0.581469311890536","n.s.","0.747774746427364","1.93178806284777e-14","***","-0.100287034764723","0.395235795908842","n.s.","-0.101741974380279","0.388380236052237","n.s."
"g1sim","0.0549319623906647","0.642039624861055","n.s.","-0.357758656680773","0.00175142916102206","**","-0.226401682993953","0.052417268214411",".","-0.374943900733423","0.000996779763135204","***","-0.0187844238899675","0.87378493601305","n.s.","-0.676878622989215","3.57922006022982e-11","***","0.298122485754503","0.00988470587876544","**","0.863775189381448","0","***","1","0","***","-0.183833090324694","0.116912941449103","n.s.","0.0962480661511325","0.414638694086754","n.s.","0.418276595159484","0.000208532678206419","***","0.433763047137491","0.000113024296103603","***","0.668804794377315","7.39797112458973e-11","***","0.913404462966674","0","***","0.717156046081072","6.60138610442118e-13","***","-0.385835676391165","0.000686144726554403","***","-0.141590740212137","0.228842126085459","n.s.","0.209066515023747","0.0738322541436518",".","0.372478739784916","0.00108277706889637","**","0.54559746829287","4.98104775426e-07","***","0.446310838843626","6.73047432508955e-05","***","-0.534143823561095","9.52139096969672e-07","***","0.804672690151345","0","***","0.305696967672461","0.00808105485704647","**","0.348197763429072","0.00236530903971155","**","0.914661622984542","0","***","0.528148837641444","1.3240223919464e-06","***","0.361104607406955","0.00157316418858455","**","-0.0249653292767066","0.83278073002329","n.s.","0.704587209455365","2.46491715927277e-12","***","0.214074455086341","0.0670287167920394",".","0.580968895809552","5.73932257275089e-08","***","0.353259835165814","0.00201973343534756","**","0.12808982706264","0.276772250364444","n.s.","0.780396026284946","2.22044604925031e-16","***","0.145026945941669","0.217628174378906","n.s.","0.0321862925425127","0.7854423043617","n.s."
"g2sim","-0.847385915090011","1.76559078494825e-21","***","-0.555383012820725","2.80872168843866e-07","***","0.0103705562971177","0.930119536412862","n.s.","-0.0737408988262857","0.532368429879485","n.s.","-0.322832846940306","0.00502588336611633","**","-0.356527396973613","0.00182147252466263","**","-0.675508513120446","4.0550346649419e-11","***","-0.389469328925441","0.000604031667314517","***","-0.183833090324694","0.116912941449103","n.s.","1","0","***","0.587754290912477","3.68034613895674e-08","***","0.686841174607836","1.41502365380575e-11","***","0.597077473533834","1.96524643225615e-08","***","0.470297675116577","2.35742932064298e-05","***","-0.425772951595258","0.000155601604790129","***","0.436054534023754","0.000102970331878893","***","0.895218829928802","0","***","0.210809249697662","0.0714045866233206",".","-0.664007873310696","1.12688189744809e-10","***","0.657054417639367","2.04634531542069e-10","***","0.238747378938765","0.0405067162199757","*","0.584326744597459","4.61228808479319e-08","***","0.315146771451804","0.006239797426975","**","0.165058479178774","0.159910190153218","n.s.","0.556115980566986","2.68875018250014e-07","***","0.619344033661487","4.03866939890918e-09","***","0.038941729944137","0.741844815801121","n.s.","0.458237549770668","4.03424052597412e-05","***","0.63397971072227","1.33172051164365e-09","***","-0.277889992388544","0.0165197857148896","*","0.284132280875275","0.0141520762561615","*","0.79678681900331","0","***","0.354337387066484","0.00195230865174278","**","0.615889617516419","5.2043451770345e-09","***","0.476521240612533","1.77237889680271e-05","***","-0.537497576184061","7.8955555863491e-07","***","0.313606643402558","0.00651198379286266","**","0.389583591213828","0.000601601255657336","***"
