"","orig_cTIC.L R","orig_cTIC.L p","orig_cTIC.L sig","orig_cTIC.Ph R","orig_cTIC.Ph p","orig_cTIC.Ph sig","orig_cTIC.L...orig_cTIC.Ph R","orig_cTIC.L...orig_cTIC.Ph p","orig_cTIC.L...orig_cTIC.Ph sig"
"ph1sim","-0.562296876446792","1.85292493198466e-07","***","0.904128272269159","0","***","0.724028796775309","3.11528580709819e-13","***"
"ph2sim","-0.73612440112019","7.85716836315919e-14","***","0.964834149069444","0","***","0.610389379836182","7.74444774975791e-09","***"
"ph3sim","-0.318620420790751","0.00566240656897961","**","0.360352884982407","0.00161172526843201","**","0.175879566810402","0.133892664774342","n.s."
"ph4sim","-0.428825147037702","0.00013784269278557","***","0.613381460733171","6.24446827579561e-09","***","0.434737996947641","0.000108640767314094","***"
"ph5sim","-0.298301778692862","0.00983825809360958","**","0.671803516890316","5.66424684933509e-11","***","0.680482181772652","2.56938914589e-11","***"
"ph6sim","-0.65337630562031","2.78818821011336e-10","***","0.755485159260104","7.32747196252603e-15","***","0.386162292388325","0.000678368701900078","***"
"ph7sim","-0.185410930186097","0.113750494582999","n.s.","0.695768079719355","5.96789284657007e-12","***","0.852054958669608","0","***"
"ph8sim","0.426956457816005","0.000148479223139653","***","-0.19917356866463","0.0888908457587825",".","0.201899181597331","0.084518929735258","."
"g1sim","0.63327046987941","1.40717304475402e-09","***","-0.350309543920001","0.00221517179279754","**","0.214797835309518","0.0660891388623526","."
"g2sim","0.535754031897114","8.70497484983801e-07","***","-0.677064548372426","3.51892708960682e-11","***","-0.405460089662666","0.000338698530364826","***"
"g3sim","0.433610494010612","0.000113724790253622","***","-0.230890213303315","0.0477924490924932","*","0.160914338893032","0.170807070649615","n.s."
"g4sim","0.91412415402463","0","***","-0.838046899200568","1.26152106253448e-20","***","-0.202589636102395","0.0834389230357906","."
"g5sim","0.88303074132088","0","***","-0.789199705009445","6.70153166464138e-17","***","-0.164324361251411","0.161802047978469","n.s."
"g6sim","0.94971757446208","0","***","-0.712556811838079","1.07775258266905e-12","***","0.0334049640117772","0.777524117395856","n.s."
"sy7sim","0.410715436130623","0.000278265499846997","***","-0.11458133705213","0.331004972473232","n.s.","0.313006736474773","0.00662080149676747","**"
"g8sim","0.956265178300294","0","***","-0.764344522730053","2.30880216672014e-15","***","-0.0386639712030297","0.743622531382981","n.s."
"sy9sim","0.334907512286448","0.00353792697803534","**","-0.508319739076245","3.77119751156458e-06","***","-0.384679850336306","0.000714318176599465","***"
"sy10sim","-0.0278446630843905","0.813823333892297","n.s.","0.227755961967287","0.0509848115103517",".","0.318084119954747","0.0057483496280728","**"
"ph11sim","-0.301277137744045","0.0090947835318101","**","0.74283235036338","3.5527136788005e-14","***","0.786487735386488","0","***"
"sy12sim","0.888973684174646","0","***","-0.818238455305444","5.56591784232351e-19","***","-0.202026780297954","0.0843185105798625","."
"sy13sim","0.771718123781258","8.88178419700125e-16","***","-0.436943956548567","9.92956331628548e-05","***","0.246258894696741","0.0344279670404593","*"
"g14sim","0.85084755274218","0","***","-0.872102504559798","4.78927011898947e-24","***","-0.330566900346794","0.0040202075655118","**"
"g15sim","-0.00454886512222957","0.969317084923084","n.s.","-0.195196174352979","0.0955884645065677",".","-0.306490442252422","0.00790994798862122","**"
"g16sim","0.824901404758199","0","***","-0.689763797614959","1.070243303584e-11","***","-0.0802696053373","0.496600810236673","n.s."
"sy17sim","0.736312870946404","7.68274333040608e-14","***","-0.458412955681651","4.00341589018722e-05","***","0.170928565730135","0.145367771892358","n.s."
"g18sim","0.80647790966396","0","***","-0.684080802225978","1.83662358450366e-11","***","-0.0934723361452889","0.428286832125975","n.s."
"g19sim","0.811431913671867","0","***","-0.541555577133124","6.27779636334554e-07","***","0.132262645801229","0.261293276512376","n.s."
"sy20sim","0.853568626799153","0","***","-0.582954951362457","5.04468122755179e-08","***","0.118652692092364","0.313995120476177","n.s."
"sy21sim","0.820213850006285","0","***","-0.810386725172272","2.2034345762701e-18","***","-0.271905239658299","0.0191019314415257","*"
"ph22sim","-0.252937646140178","0.0296827723097677","*","0.363503545017001","0.00145560283959245","**","0.259058810710932","0.0258295089052032","*"
"sy23sim","0.78996541439266","0","***","-0.802914819674906","7.70137823074691e-18","***","-0.29644877954454","0.0103276050141409","*"
"g24sim","0.806190915086425","0","***","-0.77717456283688","3.93091505035378e-16","***","-0.237400371603771","0.041685830025253","*"
"sy25sim","0.746772668495347","2.19824158875781e-14","***","-0.543358875065809","5.66418334329145e-07","***","0.052381994582906","0.657592137517158","n.s."
"sy26sim","0.769467507854463","1.11022302462516e-15","***","-0.690691891973587","9.78751035734273e-12","***","-0.147800113201773","0.208864459784625","n.s."
"g27sim","0.658485654769006","1.81217929551281e-10","***","-0.559246010992654","2.22883701186298e-07","***","-0.077394871803358","0.512193913363816","n.s."
"g28sim","0.314183417522879","0.0064088501428452","**","-0.0402734832163637","0.733340179241778","n.s.","0.312513400144423","0.00671148425089019","**"
"sy29sim","0.353531308428961","0.0020025525206433","**","-0.296147259246386","0.0104092054962723","*","-0.0352226571892036","0.765755995546297","n.s."
"sy30sim","0.404205032069426","0.000354805800856894","***","-0.510557885778495","3.36194911376019e-06","***","-0.305501986984705","0.00812359417666147","**"
