"","NMDS1","NMDS2"
"i14.0",0.140244697428279,0.257307023872244
"X14.0",0.217881469698351,0.106874767979108
"i15.0",0.0999592389404139,0.157038296640062
"a15.0",0.102328865547508,0.142391810802147
"X15.0",0.0771364036778014,0.0939970844912078
"i16.0",0.092246961170697,0.182472539631031
"X14.Me.15.1.4.",0.119721910448271,0.0214248089745559
"X16.0",0.0642445087353636,-0.0131635804310191
"X16.1.9.c",0.149710053537520,-0.025423711307181
"X16.1.11.t",0.0491587629813642,0.156349223599348
"i17.0",0.0892313175440675,0.127862710650335
"a17.0",0.0654281789807438,0.095312986349417
"i17.1.9.c",0.171377468723044,0.105848293617846
"X17.0",0.0470691665171694,-0.00154780113408824
"cy17.0.9.10.",0.0455426811735682,0.0501925277379063
"X18.0",0.0209387637267829,0.00640441733454879
"X18.1.9.t",-0.156266870460167,-0.124113185321378
"X18.1.9.c",-0.00284896518276729,-0.00198376953502118
"X18.1.11.c",0.143226099181790,0.0150008168340708
"X18.2.9.12.t",0.128745171118376,0.105241322699634
"X18.2.9.12.c",-0.0674923991943521,0.0114962962268616
"X18.3.6.9.12.c",-0.125870688666437,-0.265258292623450
"cy19.0.9.10.",0.0175916509237632,0.131938546682437
"X18.3.9.12.15.c",-0.276238315744927,-0.0152477312723903
"X20.0",0.0328407852702880,-0.0262229076715988
"X20.4.5.8.11.14.c",0.0527947105828885,0.0271002153355255
"X22.0",-0.0353812641661024,-0.0684161576010455
"X23.0",-0.0614086311353177,-0.0733146632154147
"X24.0",-0.0410400555384425,-0.0674840869448908
