"","corr...38. R","corr...38. p","corr...38. sig","massloss R","massloss p","massloss sig","cellulase R","cellulase p","cellulase sig","chitinase R","chitinase p","chitinase sig","phosphatase R","phosphatase p","phosphatase sig","chitinase2phenoloxydase R","chitinase2phenoloxydase p","chitinase2phenoloxydase sig","chitinase2peroxydase R","chitinase2peroxydase p","chitinase2peroxydase sig","phosphatase2phenoloxydase R","phosphatase2phenoloxydase p","phosphatase2phenoloxydase sig","phosphatase2peroxydase R","phosphatase2peroxydase p","phosphatase2peroxydase sig","g_n_min R","g_n_min p","g_n_min sig","g_nh4_immo R","g_nh4_immo p","g_nh4_immo sig","g_nitrifi R","g_nitrifi p","g_nitrifi sig","g_n03_immo R","g_n03_immo p","g_n03_immo sig","g_p_min R","g_p_min p","g_p_min sig","C_mic R","C_mic p","C_mic sig","N_.mic R","N_.mic p","N_.mic sig","P_mic R","P_mic p","P_mic sig","C.N_mic R","C.N_mic p","C.N_mic sig","C.Pmic R","C.Pmic p","C.Pmic sig","Sum.of.gram.positiv.markers R","Sum.of.gram.positiv.markers p","Sum.of.gram.positiv.markers sig","Sum.of.general.bacterial.markers.incl..gram. R","Sum.of.general.bacterial.markers.incl..gram. p","Sum.of.general.bacterial.markers.incl..gram. sig","ratioF.B.1 R","ratioF.B.1 p","ratioF.B.1 sig","ratioF.B.2 R","ratioF.B.2 p","ratioF.B.2 sig","ratioF.B.3 R","ratioF.B.3 p","ratioF.B.3 sig","cp.cp R","cp.cp p","cp.cp sig","cut0 R","cut0 p","cut0 sig","cut1 R","cut1 p","cut1 sig","f.cp R","f.cp p","f.cp sig","p R","p p","p sig","ph R","ph p","ph sig","short R","short p","short sig","sy R","sy p","sy sig","ter R","ter p","ter sig","N R","N p","N sig","non R","non p","non sig","Ph R","Ph p","Ph sig","unk.1 R","unk.1 p","unk.1 sig","adf R","adf p","adf sig","P_lit R","P_lit p","P_lit sig","C.N_lit R","C.N_lit p","C.N_lit sig","C.P_lit R","C.P_lit p","C.P_lit sig","N.P_lit R","N.P_lit p","N.P_lit sig","NH4.concentration R","NH4.concentration p","NH4.concentration sig","K.litter R","K.litter p","K.litter sig","CA.litter R","CA.litter p","CA.litter sig","MG.litter R","MG.litter p","MG.litter sig","FE.litter R","FE.litter p","FE.litter sig"
"corr...38.","1","0","***","0.237165987557031","0.170125462527261","n.s.","0.167765405153701","0.33538760221858","n.s.","0.302214340616326","0.0776455864846963",".","0.643101686071782","3.09310229940074e-05","***","0.00255108414264598","0.988395735880948","n.s.","-0.00461514869747259","0.979008410178822","n.s.","-0.536761728067537","0.000886494781209534","***","-0.499490618088797","0.0022516890521247","**","0.483391486887702","0.00377835582378294","**","0.507141617652869","0.00220518680849668","**","0.348724133886703","0.043250199664786","*","0.257738779043958","0.141117228040534","n.s.","0.31860011398006","0.0755338892322663",".","0.432497827713393","0.00946431617121757","**","0.314472551360534","0.065787486163476",".","-0.111106841862478","0.525156435444755","n.s.","-0.0500426883536167","0.775273812905694","n.s.","0.303126945801656","0.0767092838217827",".","0.0463909139258631","0.794458542065088","n.s.","0.108237299589742","0.542316313772683","n.s.","-0.216378277935488","0.219025576957848","n.s.","-0.114670542037085","0.518432200966142","n.s.","-0.536756524527914","0.00106515063009499","**","0.412930383305635","0.0136881887489759","*","0.647678572439157","2.60085911576446e-05","***","0.608617573901116","0.000104796911005067","***","0.633249338133506","4.44981682912182e-05","***","0.514842317415197","0.00155341851047419","**","-0.0467151733835745","0.789870281800424","n.s.","0.06002028010149","0.7319761114166","n.s.","0.379429734844954","0.0245747289039269","*","-0.540432555812444","0.000803992192898116","***","0.533567949898822","0.000964268750407893","***","0.246121265088324","0.154092479493429","n.s.","-0.0467151733835745","0.789870281800424","n.s.","-0.63598385058167","4.02766290091194e-05","***","-0.244359902631864","0.157155964375035","n.s.","0.17991260862585","0.301046797874602","n.s.","-0.638719714486344","3.64186305344794e-05","***","-0.0227569883979151","0.89675685462871","n.s.","0.231392640245698","0.181073795862348","n.s.","0.760744928791445","1.13429521997332e-07","***","0.619032855626776","7.35996099139324e-05","***","-0.421197531708226","0.0117421087770926","*","-0.50412471904666","0.00201662297369479","**","-0.35518687323187","0.0362761685765124","*"
"massloss","0.237165987557031","0.170125462527261","n.s.","1","0","***","-0.123055951543817","0.455471336549314","n.s.","-0.107939398657815","0.513069977143694","n.s.","0.112436323914836","0.49556450494302","n.s.","-0.216924748749761","0.184681452992418","n.s.","-0.234815388586765","0.150173580130872","n.s.","0.027509148569395","0.867970855471678","n.s.","-0.0149764821163293","0.92789776880351","n.s.","0.0378080627956578","0.821699649238224","n.s.","0.0576704632818866","0.73090992543805","n.s.","0.0914817405935218","0.584900462068946","n.s.","0.0700165933281829","0.676161682648186","n.s.","0.0869317048244858","0.614164008529086","n.s.","0.216902813135803","0.184726948758982","n.s.","0.341547501075081","0.0333349741263183","*","0.362742426507106","0.0232355091526073","*","-0.201944117446673","0.217628554943448","n.s.","-0.153507788018623","0.350813916965039","n.s.","0.021374590103365","0.898643826791333","n.s.","-0.05051579443946","0.763269428755532","n.s.","-0.137672103492743","0.409795504320703","n.s.","-0.282976476224442","0.0851606934437773",".","-0.21973920381262","0.184977780767887","n.s.","-0.18163094333349","0.2684599250385","n.s.","-0.00178997100877866","0.99137131254606","n.s.","0.0583098165699588","0.72439035494886","n.s.","-0.0460940221517799","0.780521430020342","n.s.","0.26604642000585","0.10161833343629","n.s.","-0.064630340633316","0.695875864177859","n.s.","-0.272479710457881","0.0933091770384836",".","0.145807935092513","0.375784024857819","n.s.","0.0749223236817895","0.650329273418387","n.s.","0.25884470115059","0.111577243689169","n.s.","-0.196894608387833","0.229594433446555","n.s.","-0.064630340633316","0.695875864177859","n.s.","0.00971341040963203","0.953200671966973","n.s.","-0.0761540732818278","0.649523488471778","n.s.","0.167811878061026","0.307182210421753","n.s.","-0.157116623608857","0.33946655122933","n.s.","-0.118259641385004","0.473358764202132","n.s.","-0.0635467877750988","0.700736304171928","n.s.","0.26482099849382","0.103263181499897","n.s.","-0.00375311955484695","0.981908958358598","n.s.","-0.150595923647215","0.360135720164029","n.s.","0.178019804665602","0.278253087860499","n.s.","-0.179234174566063","0.274934127134239","n.s."
"cellulase","0.167765405153701","0.33538760221858","n.s.","-0.123055951543817","0.455471336549314","n.s.","1","0","***","0.94936163312264","0","***","0.442650630874362","0.00477517202562683","**","0.630508336066232","1.69171654538225e-05","***","0.522731662963715","0.000640283376959205","***","-0.647624911472383","8.33226155489174e-06","***","-0.557953908224795","0.000223742920575187","***","0.808017643805591","8.62613758201292e-10","***","0.780568412447977","7.49453987758386e-09","***","0.809478921366053","7.61513296865246e-10","***","0.75108404269656","5.56054751132962e-08","***","0.702002422138843","1.83203884285277e-06","***","0.539762268441931","0.000390704858048929","***","-0.120382626034608","0.465395941098784","n.s.","-0.410097064856573","0.00951717670973115","**","0.706495990292011","5.01231391281109e-07","***","0.816189933876792","2.41550779378485e-10","***","0.314110850943867","0.0547882561650643",".","0.667582853954276","4.68693236466144e-06","***","0.0826860999376911","0.621637471143413","n.s.","0.614335946678156","4.08129963651582e-05","***","-0.0986583838918007","0.555662901022435","n.s.","0.63914843895187","1.18964061317506e-05","***","0.541769813415345","0.000367964103793916","***","0.662973736603789","4.24940763887882e-06","***","0.659019970623472","5.07272970673434e-06","***","0.422701063305244","0.00734390692572573","**","-0.360109517004931","0.0243311172268758","*","0.29068118181471","0.0726171533112365",".","0.229041210937567","0.16075130998408","n.s.","-0.626489030917643","1.98561086061217e-05","***","0.413637724990692","0.00885730973562748","**","0.339213321719417","0.0346392887034273","*","-0.360109517004931","0.0243311172268758","*","-0.60348713179773","4.76424736763809e-05","***","-0.472140904685394","0.00276419888146639","**","0.516864990999422","0.000754571776917734","***","-0.555294977831083","0.000243224596679809","***","-0.44390248308182","0.0046439588880279","**","-0.235223645299082","0.149445442670602","n.s.","0.368811814351569","0.0208655410205245","*","0.423385915284502","0.00723918738949036","**","-0.108498716849483","0.510875999462521","n.s.","-0.500783261061463","0.0011662764003323","**","-0.0514756091365801","0.755639121105346","n.s."
"chitinase","0.302214340616326","0.0776455864846963",".","-0.107939398657815","0.513069977143694","n.s.","0.94936163312264","0","***","1","0","***","0.459834602509407","0.00322784891408112","**","0.703770402460514","5.79409715983914e-07","***","0.641218869359798","1.09162342158964e-05","***","-0.68223864138041","1.7248788638482e-06","***","-0.534475481828044","0.000456729007790573","***","0.833383196052482","8.40483238562229e-11","***","0.801153912695686","1.52794843444326e-09","***","0.83596328765799","6.49047482426113e-11","***","0.774321757530345","1.17465255300431e-08","***","0.673659645330552","6.69560998067809e-06","***","0.548727450237097","0.000298036192602602","***","-0.087341374035528","0.597004874045425","n.s.","-0.420877875159404","0.00762905907789975","**","0.664185359840461","4.02282832179246e-06","***","0.829752424444726","6.61157795178724e-11","***","0.270807885204071","0.100073292668836","n.s.","0.696550887728104","1.19166683854033e-06","***","0.113034101350089","0.499241804232854","n.s.","0.578415880430932","0.000142562107650512","***","-0.15591719351811","0.349909293211178","n.s.","0.700925608038329","6.72890543063076e-07","***","0.650672648167075","7.31127983999436e-06","***","0.743808196286335","5.76816312491957e-08","***","0.758877985171701","2.16327784574588e-08","***","0.529835096717974","0.000522717584276577","***","-0.301413774332716","0.0622213064949038",".","0.361813322299483","0.0236173431406181","*","0.207595222414467","0.204755060982855","n.s.","-0.684887047875038","1.51577187395301e-06","***","0.529889237938706","0.000521901018293303","***","0.444553493194896","0.00457696819250009","**","-0.301413774332716","0.0622213064949038",".","-0.681651673230568","1.77467835968112e-06","***","-0.456271351790428","0.00398705688432859","**","0.519204426211155","0.000706986113607089","***","-0.671563758671657","2.86590206535777e-06","***","-0.419484868180641","0.00785329170089874","**","-0.166795306966979","0.31016401076558","n.s.","0.410446730744669","0.00945019326546048","**","0.53957427961742","0.000392897438223905","***","-0.227120124472067","0.164387403041271","n.s.","-0.568293419491235","0.000160620594074349","***","-0.160001950634403","0.330558507879467","n.s."
"phosphatase","0.643101686071782","3.09310229940074e-05","***","0.112436323914836","0.49556450494302","n.s.","0.442650630874362","0.00477517202562683","**","0.459834602509407","0.00322784891408112","**","1","0","***","0.0110828687518774","0.94661147154488","n.s.","-0.026932060141387","0.87071695017946","n.s.","-0.472154295708502","0.00240735814806572","**","-0.50222811468686","0.0011225015833506","**","0.525956498368973","0.000695349736536954","***","0.546011406503216","0.000391227833735019","***","0.424476842149894","0.00790368274727205","**","0.309890401881207","0.0583066109588688",".","0.382248204412661","0.0214089114384035","*","0.45718723203458","0.00343306180633851","**","0.270305108115587","0.0960572281669723",".","-0.399506404463534","0.0117473379169931","*","-0.043472310860187","0.79272340118187","n.s.","0.603785867565243","4.71244036612806e-05","***","0.362547043846872","0.0252895665490358","*","0.128097566467849","0.443418191799797","n.s.","-0.412978633774948","0.0099691352819283","**","0.117708990068354","0.481544496181479","n.s.","-0.641598880126457","1.4186578296325e-05","***","0.664705132152687","3.92907134494358e-06","***","0.76130208500777","1.83536994491362e-08","***","0.66304118442752","4.23649311520613e-06","***","0.663462119916657","4.15670512166066e-06","***","0.346054701441961","0.0309303497618398","*","-0.246299634775463","0.13066360326086","n.s.","0.321164094191137","0.0461982379597594","*","0.342858256748094","0.0326203788867843","*","-0.786821033924164","2.86870430791772e-09","***","0.339846830665533","0.0342812276634894","*","0.417413945084646","0.00819709835849847","**","-0.246299634775463","0.13066360326086","n.s.","-0.712391841154465","3.64277506809538e-07","***","-0.507115548305938","0.00115669618912706","**","0.270904965994621","0.0952930600037867",".","-0.537390801675116","0.000419183232178796","***","-0.108998151648322","0.508920900457711","n.s.","0.117948004208712","0.474533658922616","n.s.","0.688147304257521","1.29045202368339e-06","***","0.619817620322721","2.57774124208243e-05","***","-0.142032072018235","0.388403618654926","n.s.","-0.742992826961998","6.07080245251112e-08","***","-0.073979445223194","0.654453265021932","n.s."
"chitinase2phenoloxydase","0.00255108414264598","0.988395735880948","n.s.","-0.216924748749761","0.184681452992418","n.s.","0.630508336066232","1.69171654538225e-05","***","0.703770402460514","5.79409715983914e-07","***","0.0110828687518774","0.94661147154488","n.s.","1","0","***","0.894358257981099","1.70974345792274e-14","***","-0.223098825189822","0.172190164549905","n.s.","-0.0659872011172343","0.689806331224649","n.s.","0.46233322822527","0.00347349144794751","**","0.421319410801809","0.00843055002707582","**","0.541290025386687","0.000449408099770787","***","0.52793729372439","0.000657987897038526","***","0.310403251521302","0.0654021838485557",".","0.0290489231429523","0.860651341648223","n.s.","-0.497768554558664","0.00126251052877942","**","-0.501100231852421","0.00115654577284868","**","0.664796457489714","3.91280665956728e-06","***","0.470149254527768","0.00252691018763573","**","0.208386668074822","0.209294542265882","n.s.","0.720535691066258","3.37989305432274e-07","***","0.374056432103293","0.0206947987691231","*","0.584161756872602","0.000117865340868217","***","0.262398816889468","0.111490079446029","n.s.","0.398681623862717","0.0119382717934113","*","0.244570241059844","0.133474296091858","n.s.","0.304194902983531","0.0597299649487977",".","0.450819956349128","0.00397384395841649","**","0.207202414892479","0.205632328979771","n.s.","-0.170778285513059","0.298585578278468","n.s.","0.229854708982151","0.159229270453216","n.s.","0.0931863173954731","0.572587727725252","n.s.","-0.277269571250495","0.087469800175811",".","0.196116094499675","0.231478437996707","n.s.","0.223972474939169","0.170472801209988","n.s.","-0.170778285513059","0.298585578278468","n.s.","-0.306172378553904","0.0580072893352074",".","-0.0568786221377977","0.734469963624185","n.s.","0.201840881922629","0.217868802416401","n.s.","-0.235200242494667","0.14948711232502","n.s.","-0.188880833366769","0.249491647657347","n.s.","-0.102347434900859","0.5352606228741","n.s.","-0.0403373273782181","0.80737815527021","n.s.","0.181411950396033","0.269047269601707","n.s.","-0.0726408704067514","0.660325349676197","n.s.","-0.289096274749254","0.0742614895446232",".","0.0285926340019699","0.862819201833049","n.s."
"chitinase2peroxydase","-0.00461514869747259","0.979008410178822","n.s.","-0.234815388586765","0.150173580130872","n.s.","0.522731662963715","0.000640283376959205","***","0.641218869359798","1.09162342158964e-05","***","-0.026932060141387","0.87071695017946","n.s.","0.894358257981099","1.70974345792274e-14","***","1","0","***","-0.290781608538717","0.0725139314109958",".","0.0976562088911478","0.554227548314532","n.s.","0.333411262963202","0.0407984717224319","*","0.279978531101373","0.088664039490911",".","0.45632863366289","0.0039819109273036","**","0.444915197344586","0.00512860005741134","**","0.11593482251995","0.500733691928009","n.s.","-0.0194922296281142","0.906242381197502","n.s.","-0.423998778336703","0.00714656702080103","**","-0.459279429707132","0.00326997281383109","**","0.518257801978045","0.000725909330144381","***","0.390996902171064","0.0138475603224295","*","0.083848541757284","0.616727506375245","n.s.","0.637829884310904","1.65182732669855e-05","***","0.405373237241683","0.0115746991180572","*","0.655951293322026","7.79586681720623e-06","***","0.280287690803552","0.0882977003265277",".","0.374871017556473","0.0187044681662933","*","0.237902521396024","0.144731555560755","n.s.","0.256957709473883","0.114304805795252","n.s.","0.423944139453615","0.00715478284636606","**","0.16417309726771","0.317939731416999","n.s.","-0.0404017808638937","0.807076189869384","n.s.","0.241869789324019","0.13795253329922","n.s.","-0.0292429705591945","0.859729713500631","n.s.","-0.247587415425175","0.128599407735856","n.s.","0.166849783050319","0.310003758800752","n.s.","0.236100637820354","0.14789004052329","n.s.","-0.0404017808638937","0.807076189869384","n.s.","-0.246127122696894","0.130941985157715","n.s.","0.0366168775897595","0.827230900479202","n.s.","0.121262657519243","0.462116203119101","n.s.","-0.200357092826893","0.22134204901749","n.s.","-0.102918910658263","0.532971742083556","n.s.","-0.0255217606355606","0.87743413672556","n.s.","-0.0610196394086585","0.712117665764422","n.s.","0.232180605360499","0.154935273705009","n.s.","-0.08965094466006","0.587302452135813","n.s.","-0.321155422560437","0.0462044589377885","*","-0.00409906609874081","0.98024171641494","n.s."
"phosphatase2phenoloxydase","-0.536761728067537","0.000886494781209534","***","0.027509148569395","0.867970855471678","n.s.","-0.647624911472383","8.33226155489174e-06","***","-0.68223864138041","1.7248788638482e-06","***","-0.472154295708502","0.00240735814806572","**","-0.223098825189822","0.172190164549905","n.s.","-0.290781608538717","0.0725139314109958",".","1","0","***","0.696942539527436","8.27270600689545e-07","***","-0.6071005541456","5.31521453791041e-05","***","-0.61331582017561","4.23783984070688e-05","***","-0.593699802786181","8.52634265786755e-05","***","-0.527838433460167","0.00065980936111051","***","-0.529915733906973","0.000887649594085797","***","-0.601620185307377","5.09990337143568e-05","***","-0.210364022503267","0.198645395268097","n.s.","0.27387655866874","0.09157613733131",".","-0.345374105582442","0.031284022741","*","-0.665177329396934","3.8456389181678e-06","***","-0.150009900795466","0.368687739005672","n.s.","-0.399556646485912","0.012946259493268","*","0.0197497445105355","0.906313273674958","n.s.","-0.387513020357584","0.0162275831025524","*","0.256828118096046","0.119578077007344","n.s.","-0.585114359031016","9.14386330234765e-05","***","-0.559153680820392","0.000215421125141608","***","-0.701297125354286","6.59938783329903e-07","***","-0.649259969295706","7.7693553954621e-06","***","-0.392681106262512","0.0134083782886888","*","0.321617061874866","0.0458742203783533","*","-0.107396834339863","0.515202723083122","n.s.","-0.356211674625961","0.0260316303348421","*","0.644649935171095","9.45317215728103e-06","***","-0.402156470044392","0.0111513295265509","*","-0.204246320626143","0.212318309926485","n.s.","0.321617061874866","0.0458742203783533","*","0.612979757138919","3.34765953204919e-05","***","0.493743452638299","0.00163149130348939","**","-0.497065323139904","0.00128594442634774","**","0.607751094644973","4.07158532442775e-05","***","0.400560015078006","0.0115072122784592","*","0.164068735806164","0.318251709541098","n.s.","-0.58897700495076","7.99880477663208e-05","***","-0.528227000282737","0.000547497282890848","***","0.183904237282863","0.262412780070462","n.s.","0.556539944322414","0.000233920730008608","***","0.0998685469243938","0.545243742235378","n.s."
"phosphatase2peroxydase","-0.499490618088797","0.0022516890521247","**","-0.0149764821163293","0.92789776880351","n.s.","-0.557953908224795","0.000223742920575187","***","-0.534475481828044","0.000456729007790573","***","-0.50222811468686","0.0011225015833506","**","-0.0659872011172343","0.689806331224649","n.s.","0.0976562088911478","0.554227548314532","n.s.","0.696942539527436","8.27270600689545e-07","***","1","0","***","-0.591882217000981","9.07615753034155e-05","***","-0.603679676346141","6.00886006307513e-05","***","-0.517184053757121","0.000884488944895268","***","-0.460888719658257","0.00359032949621205","**","-0.641804244840916","2.45621261177027e-05","***","-0.643878638670045","9.76547558896316e-06","***","-0.269559806061855","0.0970132193902806",".","0.237967531504676","0.144618534296208","n.s.","-0.250394504475769","0.124184238268084","n.s.","-0.625581434268508","2.05810924327802e-05","***","-0.246851295983779","0.135151414824381","n.s.","-0.247813326115276","0.133587483539455","n.s.","0.200683979531585","0.227004629503726","n.s.","-0.0913606833360475","0.585399462947053","n.s.","0.401814726921187","0.0123982916170866","*","-0.546988184144275","0.000314296003683672","***","-0.572455724060517","0.000140117718982042","***","-0.706598375903385","4.98494002950155e-07","***","-0.565420717501526","0.000176308709297575","***","-0.352263802986395","0.0278531949043724","*","0.458909157540145","0.00329833338169672","**","-0.0641859176447083","0.697867955102664","n.s.","-0.46677605535644","0.00273980610256151","**","0.678881812619436","2.02802697835125e-06","***","-0.349876754323844","0.029004806984407","*","-0.160019851318938","0.330503698913886","n.s.","0.458909157540145","0.00329833338169672","**","0.608575193379616","3.94877979232877e-05","***","0.672761032369201","3.71007084321029e-06","***","-0.459695996393601","0.00323832106363988","**","0.619076855984466","2.65255429392486e-05","***","0.392810468801498","0.0133751385751621","*","0.155606286150989","0.344187789964861","n.s.","-0.661661799007715","4.50790592533079e-06","***","-0.366453412069976","0.0217612617930514","*","0.0735764707732895","0.656218905300696","n.s.","0.425654948922493","0.00690135753708288","**","0.0230909600133799","0.889031547355879","n.s."
"g_n_min","0.483391486887702","0.00377835582378294","**","0.0378080627956578","0.821699649238224","n.s.","0.808017643805591","8.62613758201292e-10","***","0.833383196052482","8.40483238562229e-11","***","0.525956498368973","0.000695349736536954","***","0.46233322822527","0.00347349144794751","**","0.333411262963202","0.0407984717224319","*","-0.6071005541456","5.31521453791041e-05","***","-0.591882217000981","9.07615753034155e-05","***","1","0","***","0.989945745509646","0","***","0.8084140327848","1.43622425063938e-09","***","0.719966108394205","5.09272186643983e-07","***","0.718538265706577","1.16820402062956e-06","***","0.627841623300593","2.44853247541865e-05","***","0.0232709254600491","0.889704417540245","n.s.","-0.297569572006022","0.0696138927731933",".","0.548974204694829","0.000358251989553748","***","0.729162349336691","2.08059575346198e-07","***","0.200907171444481","0.233131788780498","n.s.","0.583920258754245","0.000148243472217757","***","-0.0100456532484248","0.95294458765703","n.s.","0.307413234790939","0.064191890539961",".","-0.318407976643008","0.0547763506541345",".","0.59980925107295","6.89177386488105e-05","***","0.68795189798759","1.81862743953154e-06","***","0.783900075996955","5.86212389741547e-09","***","0.78233208529422","6.58411569709472e-09","***","0.680881484869275","2.54753598305513e-06","***","-0.206444709585125","0.213666295446674","n.s.","0.323931507358513","0.0472557230086197","*","0.287967210984974","0.0795674528312211",".","-0.661281948931212","6.19120096601448e-06","***","0.69008536814789","1.63973954725449e-06","***","0.447036532505029","0.00489609390905366","**","-0.206444709585125","0.213666295446674","n.s.","-0.753058992014105","4.90472452851782e-08","***","-0.329909747482391","0.0461402469704414","*","0.473328742687382","0.00268755912368945","**","-0.790798966504354","3.47608127901549e-09","***","-0.339544533034748","0.03701630783023","*","-0.0346723614723508","0.836277778140128","n.s.","0.670175895788014","4.17163039645452e-06","***","0.615397844108018","3.92394200310342e-05","***","-0.368688911846345","0.022742482412835","*","-0.510269686692962","0.00106438391842156","**","-0.371510157089948","0.0216461340653448","*"
