"","protease R","protease p","protease sig","phenoloxydase R","phenoloxydase p","phenoloxydase sig","peroxydase R","peroxydase p","peroxydase sig","cellulase2phenolxydase R","cellulase2phenolxydase p","cellulase2phenolxydase sig","cellulase2peroxydase R","cellulase2peroxydase p","cellulase2peroxydase sig","protase2phenoloxydase R","protase2phenoloxydase p","protase2phenoloxydase sig","protease2peroxydase R","protease2peroxydase p","protease2peroxydase sig","aa_conc R","aa_conc p","aa_conc sig","g_prot_depoly R","g_prot_depoly p","g_prot_depoly sig","g_aa_immo R","g_aa_immo p","g_aa_immo sig","g_p_immo R","g_p_immo p","g_p_immo sig","g_glucan_depoly R","g_glucan_depoly p","g_glucan_depoly sig","net_glucan_depoly R","net_glucan_depoly p","net_glucan_depoly sig","g_glucose_consumption R","g_glucose_consumption p","g_glucose_consumption sig","glucose_conc R","glucose_conc p","glucose_conc sig","N.Pmic R","N.Pmic p","N.Pmic sig","total.PFLA.content R","total.PFLA.content p","total.PFLA.content sig","identified.PLFA.content R","identified.PLFA.content p","identified.PLFA.content sig","approx..Fungal.Biomass R","approx..Fungal.Biomass p","approx..Fungal.Biomass sig","main.fungal.marker.18.2.9.12.c R","main.fungal.marker.18.2.9.12.c p","main.fungal.marker.18.2.9.12.c sig","al R","al p","al sig","ar R","ar p","ar sig","bf R","bf p","bf sig","c.cp R","c.cp p","c.cp sig","c.f R","c.f p","c.f sig","f.f R","f.f p","f.f sig","f.fp R","f.fp p","f.fp sig","g R","g p","g sig","ind R","ind p","ind sig","o R","o p","o sig","unk R","unk p","unk sig","al.1 R","al.1 p","al.1 sig","C R","C p","C sig","Cut R","Cut p","Cut sig","L R","L p","L sig","cellulose R","cellulose p","cellulose sig","llignin_extr R","llignin_extr p","llignin_extr sig","starch R","starch p","starch sig","C_lit R","C_lit p","C_lit sig","N_lit R","N_lit p","N_lit sig","NO3.concentration R","NO3.concentration p","NO3.concentration sig","PO4.concentration R","PO4.concentration p","PO4.concentration sig","DOC R","DOC p","DOC sig","TN R","TN p","TN sig","DON R","DON p","DON sig","MN.litter R","MN.litter p","MN.litter sig","ZN.litter R","ZN.litter p","ZN.litter sig","corr...60. R","corr...60. p","corr...60. sig","recidx R","recidx p","recidx sig","L_PH R","L_PH p","L_PH sig"
"protease","1","0","***","0.32508040337412","0.0434570209991436","*","0.358060479148089","0.0252131651433884","*","-0.16789040650387","0.306952631088428","n.s.","-0.23995168082489","0.14120016619463","n.s.","0.148219014206329","0.367854368203724","n.s.","0.0670284993429189","0.685161294913141","n.s.","0.143261347828145","0.384268268856391","n.s.","0.367562284239657","0.0213361967417425","*","0.395689863432723","0.0126531426588044","*","0.168741874284724","0.325214697604448","n.s.","-0.0964565460716918","0.564560135331105","n.s.","0.304145925317175","0.0633816282135478",".","-0.169368494099262","0.302651748570173","n.s.","-0.286710463350831","0.076791599766554",".","0.211996906146609","0.195102754925621","n.s.","-0.343194149174986","0.0349048216273051","*","-0.361818717422814","0.0256066987169904","*","-0.444749878423995","0.00514711422870927","**","-0.444749702975366","0.00514713390798241","**","-0.367188140131928","0.0214788361645478","*","0.0463905424290952","0.779144562912174","n.s.","-0.271750718610662","0.0942235832640356",".","0.0461025104946107","0.780482005912166","n.s.","0.0450890484608278","0.785192828600208","n.s.","0.115833941021613","0.482544213827822","n.s.","0.122764072683778","0.456549336785309","n.s.","0.39393815804022","0.0130883237947386","*","-0.100565653548743","0.542427382899479","n.s.","-0.202530889315853","0.216266501129966","n.s.","0.142322087217403","0.387425657464413","n.s.","-0.329446554058579","0.0405577874972965","*","0.181269714506487","0.269429202518142","n.s.","0.198470974216408","0.225811724069986","n.s.","0.335694954355804","0.0366840211819024","*","-0.528493019572145","0.000647831874762093","***","-0.509042144321768","0.00109950489600847","**","-0.0515382061732168","0.775768283135459","n.s.","-0.165693195064688","0.313417345551214","n.s.","0.0501429105781245","0.761779454814542","n.s.","0.227692465951161","0.163297962064183","n.s.","0.302641600119449","0.0611114462453799",".","0.20849846390955","0.202747733573911","n.s.","0.20642434398213","0.207377738789151","n.s.","-0.158792363643225","0.334275125061195","n.s.","0.126463348098696","0.442988896182974","n.s.","0.131667488506072","0.424291575022835","n.s.","-0.0503425115381755","0.760858878260652","n.s.","0.143428385527351","0.383708345556554","n.s.","-0.271854783514887","0.0940926303842424","."
"phenoloxydase","0.32508040337412","0.0434570209991436","*","1","0","***","0.898344603848948","8.65973959207622e-15","***","0.0401000947359283","0.808489829988435","n.s.","0.098641118526569","0.55021948652682","n.s.","-0.771244164637106","9.1612360857665e-09","***","-0.734196315055927","1.0416357127625e-07","***","0.721547817214524","2.18420866948676e-07","***","0.45053764794824","0.00399944688081133","**","0.534232419292537","0.000459991138779925","***","0.322373754665338","0.0551713869256956",".","0.279957437957291","0.0886890765103658",".","-0.36810481551378","0.0229751410279835","*","0.344384256570199","0.0318043301381079","*","0.377420033451286","0.0178531641761397","*","0.527862428854757","0.000553258800718437","***","0.128354725074188","0.442495882039581","n.s.","0.136453403239114","0.413992652745854","n.s.","-0.0501933389016371","0.764737683971825","n.s.","-0.0501933881244607","0.764737459780777","n.s.","0.420385726726474","0.00770764366039267","**","0.632581992321786","1.55615169508128e-05","***","-0.703832976955363","5.77495315762782e-07","***","0.720146785238586","2.36507910811312e-07","***","-0.645182390179208","9.24293791214052e-06","***","-0.644499987659238","9.5131618031634e-06","***","0.645459938812886","9.13505513810975e-06","***","0.443197898222248","0.00471741973793716","**","0.466282326052654","0.00277224913142948","**","-0.196546120414436","0.230436477576383","n.s.","-0.5470239855928","0.000313953445535686","***","0.0906812827178513","0.582996741237074","n.s.","-0.405090796273336","0.0105216134627133","*","0.818261870453557","1.99557481650459e-10","***","0.461361872962149","0.00311440206757863","**","-0.66712770405907","4.78317892670758e-06","***","-0.545676561645099","0.000395120284002682","***","-0.04748295113342","0.793013704240237","n.s.","-0.11620253907826","0.481142480846558","n.s.","0.77560945638469","6.67841382195888e-09","***","0.504155648065765","0.00106637156036715","**","0.446816251428781","0.00435060516334129","**","0.578957169201892","0.000112783162094399","***","0.557098127331947","0.000229854200078705","***","-0.591906860561133","7.2186605119606e-05","***","0.76125302300189","1.84152129101278e-08","***","0.552047196233899","0.000269081195992005","***","0.155735431078316","0.343782525823338","n.s.","-0.562232873893172","0.00019532269238903","***","0.0338522252203939","0.8378945368689","n.s."
"peroxydase","0.358060479148089","0.0252131651433884","*","0.898344603848948","8.65973959207622e-15","***","1","0","***","0.0454225984261582","0.783641563808761","n.s.","-0.0907900253331538","0.582543138279317","n.s.","-0.62548091090315","2.06628571839853e-05","***","-0.75734931422434","2.39721163549637e-08","***","0.73959066750197","7.49947257627781e-08","***","0.502222548688753","0.00112266738455702","**","0.479900455226304","0.00199080371571658","**","0.327477241959589","0.051216927482062",".","0.171476113833975","0.30329720653037","n.s.","-0.222272943025695","0.17983589315963","n.s.","0.21505496876405","0.188588083852275","n.s.","0.281137177602878","0.0829643988253221",".","0.524855976281893","0.000602872985578928","***","0.077156635153066","0.64521151957776","n.s.","0.0833526920762123","0.618819904035362","n.s.","-0.123063824557244","0.461682252120686","n.s.","-0.123063871012666","0.461682081730986","n.s.","0.314264774524634","0.0513657897597881",".","0.619597226394276","2.59979638230767e-05","***","-0.74338200171764","5.92456225346056e-08","***","0.653076785389066","6.5881992283856e-06","***","-0.585747682144211","8.94650238676208e-05","***","-0.58867750219743","8.08270761276175e-05","***","0.621732148319929","2.39320176660396e-05","***","0.53041044863028","0.000514098111119132","***","0.432080267665191","0.00601733882830047","**","-0.27985426008108","0.0844384383643142",".","-0.44933200635267","0.00411041024770393","**","0.066322347562568","0.688310072505273","n.s.","-0.365321100659383","0.0222025780612541","*","0.791534942686291","1.980634101173e-09","***","0.556273781151492","0.000235882485794869","***","-0.706689958901329","7.1022397376549e-07","***","-0.63005739016877","2.24646784662418e-05","***","-0.0598138984194103","0.740907293706047","n.s.","-0.101862727123266","0.537205695509762","n.s.","0.7811602756829","4.42229075581224e-09","***","0.553657342955502","0.000255969018968072","***","0.546325823756188","0.000320694420687051","***","0.635829428126728","1.36366615877126e-05","***","0.613199432021601","3.31998413090062e-05","***","-0.579030047632102","0.000112506203709077","***","0.705616216426474","5.25331540490726e-07","***","0.460980362542149","0.00314240949639921","**","0.00128308292081495","0.993814747810722","n.s.","-0.444010465926543","0.00463278865394651","**","0.0241029049563049","0.884200625127798","n.s."
"cellulase2phenolxydase","-0.16789040650387","0.306952631088428","n.s.","0.0401000947359283","0.808489829988435","n.s.","0.0454225984261582","0.783641563808761","n.s.","1","0","***","0.878475612226294","1.99396055222678e-13","***","-0.267466042535029","0.0997379047397143",".","-0.233743803112155","0.152097116261569","n.s.","0.179980741877315","0.272906621369412","n.s.","-0.522799750783718","0.000639052940659818","***","0.0582795912454209","0.724527634690793","n.s.","0.332710309614879","0.047400729819181","*","0.519843214842175","0.000822839354628124","***","-0.46402094264898","0.00334118929210462","**","0.499416087417942","0.00120908275249398","**","0.517214331560148","0.000747289719819966","***","-0.157376170598531","0.338659249628511","n.s.","0.725879946319112","2.50777985932871e-07","***","0.707617103949252","6.76667990084923e-07","***","0.669507860673364","4.29916916044881e-06","***","0.669507846551556","4.29917189403994e-06","***","0.197187075276889","0.228889373561802","n.s.","-0.0427415816163194","0.796133187930737","n.s.","-0.265855755426041","0.101872934736137","n.s.","0.266340715242575","0.101226304175686","n.s.","-0.0278071282729796","0.866553504672066","n.s.","-0.057421356063049","0.728429163678982","n.s.","0.166075258929004","0.312287097866556","n.s.","0.175942680013881","0.283990379404184","n.s.","-0.0884395199834386","0.592382881074964","n.s.","0.601979471504049","5.03368642295055e-05","***","-0.0923163024031312","0.576193246385553","n.s.","0.00963783138632046","0.953564416595106","n.s.","0.167832573970949","0.307121694975697","n.s.","0.16833074998404","0.305667297959306","n.s.","0.170584107863029","0.299143545664396","n.s.","0.085240847021347","0.610868182446982","n.s.","-0.162685045376568","0.329124481248765","n.s.","0.481938957124041","0.00451167643139749","**","-0.280680328802972","0.0834869971756664",".","0.0514621925257213","0.755700864399758","n.s.","-0.313522731230958","0.0519481483493534",".","0.376222982380657","0.0182488048800957","*","0.373017627497094","0.0193446028222408","*","0.372837484072074","0.0194077885222574","*","0.445718566084068","0.00445917110008587","**","0.137908438490994","0.402464272960938","n.s.","0.206053444948617","0.208213375663773","n.s.","0.62203541553067","2.36510073032825e-05","***","-0.210845461169127","0.197596231277566","n.s.","-0.246945726356139","0.129624918745155","n.s."
"cellulase2peroxydase","-0.23995168082489","0.14120016619463","n.s.","0.098641118526569","0.55021948652682","n.s.","-0.0907900253331538","0.582543138279317","n.s.","0.878475612226294","1.99396055222678e-13","***","1","0","***","-0.368984609763367","0.0208011427690209","*","-0.159319725793732","0.332651570626364","n.s.","0.140275513545805","0.39435765478063","n.s.","-0.507287554181332","0.000980462818425697","***","0.0881407252669603","0.593638920611458","n.s.","0.239914554132576","0.158726932227124","n.s.","0.594543670135034","8.28146181779399e-05","***","-0.58626015370926","0.000109856461399268","***","0.605740701119258","4.38586756807968e-05","***","0.586679989639572","8.66297865709242e-05","***","-0.105835282523985","0.521365503762419","n.s.","0.723527748239419","2.86222226808519e-07","***","0.709256698194303","6.20878628065924e-07","***","0.708515170986767","6.455629188995e-07","***","0.708515170617076","6.45562931333998e-07","***","0.288674444300261","0.0747040152113063",".","0.00924326313693852","0.95546353266709","n.s.","-0.19507059696286","0.23402506367248","n.s.","0.322920213389913","0.0449522699502647","*","-0.10553173039788","0.522567702737382","n.s.","-0.125764890838749","0.445532188369238","n.s.","0.188863647486503","0.249535521587354","n.s.","0.0488168767799037","0.767903388234653","n.s.","-0.0292141148655392","0.859866752043376","n.s.","0.603296889022954","4.79750843784821e-05","***","-0.200259763867754","0.221571198031203","n.s.","0.0257752198594991","0.876226285204226","n.s.","0.094702604319822","0.566328599562642","n.s.","0.18602604190811","0.256850619448159","n.s.","0.0364189837286705","0.825785779018917","n.s.","0.11664398161642","0.485547213855296","n.s.","-0.056935507783815","0.734214028183252","n.s.","0.467781396956297","0.00604952135871395","**","-0.265339004454236","0.102565418612145","n.s.","0.0466392809347039","0.77799007855095","n.s.","-0.338551963796087","0.0350163510677212","*","0.221524790179708","0.175315552196544","n.s.","0.252326831355599","0.121211507965281","n.s.","0.246621906914332","0.130144733785889","n.s.","0.37324495364212","0.0192651136649451","*","0.187356429010765","0.253403424186764","n.s.","0.317401209962112","0.0489619122918796","*","0.683456049731371","1.6256653454505e-06","***","-0.313552155069933","0.0519249560326734",".","-0.209094815762623","0.201429982210156","n.s."
"protase2phenoloxydase","0.148219014206329","0.367854368203724","n.s.","-0.771244164637106","9.1612360857665e-09","***","-0.62548091090315","2.06628571839853e-05","***","-0.267466042535029","0.0997379047397143",".","-0.368984609763367","0.0208011427690209","*","1","0","***","0.831423102172685","5.59232660179987e-11","***","-0.617327803297538","2.83710992919175e-05","***","-0.229379704520441","0.160116719706308","n.s.","-0.338738753326048","0.0349095173209214","*","-0.214115134064039","0.209858329230479","n.s.","-0.385610427933519","0.0168050205636421","*","0.605867822052195","5.55633132761635e-05","***","-0.490315646520864","0.00153118912713828","**","-0.618300005383046","2.7331316858138e-05","***","-0.48935825461615","0.00156912405603039","**","-0.343133732304021","0.0349389563349189","*","-0.356350937036487","0.0280942195210579","*","-0.230884354099906","0.163121841056644","n.s.","-0.230884231973708","0.16312206984614","n.s.","-0.515447847662234","0.000784764136321449","***","-0.541433791958263","0.000371685788594152","***","0.541662014255449","0.00036915440583063","***","-0.759071884634048","2.13517058093747e-08","***","0.640121541393848","1.14261234502866e-05","***","0.699843795923947","7.11952050869158e-07","***","-0.563084405365287","0.000190071004971082","***","-0.27573835943594","0.089304924847724",".","-0.359854950734136","0.0244392855344445","*","-0.0705431505717835","0.669568029313475","n.s.","0.662085504565604","4.42288539481694e-06","***","-0.0574434500643127","0.72832863943038","n.s.","0.422908708851379","0.0073120194912879","**","-0.708157619729984","4.58475468352594e-07","***","-0.319016672771397","0.047759561968685","*","0.338949212786738","0.0373704070395227","*","0.306098387436938","0.0616189300681922",".","-0.0681842927012645","0.706154767316986","n.s.","0.153394698124646","0.351173191936884","n.s.","-0.61131680757577","3.56406879668114e-05","***","-0.360125797932709","0.0243242128165502","*","-0.275342138373753","0.0897845943587855",".","-0.370987857203707","0.0200666066339046","*","-0.389250974941508","0.0143156279647788","*","0.428239926975314","0.00653311053518268","**","-0.730757900939213","1.27908111992101e-07","***","-0.523114697407742","0.000633388815942298","***","-0.25424059473906","0.118320255104681","n.s.","0.709982384819599","4.15418117016841e-07","***","-0.167016193854611","0.309514553864085","n.s."
"protease2peroxydase","0.0670284993429189","0.685161294913141","n.s.","-0.734196315055927","1.0416357127625e-07","***","-0.75734931422434","2.39721163549637e-08","***","-0.233743803112155","0.152097116261569","n.s.","-0.159319725793732","0.332651570626364","n.s.","0.831423102172685","5.59232660179987e-11","***","1","0","***","-0.630365463648182","1.70144236367567e-05","***","-0.277004036926571","0.0877859292605458",".","-0.218434963838741","0.181568265754572","n.s.","-0.176923007131714","0.301956907242693","n.s.","-0.277760574433605","0.0913266997886595",".","0.435843168062734","0.00623395741149269","**","-0.356378269701171","0.0259569876033958","*","-0.500971320864691","0.00116049447907929","**","-0.570918382182627","0.000147397831315739","***","-0.23539124233097","0.154835636308466","n.s.","-0.252019358586869","0.126907081921507","n.s.","-0.101609548176275","0.543841638762155","n.s.","-0.101609416126396","0.543842165011778","n.s.","-0.415971866702075","0.00844406158369484","**","-0.564196849498628","0.00018340180828645","***","0.586802638776497","8.62629153113303e-05","***","-0.75446564554688","2.90369138761609e-08","***","0.643472123379309","9.93384788450236e-06","***","0.72361531668293","1.94055931768133e-07","***","-0.579252317842426","0.000111665305974658","***","-0.380108602349936","0.0169907523291436","*","-0.336464544014981","0.0362285481837662","*","0.0925607538153029","0.575179153075383","n.s.","0.616071615113141","2.97679227492242e-05","***","0.0525563399649179","0.750670539690538","n.s.","0.44687354786231","0.004345001910808","**","-0.758706351035239","2.18844395430877e-08","***","-0.423979877040393","0.00714940821277759","**","0.453112761066989","0.00427990677762446","**","0.439001323974844","0.00582789126765282","**","-0.0904001749988374","0.616855256868176","n.s.","0.174008039085908","0.289402677502228","n.s.","-0.657802355065015","5.35429893136378e-06","***","-0.457974395819667","0.00337088759200378","**","-0.3304704016022","0.0399012026006274","*","-0.362489290136488","0.0233390278312476","*","-0.382822702483874","0.0161559639003328","*","0.532274195883103","0.000487041650659492","***","-0.676225098274147","2.30188252302814e-06","***","-0.390963766565553","0.0138563215938995","*","-0.077576473768627","0.638775796715944","n.s.","0.68649497176366","1.40047479657568e-06","***","-0.200166283895395","0.221791438455712","n.s."
"aa_conc","0.143261347828145","0.384268268856391","n.s.","0.721547817214524","2.18420866948676e-07","***","0.73959066750197","7.49947257627781e-08","***","0.179980741877315","0.272906621369412","n.s.","0.140275513545805","0.39435765478063","n.s.","-0.617327803297538","2.83710992919175e-05","***","-0.630365463648182","1.70144236367567e-05","***","1","0","***","0.457242724353109","0.00342864619671879","**","0.603173620523431","4.81917250603203e-05","***","0.379482143074364","0.0224496791354734","*","0.39548889596661","0.0139851806859641","*","-0.373872775822559","0.0207622278160781","*","0.426329660655941","0.00680355772164276","**","0.487945359777002","0.00162662231319488","**","0.53173434654524","0.000494744744258702","***","0.199953050602151","0.228736762822809","n.s.","0.211487602218955","0.202443021269176","n.s.","-0.00221553667532671","0.98946722931285","n.s.","-0.0022155314843485","0.989467253989643","n.s.","0.45502332028087","0.00360916145654033","**","0.677313482846029","2.18582316247051e-06","***","-0.693039183496836","1.00966241407442e-06","***","0.755385505439905","2.73224673996708e-08","***","-0.730230849271964","1.31962164486435e-07","***","-0.743644264752115","5.82786168311004e-08","***","0.648852234961499","7.90637037217934e-06","***","0.437640313817295","0.00533304580976313","**","0.494167112264335","0.00138663248296056","**","-0.143078302723813","0.384882400260706","n.s.","-0.646942905452722","8.57790031099818e-06","***","0.140659847359194","0.393050411819755","n.s.","-0.528842699217237","0.000537888560298017","***","0.724959531944602","1.79590877724678e-07","***","0.435383236234894","0.00560224635926487","**","-0.367201693109797","0.0233387684703879","*","-0.328041194992523","0.0443620540066816","*","-0.171682098544934","0.339411134514514","n.s.","0.0107455979865229","0.948233954326987","n.s.","0.712615045157153","3.59847210917863e-07","***","0.640463579218635","1.12649024477385e-05","***","0.277722696743279","0.0869323705872758",".","0.643319937495878","9.9975610092784e-06","***","0.698870482383104","7.48872567957193e-07","***","-0.574079713841729","0.000132781114490393","***","0.739662714273191","7.46623411984615e-08","***","0.555264501657096","0.000243456462821534","***","0.133586281244142","0.417511127581395","n.s.","-0.609775617960374","3.77591330588513e-05","***","0.29648740972656","0.0668360038965738","."
"g_prot_depoly","0.367562284239657","0.0213361967417425","*","0.45053764794824","0.00399944688081133","**","0.502222548688753","0.00112266738455702","**","-0.522799750783718","0.000639052940659818","***","-0.507287554181332","0.000980462818425697","***","-0.229379704520441","0.160116719706308","n.s.","-0.277004036926571","0.0877859292605458",".","0.457242724353109","0.00342864619671879","**","1","0","***","0.4404362228437","0.00501516104929989","**","-0.0438390722559785","0.799593328146374","n.s.","-0.142903528658346","0.39205613172772","n.s.","0.167576672579829","0.314589633429591","n.s.","-0.157919460870135","0.336973214537772","n.s.","-0.118608188994087","0.472046534213351","n.s.","0.601121780353546","5.19306963591148e-05","***","-0.639206496406168","1.56289290380702e-05","***","-0.627066014140601","2.52308119617317e-05","***","-0.671277912947725","3.96879328097565e-06","***","-0.671277908900534","3.96879400900359e-06","***","-0.0989330315084503","0.549034190242673","n.s.","0.394337280564334","0.0129880686712904","*","-0.408922506320335","0.00974515918155667","**","0.366739314922004","0.0216509962494733","*","-0.397147836643888","0.0123003548066634","*","-0.368274320382211","0.0210669226829288","*","0.36283738027719","0.0231967770275197","*","0.393605211706707","0.013172457297153","*","0.161941350167168","0.324653190763202","n.s.","-0.515266179158347","0.000788711275887895","***","-0.288257711436267","0.0751432182426515",".","-0.19847704276405","0.225797244667286","n.s.","-0.296536642497086","0.066788585964272",".","0.362128327623122","0.0234873049147766","*","0.393493571401406","0.013200770529842","*","-0.38839376281431","0.0159659836988968","*","-0.352116189318264","0.0301549554195892","*","-0.321564175124138","0.0680269192958111",".","0.094008415308667","0.569190256004358","n.s.","0.363748262121169","0.0228279463919818","*","0.672086783629475","2.79682754267263e-06","***","0.027392735237147","0.86852469032667","n.s.","0.00499745275439747","0.975912468898983","n.s.","0.057931263092438","0.726110310647493","n.s.","-0.754054443498344","2.98351718636195e-08","***","0.431847783054075","0.00604753072850195","**","0.243609590718211","0.135054838974476","n.s.","-0.475419900018951","0.00222324740304331","**","-0.16412001584383","0.318098388992862","n.s.","0.298876988736212","0.0645649762251863","."
"g_aa_immo","0.395689863432723","0.0126531426588044","*","0.534232419292537","0.000459991138779925","***","0.479900455226304","0.00199080371571658","**","0.0582795912454209","0.724527634690793","n.s.","0.0881407252669603","0.593638920611458","n.s.","-0.338738753326048","0.0349095173209214","*","-0.218434963838741","0.181568265754572","n.s.","0.603173620523431","4.81917250603203e-05","***","0.4404362228437","0.00501516104929989","**","1","0","***","0.423696857190085","0.0100228541816951","*","0.372975181628564","0.0210944211747726","*","-0.247379641421652","0.134290838070845","n.s.","0.318419145896102","0.0482014836747444","*","0.252022094411878","0.12167674243987","n.s.","0.413475328980784","0.00888669439985712","**","-0.0223202014981925","0.89418456359721","n.s.","-0.0250123492433327","0.88150705398143","n.s.","-0.17905913958476","0.282085985021602","n.s.","-0.179059125263965","0.282086024146189","n.s.","-0.0191625758874404","0.90782117437924","n.s.","0.385313780455105","0.0154204469860195","*","-0.575782335488609","0.000125463264311605","***","0.426555228837779","0.00677112884072018","**","-0.24177111036431","0.138118252075372","n.s.","-0.190144804263324","0.246279011671662","n.s.","0.483882573108804","0.00180244402181318","**","0.441317982097954","0.0049183756258282","**","0.139838234700449","0.395848043664753","n.s.","-0.0471318628334432","0.775705218079325","n.s.","-0.215680733207273","0.187274190402632","n.s.","-0.110366132597346","0.503585087253751","n.s.","0.0395304696484056","0.811160609387024","n.s.","0.38450075551398","0.0156573309317267","*","0.366206150943278","0.021857001574124","*","-0.425428779086844","0.00775048389631754","**","-0.547058108610843","0.000379280424913481","***","-0.00464752002032866","0.979521644786484","n.s.","-0.0833419723538222","0.613969259954549","n.s.","0.38347812689762","0.0159596355527949","*","0.327006822428397","0.0421577990664257","*","0.408012897782452","0.0099249049285215","**","0.392706525447777","0.0134018413091743","*","0.377434349290592","0.0178484765530538","*","-0.355016359433364","0.0265724227406519","*","0.433478748170749","0.00583845518433557","**","0.535963796153601","0.000437201554291944","***","0.0923087827468372","0.576224454088857","n.s.","-0.120642835038173","0.464424893933888","n.s.","-0.197597920456418","0.227901433321107","n.s."
