"Code","Harvest","Litter","Initial (start) FM","Initial (start) DM","Start water content","FM at harvest","DM at harvest","Water content at harvest","Mass loss","Cellulase","Chitinase","Phosphatase","Protease","Peroxydase","Phenoloxidase","Amino acid concentration","Gross protein depolymerization","Gross amino acid immobilization","Gross N mineralization","Gross NH4 immobilization","Gross nitrification","Gross NO3 immobilization","Gross P mineralization","Gross P immobilization","Glucan Gross Depolymerisation","Glucan Net Depolymerisation","Glucose Gross Consumption","Glucose concentration","Acid detergent fibre","Cellulose","Lignin not ash corrected","Starch","NH4 concentration","NO3 concentration","PO4 concentration","Respiration","C_lit","N_lit","P_lit","C:N_lit","C:P_lit","N:P_lit","K litter","CA litter","MG litter","FE litter","MN litter","ZN litter","C_mic","N_ mic","P_mic","C:N_mic","C:Pmic","N:Pmic","DOC","TN","DON","pH H2O","total PFLA content","identified PLFA content ","approx. Fungal Biomass","main fungal marker 18:2(9,12)c","Sum of gram positiv markers","Sum of general bacterial markers incl. gram+","ratioF/B 1","ratioF/B 2","ratioF/B 3","acc_resp","F2BqPCR","F2Bprot"
"E1-A-I-A","I","AK",61.38,24.55,60,38.04,24.31,36.11,1,0.021,0.018,0.864,0.109,1.003,0.531,2.47,99.28,180.61,14.37,1.17,10.19,8.23,50.92,93.36,126.62,-152.3,278.92,50.25,,,,,2.48,2.05,18.22,371.5066666667,51.82,0.92,0.04,56.3,1328.72,23.6,0.26,1.37,0.28,214,175,32,0.89,0.07,68.45,12.49,12.5,1,387.74,9.6,5.08,6.5,,,,,,,,,,,10.45,5.4
"E1-A-I-C","I","AK",61.07,24.43,60,43.9,24.19,44.9,1,0.027,0.025,0.976,0.144,0.253,0.294,2.65,130.03,254.68,20.82,17.55,10.19,6.86,57.9,101.91,,-104.86,86.81,31.92,,,,,2.23,2.22,12.9,502.6266666667,50.48,0.89,0.04,56.77,1262,22.23,0.25,1.31,0.27,208,179,30,1.42,0.08,82.32,17.64,16.69,0.95,425.59,10.13,5.67,6.5,,,,,,,,,,,6.72,5.4
"E1-A-I-D","I","AK",60.79,24.31,60,44.36,24.07,45.74,1,0.074,0.029,0.962,0.203,0.3,0.313,1.54,110.78,157.33,15.61,11.02,15.05,12.64,73.43,100.95,43.83,-59.04,102.87,26.27,,,,,2.92,2.5,14.81,191.07,50.63,0.86,0.04,58.65,1332.37,22.72,0.26,1.33,0.27,211,174,31,0.8,0.08,84.06,9.85,9.17,0.93,527.27,13.63,8.2,6.6,,,,,,,,,,,8.11,5.4
"E1-A-I-E","I","AK",61.86,24.74,60,38.67,24.5,36.66,1,0.034,0.016,0.859,0.104,0.332,0.383,2.43,81.42,210.39,10.28,2.78,9.83,9.6,43.2,39.1,293.56,-125.12,418.68,53.09,,,,,2,2.21,13.13,252.4866666667,49.73,0.85,0.04,58.28,1227.78,21.07,0.26,1.33,0.27,213,166,30,0.41,0.07,69.92,6.2,5.7,0.92,405.98,10.23,6.02,6.6,,,,,,,,,,,11.58,5.4
"E1-A-I-F","I","AK",60.82,24.33,60,39.73,24.09,39.38,1,0.061,0.024,0.921,0.137,0.235,0.199,2.66,120.41,237.52,15.48,3.76,12.04,10.43,71.37,104.59,146.93,-152.09,299.02,47.14,,,,,3.07,2.24,25.18,294.0666666667,51.63,0.87,0.04,59.28,1259.15,21.24,0.26,1.31,0.27,203,167,31,1.26,0.08,52.28,15.32,22.95,1.5,536.34,13.67,8.37,6.5,,,,,,,,,,,29.47,5.4
"E1-A-II-A","II","AK",61.41,24.56,60,44.65,21.7,51.4,11.66,3.567,2.182,25.581,1.601,0.33,0.435,7.99,75.56,240.53,31.81,36.01,31.33,38.77,21.75,28.7,161.78,-89.79,251.58,18.11,64.06,26.82,35.81,0.06,6.3,1.62,37.05,149.27,50.65,0.87,0.04,58.47,1266.13,21.65,0.25,1.39,0.28,214,184,36,2.14,0.14,227.87,15.72,9.25,0.59,398.53,15.48,7.56,7,363.16,1571.05,22,259.62,40.52,668.02,6.41,0.0116,1.2181,,12.8,1.1
"E1-A-II-B","II","AK",60.92,24.37,60,45.23,24.48,45.88,-0.44,5.289,2.449,23.651,1.518,0.949,0.561,7.02,48.23,47.64,31.04,28.97,36.35,61.06,37,78.74,310.13,-190.66,500.79,48.08,62.78,25.55,35.82,0.071,6.4,2.62,59.58,129.2866666667,50.85,0.9,0.04,56.21,1240.24,22.07,0.24,1.39,0.28,217,169,34,2.23,0.14,204.81,15.49,10.69,0.69,302.57,12.25,3.23,7,457.55,2034.48,28.74,339.12,47.79,852.77,7.1,0.0055,1.2727,,15.14,1.1
"E1-A-II-C","II","AK",61.66,24.66,60,51.04,26.85,47.4,-8.85,2.331,1.673,20.287,1.079,0.368,0.353,7.16,27.55,88.44,11.72,6.5,44.02,63.2,37.12,81,219.51,-148.48,367.99,31.63,62.76,25.81,35.55,,6.24,2.24,39.45,107.5433333333,47.74,0.83,0.04,57.23,1256.18,21.95,0.23,1.25,0.26,199,159,30,1.93,0.12,276.87,16.05,6.88,0.43,325.46,12.79,4.31,6.9,433.48,1873.39,31.43,370.87,40.15,711.21,9.24,0.0098,1.498,,10.09,1.1
"E1-A-II-D","II","AK",60.81,24.32,60,48.24,23.25,51.8,4.41,4.094,2.521,26.311,1.903,0.598,0.566,7.2,43.61,179.48,11.82,7.91,42.33,61.29,32.25,54.29,214.63,-132.01,346.64,31.07,53.33,23.54,28.6,0.07,7.82,3.26,57.75,0,49.85,0.88,0.04,56.44,1311.84,23.24,0.24,1.31,0.28,204,151,34,1.8,0.13,257.55,13.63,6.88,0.5,312.29,12.27,1.19,7.1,428.33,1711.67,25.94,306.04,19.15,635.47,15.98,0.0249,1.5342,,12.98,1.1
"E1-A-II-E","II","AK",60.94,24.37,60,44.83,23.08,48.51,5.3,2.004,3.262,17.228,1.003,0.31,0.319,7.74,131.42,231.89,12.43,14.57,39.58,58.01,31.61,51.98,256.99,-173.07,430.05,36.55,65.77,27.24,37.06,0.049,7.4,2.95,38.41,164.34,50.05,0.88,0.04,56.58,1220.61,21.57,0.25,1.31,0.28,218,170,33,1.92,0.12,256.73,15.98,7.36,0.46,329.35,13.25,2.89,7,518.5,2274.34,33.27,392.53,62.22,951.16,6.31,0.0107,1.2685,,12.23,1.1
