Litter,K litter,CA litter,MG litter,FE litter,MN litter,ZN litter,pH H2O
AK,0.26,1.37,0.28,214,175,32,6.5
AK,0.25,1.31,0.27,208,179,30,6.5
AK,0.26,1.33,0.27,211,174,31,6.6
AK,0.26,1.33,0.27,213,166,30,6.6
AK,0.26,1.31,0.27,203,167,31,6.5
KL,0.53,1.29,0.14,205,1439,33,6.4
KL,0.53,1.23,0.14,204,1464,32,6.5
KL,0.53,1.24,0.14,203,1409,33,6.5
KL,0.54,1.29,0.14,204,1411,33,6.3
KL,0.55,1.23,0.15,223,1425,34,6.3
OS,0.21,1.67,0.20,442,765,40,6.5
OS,0.21,1.59,0.20,458,757,36,6.5
OS,0.21,1.64,0.20,445,794,34,6.5
OS,0.21,1.62,0.20,495,799,35,6.4
OS,0.20,1.65,0.19,426,765,35,6.3
SW,0.56,1.21,0.15,207,2215,41,6.3
SW,0.55,1.26,0.15,192,2146,45,6.5
SW,0.55,1.21,0.15,193,2131,43,6.1
SW,0.53,1.26,0.15,189,2241,42,6.4
SW,0.55,1.19,0.15,180,1952,41,6.6
