"name","N-methyl-pyrrol","pyridine","methylpyridine1","methylpyridine2","pyrrole","methylpyrrol1","methylpyrrol2","Pyridol","Indole","Methylindole"
"RT",,,,,,,,,,
"MW",,,,,,,,,,
"m/z",,,,,,,,,,
"class","p","p","p","p","p","p","p","p","ind","ind"
"origin","N","N","N","N","N","N","N","N","N","N"
"tic",5.4743220269,1.6763104903,1.4113710874,0.5530547433,1.8853371611,1.8407913815,2.2955035346,2.1142456847,2.9698643238,0
"exclude",F,F,F,F,F,F,F,F,F,F
,,,,,,,,,,
"sim",,,,,,,,,,
"Filename","Area","Area","Area","Area","Area","Area","Area","Area","Area","Area"
"AK-0-A",4749499,6761233,1606600,1143530,12032850,5721627,6672508,29608431,6769994,4904098
"AK-0-B",5406055,7839225,1836505,1267477,13697297,6216099,7179282,34545779,7535432,5495752
"AK-0-C",7164305,10113665,2358846,1615379,18086472,8305793,8753778,45882759,9190017,6612271
"AK-0-D",4000314,6155472,1398503,945432,10728493,5053443,5973769,25887288,6197857,4397158
"AK-2-A",5643471,7917662,1707478,1197895,13056930,6265201,8384897,16283918,8734385,5858618
"AK-2-B",3231130,4870751,1042882,751466,8314456,3846746,5620236,11868922,6544354,4406457
"AK-2-C",2441978,3965668,803965,564091,6234672,3183005,4622713,7385449,4785696,3227132
"AK-2-D",6799418,8975005,1971949,1362239,16359667,7208963,9311884,26967325,9801782,6845717
"AK-2-E",4984488,7178980,1585409,1104024,11999476,5777628,7780076,18425028,7743929,5373809
"AK-3-A",4944865,7058334,1544036,1065100,11847578,5655705,7703922,15618683,7615418,5239573
"AK-3-B",5338115,7506573,1548676,1104353,12488171,5965411,7943032,16829748,7724698,5259086
"AK-3-C",6969643,9313816,1919897,1349146,15446236,6963073,9160016,22481168,8930104,6385435
"AK-3-D",2862493,4719437,950794,672452,7035540,3517258,5053899,9362674,4944919,3269959
"AK-3-E",4423165,6341638,1349669,954271,10614503,5037677,6742139,15348319,6693604,4472099
"AK-4-A",5127252,7230685,1657151,1172693,12228769,6145717,8379704,15603819,9258147,6291811
"AK-4-B",2988663,4632134,1028289,721094,7865004,3788278,5521056,11746969,5623234,3931266
"AK-4-C",7371551,9547404,2245862,1566050,18079561,7740824,10265432,26662791,10083836,7185403
"AK-4-D",5326069,7292127,1604448,1190646,13530814,6104001,7876419,20206623,7812316,5685933
"AK-4-E",2613449,4181234,923148,663677,7120549,3318018,4935835,9390938,4925910,3303750
"KL-0-A",4152169,6602359,1636252,1069968,13314851,5389261,6031206,32917021,6992494,5020194
"KL-0-B",3385599,5541520,1407813,890526,11099579,4715528,4954042,27704342,5734612,4095338
"KL-0-C",3350639,4996557,1272670,820587,10637744,4365204,4752267,23994554,5631924,4071891
"KL-0-D",3348211,5481114,1344821,880584,10996374,4519326,5013411,26439199,5950318,4205601
"KL-2-A",5629165,8090628,2003187,1319040,17281711,6739929,8200405,23428811,10843179,7457661
"KL-2-B",2865614,4782843,1139067,728369,9003181,3837343,5266270,12077801,6044162,4139550
"KL-2-C",6005268,7975886,1987510,1258036,16803398,6762250,8380744,23482210,9496400,6781117
"KL-2-D",4019479,6341378,1558825,984906,12331801,5364970,6939636,13423377,7814825,5301116
"KL-3-A",11391086,13685496,3301940,2143298,27283529,10124576,11977666,32920109,13459917,9939314
"KL-3-B",2889121,4729630,1072194,701002,8416657,3654929,4911474,9837889,5366321,3707951
"KL-3-C",2425768,3812846,850589,554167,6949993,3081701,4105820,9222184,4701529,3127768
"KL-3-D",2000307,3325159,743074,514969,5705174,2640270,3750137,6735250,4488481,2961788
"KL-3-E",6171830,8230440,1930012,1267332,15958385,6590658,8100478,20230948,9331010,6458135
"KL-4-A",5443291,7316984,1818265,1235554,15457624,6027985,7779830,21320307,9490675,7024817
"KL-4-B",2890283,4409589,1072193,710826,8417252,3699431,5073138,12488944,5666427,3989522
"KL-4-C",3777023,5795167,1362727,937923,11020358,4612648,6294451,14979659,7199319,4979215
"KL-4-D",4379959,6227070,1476850,1007393,12691352,5097399,6747862,17794975,7680260,5422941
"KL-4-E",6609403,8864095,2223910,1475777,18089752,7397132,9294825,23332074,10685109,7813422
"OS-0-A",6986698,9981384,2356235,1522949,17244901,7251076,7522763,49432027,6930858,5280228
"OS-0-B",6125365,8818886,2054426,1338032,15148719,6271368,6719873,43849794,6365736,4934276
"OS-0-C",9229477,12396437,3002070,1946472,21287893,8635681,8797294,62042329,7934636,6389177
"OS-0-D",2460397,4239659,945695,624528,6600994,3086099,3543067,18786349,3287592,2496822
