"","name","RT","MW","m/z","class","origin","tic","exclude","","sim"
"f1","Furan","2.35","68","39+68","f","C","1.1940583305","F","",""
"f2","Methylfuran","2.74","82","81+82","f","C","0.999770402","F","",""
"f3","Methylfuran","2.91","82","81+82","f","C","0","F","",""
"f4","Dimethylfuran","3.43","96","95+96","f","C","0","F","",""
"f5","Dimethylfuran","3.66","96","95+96","f","C","1.1","F","",""
"f6","Vinylfuran","5.01","94","65+94","f","C","2.5891238115","F","",""
"f7","3-Furaldehyd","11.57","96","95+96","f","C","1.652828514","F","",""
"f8","2(5H)Furanon","11.69","98","55+98","f","C","2.409331274","F","",""
"f9","2-Furaldehyd","12.22","96","95+96","f","C","1.6737352185","F","",""
"cp10","Acetylfuran","12.99","110","95+110","cp","C","2.378797135","F","",""
"f11","5-Methyl-2-furancarboxaldehyde","14.23","110","109+110","f","C","2.440815327","F","",""
"cp12","Butyrolactone","15.22","86","56+86","cp","C","12.373827545","F","",""
"cp13","Furanmethanol","15.61","98","98","cp","C","5.206772312","F","",""
"f14","5-Methyl-2(5H)-furanone","16.06","98","55+98","f","C","3.9163635165","F","",""
"f15","5-hydroxymethylfuran1--carboxaldehyde","27.51","126","97+126","f","C","2.171627102","F","",""
"ar1","toluene","","","","ar","non","0","F","",""
"ar2","xylene1","","","","ar","non","4.462227926","F","",""
"ar3","xylene2","","","","ar","non","0","F","",""
"ar4","xylene3","","","","ar","non","0","F","",""
"ar5","methoxymethylbenzene","","","","ar","non","4.0364724957","F","",""
"ar6","benzaldehyde","","","","ar","non","12.8768662682","F","",""
"ph1","Phenol","21.02","","","ph","Ph","1.7178283107","F","",""
"ph2","Methylphenol[I]","22.11","","","ph","Ph","1.7002710599","F","",""
"ph3","Methylphenol[II]","22.22","","","ph","Ph","1.3531491485","F","",""
"ph4","Ph2","23.38","","","ph","Ph","1.3566398935","F","",""
"ph5","Ph3:1a","26.93","","","ph","Ph","5.1335999795","F","",""
"ph6","Ph3","31.11","","","ph","Ph","1.3874825599","F","",""
"ph7","Ph4","31.86","","","ph","Ph","2.4176114171","F","",""
"ph8","Hydroquinone","33.4","","","ph","Ph","2.1434598319","F","",""
"cp1","2-Oxopropanoic Acid, ME","7.92","102","43+102","cp","C","0.579144112","F","",""
"cp2","1-Hydroxypropanone","9.24","74","43","cp","C","1.428699657","F","",""
"cp3","Propanoic acid, ME","12.1","102","43+102","cp","C","1.442887015","F","",""
"f41","unknown carbohydrate 1","19.06","","58+86+114","f","C","1.830393883","F","",""
"cp5","unknown carbohydrate 2","19.35","","98+126","cp","C","5.34990526","F","",""
"f61","unknown carbohydrate 3","21.77","","116","f","C","0","F","",""
"cp7","unknown carbohydrate 4","22.33","","44","cp","C","3.336083454","F","",""
"f81","unknown carbohydrate 5","26.18","","57+69","f","C","1.153004104","F","",""
"f91","unknown carbohydrate 6","31.67","","73+135","f","C","7.590107005","F","",""
"f10","laevoglucosan","40.44","","60+73","f","C","0","F","",""
"cp11","10.26_2-cyclopenten-1-one","10.26","82","53+54+52","cp","C","2.020538261","F","",""
"cp21","10.51_2-methyl-2-cyclopenten-1-one","10.51","96","53+96","cp","C","2.36623591","F","",""
"cp31","13.31_3-methyl-cyclopentanone","13.31","","67+96","cp","C","4.0617533325","F","",""
"cp4","13.69_dimethylcyclopentenone","13.69","110","67+95+110","cp","C","1.6276422925","F","",""
"cp51","14.44_2-cyclopenten-1,4-dione","14.44","96","54+68+96","cp","C","1.6790668675","F","",""
"cp6","17.51_1,2-cylopentandione","17.51","98","55+98","cp","C","2.2214713485","F","",""
"cp71","18.14_2-cyclopenten-1-one,_-2-hydroxy-3-me","18.14","98","98","cp","C","15.95856595","F","",""
"cp8","18.42_1,2-cyclopentanedione,_-3-methyl-","18.42","112","69+112","cp","C","2.735582125","F","",""
"p1","N-methyl-pyrrol","","","","p","N","5.4743220269","F","",""
"p2","pyridine","","","","p","N","1.6763104903","F","",""
"p3","methylpyridine1","","","","p","N","1.4113710874","F","",""
"p4","methylpyridine2","","","","p","N","0.5530547433","F","",""
"p5","pyrrole","","","","p","N","1.8853371611","F","",""
"p6","methylpyrrol1","","","","p","N","1.8407913815","F","",""
"p7","methylpyrrol2","","","","p","N","2.2955035346","F","",""
"p8","Pyridol","","","","p","N","2.1142456847","F","",""
"ind9","Indole","","","","ind","N","2.9698643238","F","",""
"ind10","Methylindole","","","","ind","N","0","F","",""
"cut01","25:0","","","","cut0","Cut","3.1630145673","F","",""
"cut12","25:1","","","","cut1","Cut","13.3215299613","F","",""
"cut03","27:0","","","","cut0","Cut","2.9741359895","F","",""
"cut14","27:1","","","","cut1","Cut","6.2380446392","F","",""
"cut05","29:0","","","","cut0","Cut","4.4698656921","F","",""
"cut16","29:1","","","","cut1","Cut","13.8218011302","F","",""
"al1","alcene_5.61+5.67","","","","al","al","5.8283446938","T","",""
"short2","propanol_5.62","","","","short","non","0","T","",""
"f31","unknown_furan_6.36","","","","f","C","1.9282758805","F","",""
"cp41","cyclopentanone_6.99","","","","cp","C","0","F","",""
"ar51","xylene4_6.99","","","","ar","non","4.0670481675","F","",""
"ter6","limonen_7.29","","","","ter","non","0.5925572274","F","",""
"p71","methylpyridine3_7.54","","","","p","N","1.8775678491","F","",""
