"total_plfa","id_plfa","fung_bm","sum_gpos","sum_bact","f2b1","f2b2","f2b3","i14:0","14:0","i15:0","a15:0","15:0","i16:0","14-Me-15:1(4)","16:0","16:1(9)c","16:1(11)t","i17:0","a17:0","i17:1(9)c","17:0","cy17:0(9.10)","18:0","18:1(9)t","18:1(9)c","18:1(11)c","18:2(9,12)t","18:2(9,12)c","18:3(6,9,12)c","cy19:0(9.10)","18:3(9,12,15)c","20:0","20:4(5,8,11,14)c","22:0","23:0","24:0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.16,1571.05,22,40.52,668.02,6.41,0.0116,1.2181,1.13,3.73,11.36,15.33,5.99,6.12,6.59,477.1,82.98,9.58,2.45,4.14,2.46,22.7,28.6,67.73,5.55,95.39,76.3,1.31,259.62,7.78,12.07,306.18,6.99,3.98,27.3,9.51,11.09
457.55,2034.48,28.74,47.79,852.77,7.1,0.0055,1.2727,2,7.36,13.76,18.65,8.07,6.3,9.15,652.5,101.41,8.14,2.25,4.84,2.09,30.59,28.95,58.49,5.89,118.47,80.88,0.91,339.12,4.66,10.88,446.75,9.06,4.27,33.36,12.15,13.55
433.48,1873.39,31.43,40.15,711.21,9.24,0.0098,1.498,2.52,5.22,10.82,14.71,6.5,6,4.44,531.44,78.26,10.39,2.28,3.82,2.2,27.74,27.27,50.64,4.49,110.67,85.8,1.33,370.87,6.97,11.87,422.91,7.77,4.35,35.46,11.72,14.93
428.33,1711.67,25.94,19.15,635.47,15.98,0.0249,1.5342,1.28,2.23,4.63,5.27,2.8,3.19,8.39,471.02,63.2,8.03,2.01,2.77,1.53,26.59,27.73,65.88,3.02,107.16,87.3,0.43,306.04,15.84,12.03,398.31,15.47,4.04,35.08,16.5,13.9
518.5,2274.34,33.27,62.22,951.16,6.31,0.0107,1.2685,3.52,9.41,16.97,24,10.64,9.1,13.3,705.29,117.82,12.2,3.01,5.63,2.89,32.87,37.45,67.09,6.22,139.28,96.41,1.18,392.53,10.17,13.98,458.53,12.77,4.02,39.21,13.58,15.29
