"","f1sim","f2sim","f3sim","f4sim","f5sim","f6sim","f7sim","f8sim","f9sim","cp10sim","f11sim","cp12sim","cp13sim","f14sim","f15sim","ar1sim","ar2sim","ar3sim","ar4sim","ar5sim","ar6sim","ph1sim","ph2sim","ph3sim","ph4sim","ph5sim","ph6sim","ph7sim","ph8sim","cp1sim","cp2sim","cp3sim","f4sim.1","cp5sim","f6sim.1","cp7sim","f8sim.1","f9sim.1","f10sim","cp1sim.1","cp2sim.1","cp3sim.1","cp4sim","cp5sim.1","cp6sim","cp7sim.1","cp8sim","p1sim","p2sim","p3sim","p4sim","p5sim","p6sim","p7sim","p8sim","ind9sim","ind10sim","cut01sim","cut12sim","cut03sim","cut14sim","cut05sim","cut16sim","al1sim","short2sim","f3sim.1","cp4sim.1","ar5sim.1","ter6sim","p7sim.1","f8sim.2","unk9sim","al10sim","al11sim","al12sim","cp13sim.1","cp14sim","al15sim","ar16sim","cp17sim","ar18sim","cp19sim","cp20sim","o21sim","al22sim","unk23sim","unk24sim","unk25sim","al26sim","o27sim","bf28sim","unk29sim","g1sim","g2sim","g3sim","g4sim","g5sim","g6sim","sy7sim","g8sim","sy9sim","sy10sim","ph11sim","sy12sim","sy13sim","g14sim","g15sim","g16sim","sy17sim","g18sim","g19sim","sy20sim","sy21sim","ph22sim","sy23sim","g24sim","sy25sim","sy26sim","g27sim","g28sim","sy29sim","sy30sim","cp1sim.2","short2sim.1","short3sim","short4sim","short5sim","short6sim","short7sim","short8sim","short9sim","short10sim","short11sim","fa1sim","fa2sim","fa3sim"
"AK-0-A","15871599","17456827","2758714","5242087","13322028","2076386","19318561","7669386","137579283","6792705","20155856","998961","6782113","3757847","30832591","33007215","3705204","2296002","9707009","3459689","2153517","160091202","166641581","8763595","23511822","2172316","64097346","3733407","8957195","911573","59938975","67289765","107351622","2117367","641030","6880506","8903150","9669544","40174371","18744288","4084438","6132250","4103883","8976896","41217305","1045500","14433506","4749499","6761233","1606600","1143530","12032850","5721627","6672508","29608431","6769994","4904098","1374174","1574129","9032466","4320691","252403","702422","3244137","2417901","1585331","339975","2816371","8319281","1229138","3463401","577289","2943272","1551682","2909988","3459358","1483746","727914","2244228","268735","1370236","6728087","17732032","1359586","12571003","5784300","7414385","6069911","1005507","7747040","217415906","2110897","55878425","48695489","14118379","6504512","118559872","4482161","37809167","33237423","31612504","10525544","2812187","7127776","63413639","11022886","5612009","353404","5094381","11945760","12893098","39865245","7582485","14984445","306324","8714078","8435499","18059500","8515157","1433472","1095981","5130690","37040436","27521741","12176967","128782480","11112045","31009739","1221259","15754643","1540159","489259","2354610","437442","5686886","944236"
"AK-0-B","18902755","19725459","3152279","6230345","15928982","2463931","22519284","9562722","170023461","8306177","23436876","1351347","8910263","4592407","38365558","35743947","3749569","2428844","10430247","3777832","2559616","177229440","177895341","9601399","27273053","2282771","70649748","4192008","11821173","1047776","84733077","81221031","120472408","2806374","840358","9162489","10546630","11699583","52109604","23597270","5163983","7473333","5059069","10746673","56736467","1442987","19976201","5406055","7839225","1836505","1267477","13697297","6216099","7179282","34545779","7535432","5495752","1293871","2253838","9099305","5168181","297319","886414","3888272","3058072","1788527","488569","2943910","9047572","1372898","4044598","650277","3364527","1777800","3416506","5137464","1792392","770136","2434130","390585","1519884","8095654","21578224","1637287","13363771","6369295","7728544","7371029","1142950","10135360","254368873","2359775","69259257","57636875","17973767","8168890","146866319","5769452","44818087","41792436","34781226","12121644","3222963","8149416","71017280","14058830","6979832","438075","5819001","14564902","15872227","46358161","8876191","16686006","387071","11025094","9885045","20521788","10952582","2006514","1293741","6232222","45331464","32702421","14547130","150087069","14456097","39478993","1615124","20030505","1976969","697322","3167168","572557","6300261","954614"
"AK-0-C","23248198","24879301","4066437","8001378","20157926","2972845","26084349","11719098","192654324","9739345","27512013","1504512","10218868","5584688","40429563","46689988","4825277","3241295","13091634","4788264","2992979","207306197","226633256","12141855","35872382","2908868","69779543","5035186","13108301","1509470","96095000","95262186","151442870","3113719","884748","10866619","12126415","14166175","66717544","26947264","6028964","8803626","6008084","13228588","63326127","1591350","21969049","7164305","10113665","2358846","1615379","18086472","8305793","8753778","45882759","9190017","6612271","2671707","2732817","17629907","6552258","452007","1154645","4372878","3292054","2298402","544314","3895447","11853404","1877741","4773575","835082","3603889","2088419","3699796","6095276","2095469","1010954","3173787","438635","1911677","11089400","29214236","1998957","10615229","4802372","5080635","9038894","1484549","11187323","304926783","2721965","78716722","72173662","21893132","9432067","169980098","6589287","50964046","48554997","41773585","14994282","3771539","9629960","83498476","15369482","5049155","466097","6966798","16771710","18434930","54784661","10414527","19657758","449137","12802830","12021080","25389755","11719059","2681609","1648740","7438737","55602031","40242648","16705994","189074451","16237217","46946639","2139161","23365965","2353891","846341","3945510","334019","4258289","469376"
"AK-0-D","15055501","15662934","2484929","4581458","12337826","1870794","17798470","7735113","127059439","6273510","19567380","937512","6208254","3485468","28202645","28148657","2800028","1933029","8067949","2908585","1896312","146120251","149719203","7621003","21213321","1723159","63880948","3243728","8681959","927191","62068404","64140502","108089151","1830149","604736","6689093","7820366","9893808","48142198","17024955","3637334","5448635","3536098","8671997","40378242","1126860","13635993","4000314","6155472","1398503","945432","10728493","5053443","5973769","25887288","6197857","4397158","1301402","1488468","6853934","4159123","180296","534394","2895088","2212830","1344530","312428","2284820","7466624","1074462","3174068","487577","2493478","1396698","2538249","3525707","1349850","611764","1869908","245667","1154556","6455321","17288270","1271751","6707707","3248313","3495640","5706725","954060","7663964","205039003","1759663","50173951","44822652","12900826","6017676","109367124","4262898","32310494","30664932","26246604","8631205","2432625","5838980","53476048","10271538","6096705","315309","4130687","10825126","11448694","33182980","6509237","13064210","266284","8598130","7769035","15776070","8980103","2154728","970677","4685433","35460053","24829769","11416388","120980909","10649884","29516331","1091353","15379831","1478870","394498","2769851","257339","2588119","320984"
"AK-2-A","18187944","18771790","2971148","5549477","19522864","2242845","21970557","10003170","148502064","7563870","23058794","1180249","6221696","5165974","25163127","36783711","3589951","2546633","12738941","3323099","2441689","194983285","192598261","8921064","34730446","2250256","86631521","4408957","10365047","1175558","82418106","71191521","93837579","2598734","787219","7238758","8863917","9801192","47429983","23185778","5123546","7174891","4876539","9710391","47900835","1056544","18724125","5643471","7917662","1707478","1197895","13056930","6265201","8384897","16283918","8734385","5858618","1404808","2016283","17525751","6898361","555258","1678063","1002070","1502341","1612307","440542","2675841","14198693","1300564","3327217","535149","95334","881634","261713","5248334","1635578","580222","1980268","400039","1529979","7678140","20323812","1411357","6673601","3159261","3303897","6751090","1341452","6729838","258787204","1883388","61082869","50096455","18183559","6715978","116721135","4842899","40707033","33548718","30701503","14030886","3063457","7342461","61083188","10459283","7264653","352339","5621415","11611025","13033522","42137673","7567281","13354647","322118","9304078","9229225","20483068","9581794","3049938","1495754","5532882","47642390","35222287","12207773","152873306","13946049","39648822","1832946","18352939","2100790","819791","1819053","203815","2464479","207242"
"AK-2-B","11747766","11522272","1763724","3248707","12210902","1351409","15834409","6417515","100555509","4700682","13748687","683538","5025881","2830272","23138007","21880708","2029387","1303764","7091838","2077084","1484593","123706743","121523249","5258694","15127469","1324102","84858025","3079086","7844339","923812","54248514","58226937","93000081","1441851","546555","5981758","7198638","8972704","23420892","13322488","2711937","4172235","2703958","7187396","35141322","978081","11028407","3231130","4870751","1042882","751466","8314456","3846746","5620236","11868922","6544354","4406457","985297","1689040","10428417","5238775","384368","1285222","637293","933213","1004740","240703","1426479","8095980","755457","2638901","291104","307556","727427","364400","2661698","1107272","401183","1190191","188331","978288","5098679","13156431","1049793","4981166","2484869","2445355","5204048","836505","5546447","196558467","1466117","43570422","37559136","9946169","5056734","95956174","3433128","29829959","26337917","23955085","7860693","2075300","5410678","52731448","8867455","7862138","262093","4019427","9725153","10346632","31484929","6087046","10467075","224383","7757965","7407781","15014557","8772198","3060027","1082103","3594318","27845604","18980165","8054400","98712026","7815994","24606994","879665","11636119","1162584","374730","1896943","168147","2253185","204372"
"AK-2-C","9416092","9352485","1524486","2588517","10146767","1058585","12205090","5279778","77661079","3825938","11248100","553580","3338472","2423411","14311723","19113894","1875227","1306975","6550329","1796923","1291032","109954217","103733540","5099871","14650281","1084646","59920827","2208590","5349693","661098","42012647","40863063","59454080","1216461","408464","4018663","4855178","5522768","26374358","11301715","2448986","3638073","2376712","5398651","24669524","636002","8848619","2441978","3965668","803965","564091","6234672","3183005","4622713","7385449","4785696","3227132","740513","1025609","8601910","3078899","188179","760222","455320","698510","760203","183925","1460269","7224914","638160","1899489","243637","67821","529329","169295","2336112","881663","359226","1115162","166383","739768","3796781","10533258","785869","4132311","1809011","2018986","3536694","842473","3638958","146626614","1054050","31591026","25248082","8262505","3401933","62055245","2357621","21466528","17161641","15977201","6613597","1623824","3770152","33421682","5652943","5624535","170048","2893576","6015602","6702885","22034346","3973894","7276635","152962","4889859","4676107","10185300","5597913","2434621","713856","3144829","24317078","17625283","6728877","80584262","7077986","20466621","736379","9288893","1007352","331417","1099560","96466","1283904","136789"
"AK-2-D","21454372","21847313","3479690","6850704","21435089","2558967","25357754","11271328","180066137","8665299","26544097","1384825","8575539","5493501","35673460","42263287","4208723","2795924","13411747","4317948","2749193","223889494","234255930","10856847","37166684","2879630","112621454","5454568","13358215","1481949","101185433","91667745","143806749","3135191","956475","10161788","11637495","13715552","55575886","26006721","5825735","8735602","5901055","11981634","63354222","1569248","22469924","6799418","8975005","1971949","1362239","16359667","7208963","9311884","26967325","9801782","6845717","1619468","2187582","20680729","7454841","599138","1301436","1195043","1852011","2015225","475211","3215058","14248114","1504610","4175725","592304","398499","1111891","589738","6152607","1990270","790669","2602036","447972","1804250","10002662","26478581","1658783","9283080","4362667","4636323","9285100","1372613","9627733","306537901","2623345","81736723","71478527","23072687","9446392","166773060","6577423","53443187","47280038","43099934","17375157","3901594","9826996","86820674","14840493","8949587","476563","7425181","16329896","18227664","57902413","10364524","17926542","418329","13211226","11927174","26080125","13204027","3474871","1628119","6097951","52027740","38703274","14498029","171499238","15218824","44814259","2142904","22612233","2310873","633406","3338382","297395","3470301","308173"
"AK-2-E","16643941","16860846","2579822","5277586","16859641","1954376","20033474","9243737","136105041","6754983","20225747","1067384","6526873","4312155","25274895","35636638","3518475","2499641","11494681","3444690","2247737","181500965","185603923","8779432","29105609","2047977","84475283","3894914","9512285","1178296","79471251","71801880","107694980","2229750","702801","7223358","8326048","10105691","48824169","20516476","4552609","6714437","4563429","9337029","49054000","1166298","17415099","4984488","7178980","1585409","1104024","11999476","5777628","7780076","18425028","7743929","5373809","1310434","1653679","14953402","5833364","495787","980354","986618","1409298","1520022","389131","2759091","12964729","1174889","3363422","507243","187718","894101","359393","4694304","1601871","601448","2123519","328868","1403914","7754592","21093878","1326872","7250259","3212992","3368443","6454853","1230410","6921958","235663603","1926636","60430045","50658494","16493573","6570630","118121769","4692100","38489314","32624078","30079461","11937296","2832126","7134353","63335028","10000368","7279333","321919","5485043","11390102","12689759","41976420","7490568","12362638","298215","9582978","9006979","19118562","9558752","3016466","1347232","5208677","41187763","30609853","11818897","138394514","12777740","35960065","1544452","17291593","1812367","684618","2298197","215058","2599872","308193"
"AK-3-A","16079444","15908837","2714999","4757385","17257148","1902733","20257548","9310384","129328794","6797723","19041515","999884","5505002","4192585","20857112","32905557","3259651","2095979","9550719","3120817","2125007","173396230","165177235","8236771","27117135","1794234","75105858","3772120","9900980","1153434","80455734","67642244","95857109","2167195","680454","6484779","7506033","8617159","45523779","20148994","4548093","6699357","4478320","8801721","46963693","1042498","17086606","4944865","7058334","1544036","1065100","11847578","5655705","7703922","15618683","7615418","5239573","1092544","1615767","13893263","5982828","488048","1329339","783049","1365227","1360633","400438","2425136","8044769","1174727","3197008","451801","176451","834318","254235","4831223","1521123","473331","1869399","351295","1314170","6995575","18121045","1229847","4440675","2435432","2234063","6255933","895508","6081445","217232436","1703269","57567895","46445498","15428553","6364822","106200725","4399250","34165625","31640094","25742181","10840162","2572888","6266577","53897845","9833626","6875725","311771","4930790","10639933","11622115","36846662","7236170","12219812","271624","8482424","8434903","17789597","9666268","4087275","1332977","5482632","42403625","31407569","11108539","132774767","12039021","35784100","1386340","16585904","1831036","617779","2036416","198227","2140502","308133"
