"","f1tic","f2tic","f3tic","f4tic","f5tic","f6tic","f7tic","f8tic","f9tic","cp10tic","f11tic","cp12tic","cp13tic","f14tic","f15tic","ar1tic","ar2tic","ar3tic","ar4tic","ar5tic","ar6tic","ph1tic","ph2tic","ph3tic","ph4tic","ph5tic","ph6tic","ph7tic","ph8tic","cp1tic","cp2tic","cp3tic","f4tic.1","cp5tic","f6tic.1","cp7tic","f8tic.1","f9tic.1","f10tic","cp1tic.1","cp2tic.1","cp3tic.1","cp4tic","cp5tic.1","cp6tic","cp7tic.1","cp8tic","p1tic","p2tic","p3tic","p4tic","p5tic","p6tic","p7tic","p8tic","ind9tic","ind10tic","cut01tic","cut12tic","cut03tic","cut14tic","cut05tic","cut16tic","al1tic","short2tic","f3tic.1","cp4tic.1","ar5tic.1","ter6tic","p7tic.1","f8tic.2","unk9tic","al10tic","al11tic","al12tic","cp13tic.1","cp14tic","al15tic","ar16tic","cp17tic","ar18tic","cp19tic","cp20tic","o21tic","al22tic","unk23tic","unk24tic","unk25tic","al26tic","o27tic","bf28tic","unk29tic","g1tic","g2tic","g3tic","g4tic","g5tic","g6tic","sy7tic","g8tic","sy9tic","sy10tic","ph11tic","sy12tic","sy13tic","g14tic","g15tic","g16tic","sy17tic","g18tic","g19tic","sy20tic","sy21tic","ph22tic","sy23tic","g24tic","sy25tic","sy26tic","g27tic","g28tic","sy29tic","sy30tic","cp1tic.2","short2tic.1","short3tic","short4tic","short5tic","short6tic","short7tic","short8tic","short9tic","short10tic","short11tic","fa1tic","fa2tic","fa3tic"
"AK-0-A","18437233","17923272","2864159.812","5766295.317","14654230.44","4842109","29189477","21985708","218967228","18167458","45080675","10743724","37802110","13727130","63717816","82175680","14773826","","2296002","16718266","32866979","274718569","278584648","11909241","28929245","","85000422","10029996","17872895","641030","96047107","96813172","194178602","11196247","","21419822","14862742","71680670","","49155290","9245953","30451647","6265917","13767500","95878885","18813466","40769607","28123907","11353886","2225278","650934","23289630","11345400","15297953","61529752","31144163","","","27913634","21671876","27913634","3535258","14318896","18559045","","3744089","","9381436","2332214","2064026","NF","6647202","22209578","13384894","17471494","7529891","7839838","NF","1333635","37713366","16274150","17732032","13181601","5020112","51340419","56356832","","22014209","15251381","7989619","312323097","312323097","142296308","93250658","28798587","19888916","240652240","73621384","82668434","184991410","","16220493","21193826","31728598","315445768","","8494220","NF","13528693","19362521","22404727","132441220","55637118","","","NF","14079222","30447469","35108704","NF","6230976","NF","33776734","46382154","22773045","224160833","38710985","58989141","4096757","","3684740","1306378","6185114","","275227336","33008191"
"AK-0-B","19847082","17880340","3272768.221","6853379.121","17521879.76","6101399","34200761","22391934","276100940","21246705","54536540","16885976","46642226","17167159","80334846","95102353","15899354","","2428844","18187236","37728115","304784062","302191173","12759710","34798937","","98159495","8011101","31404855","840358","135739815","117417466","220277606","15556469","","29815471","18122712","90952244","","58332822","12679310","35897400","8507192","17662062","130113517","24969904","55200008","39567835","13173911","3103432","440361","26073476","12925489","17228768","72371520","36122141","","","31982595","23079886","31982595","939670","20843719","22270326","","4629271","","11171234","2758703","1873530","NF","7084031","26497920","14162364","20172479","13370472","9296147","NF","3163974","46563322","20223127","21578224","14766573","5623814","57447224","59983601","","26573823","19578116","10851640","361109918","361109918","172090876","112014188","37202012","26478309","297899796","87172447","102042407","223539293","","18875005","NF","36320562","367379775","","12339569","NF","13878242","23874740","27291807","166123703","63544051","","","NF","20842135","35270434","44496020","4851760","7096157","NF","40397805","54128153","26330547","261503180","46538527","73789639","6407149","","4517012","1697208","6912243","","281578607","30047695"
"AK-0-C","30208845","28314471","4221868.655","8801515.857","22173718.39","7121538","38427781","31601700","311062628","26572136","61048066","20171332","56312455","20295553","83821065","116927698","19229647","","3241295","22914345","42626712","358804733","380745341","15963589","46595506","","92717410","11316191","30321213","884748","153964970","139055084","288860413","18375859","","34575193","20747040","104893945","","68975021","14835340","39667166","9933988","21486016","144754998","25403024","63861418","39997927","17517056","3716596","457332","34566551","17124327","21187606","93831160","43136148","","","41519022","49554861","41519022","113043","26037796","24818721","","6501831","","13660660","4057361","2641036","NF","8717423","27612209","17873561","22642762","15025057","11175535","3176918","1998023","56312455","24130892","29214236","20882284","NF","74351209","42143638","","34384720","39079097","11460450","438589292","438589292","201229816","136268234","46691976","28522165","344199590","103447728","120216958","257544175","","23274550","NF","42177110","432485930","","10422487","NF","NF","26490593","32681991","195677356","79816975","","","NF","26035875","50608357","45147372","1526087","8397014","NF","54301255","69950963","35210350","316800673","60512263","90588806","8612879","","4075453","3121131","9083315","","230205931","20774621"
"AK-0-D","17517255","15074177","2579910.699","5039603.463","13571608.59","4633607","27441877","18362827","203256524","16149377","38095906","12348499","34653482","12681724","58672382","74796699","11459522","","1933029","13939514","27565293","250870339","251606664","9962651","27030310","","87385500","7200775","20844500","604736","84137196","91171001","201775247","9777150","","21827101","12184102","76407172","","32204795","8126892","25364337","5176429","13525707","91214750","17878395","37272399","23365767","9918597","1813876","337654","19906667","10616470","13957510","56697719","27833030","","","24701158","17610791","24701158","NF","15723207","16179778","","3472907","","8185167","2077323","1320483","NF","5151656","16460349","11664349","15572908","8031801","6039310","1616696","1382302","34563215","14810941","17288270","12516457","3923988","48230452","27646951","","22176945","15664701","8420065","293739763","293739763","128653145","86046197","28498041","18049235","223189132","69221555","71445506","161238979","","13153072","NF","28010888","291087538","","9759529","NF","NF","18410465","17745847","123473925","51202249","","","NF","15456620","30393899","35333486","NF","3313919","12282848","31140754","40217277","19706507","201797523","33687354","55287785","3267645","","3814448","1143313","5035323","","167359279","5056152"
"AK-2-A","23745350","25597665","3084714.26","6104424.411","21475150.77","5822915","35915829","22432502","246339292","20236269","54395894","10790384","31656339","18377661","52873418","91111180","15586428","","2546633","18385134","30577058","330176410","324349428","11728997","42890014","9414300","120054013","10578697","","787219","126866961","99875864","169270983","15980932","","22437557","9516491","73983758","","46085366","12470618","28127737","7688010","15626881","111055536","14392402","50070166","NF","13238617","2182085","560177","25528863","9945992","19027836","36679891","31771811","","","42612267","53401309","42612267","2403999","22658363","4391339","","3454544","","9837468","3310815","2199878","6774432","6125495","434407","11121238","7568421","13419240","7716565","NF","NF","31586062","21273263","20323812","21809637","NF","51655702","26963947","","24144941","18081079","7786443","373323157","373323157","153659143","96855643","34998382","21710704","240577022","74333877","92508291","182160389","","25265013","NF","33305445","311830003","","8206946","NF","NF","18109916","22781170","164200417","60149528","","","19560770","22315256","30365214","38371515","5705424","5064469","21532400","32167139","63251493","21053006","178973399","44737041","80815752","6451178","","3673378","1536158","5414278","","134317159","3732434"
"AK-2-B","15219088","15847281","1831138.833","3573578.079","13431992.59","3095119","26751523","14585367","161375682","12825742","33814649","7641315","25684764","10427238","48531235","57962464","8359868","","1303764","10654818","17414866","207515776","204506112","6925259","20524024","6797410","118390660","7460804","12370992","546555","72704886","84205809","168163802","6155637","","20027348","7182599","69901748","","25128929","5918286","15532087","4180581","12616598","79719349","13680810","30935173","NF","8025015","1328796","196128","16958586","6666620","12898369","25247432","23801354","","","32644756","30608594","32644756","1618882","22991044","3069503","","2073665","","5387458","1573012","1126854","NF","3352339","143177","8080383","4757650","7340273","5138869","NF","583096","25591760","10427238","13156431","21606000","NF","42462945","20337971","","22401254","12049063","7637804","282849960","282849960","113135970","72042192","20592779","16107474","201426757","63140002","72175882","141897716","","13974097","NF","24145231","280683893","","9469329","NF","NF","16297511","16387726","122327540","47266708","","","16695105","21833612","23153392","34638597","6115011","4728314","9175739","24653203","31059697","12926576","117504421","24868399","50061004","2791217","","3465470","932328","3816758","","122235214","2239495"
"AK-2-C","10433167","12622841","1582756.027","2847369.225","11161443.23","3679168","20826846","12115675","126709766","5825631","27389413","4459496","17989493","7939321","30195476","48914524","7326565","","1306975","9722669","15691615","186429970","175837264","6766120","18650945","5253282","84289052","6107507","9545399","408464","57732838","58065533","105798039","5418323","","12550425","4833316","43192336","","21699252","5213770","14274446","3425859","9387005","56209281","9122908","24318835","NF","6414407","453874","35936","14302210","5201955","9978355","16827401","16502039","","","19855240","26490594","19855240","200310","NF","1655219","","1282506","","4960517","1557206","850233","3249762","3586289","NF","6270304","3462732","5322395","2850116","NF","595873","17989493","9101600","10533258","13459374","NF","30585650","15815642","","13155711","9435472","4928336","207187782","207187782","81673215","49271503","15810351","10376334","128435823","40441803","51217594","93643461","","11733102","NF","16496845","181700143","","7339132","NF","NF","9502595","11694230","84799140","30223556","","","10149841","NF","14933109","22573919","4509297","3217490","6891773","15947817","30002226","10152400","92375351","20172560","41905303","2253535","","3470298","565880","1397644","","83531424","3384946"
"AK-2-D","26694975","29144420","3612693.658","7535774.699","23578598.12","6600873","41230303","25768017","297238840","21907678","64068142","17183698","43511131","20805875","74185853","104911245","17332230","","2795924","21120926","36027937","384394445","397403545","14604227","49794940","12556168","159316239","10914179","","956475","155247398","132754543","276417798","18365210","","32623214","12367579","100545115","","52022128","14365271","32584674","9589558","19089250","144545196","22194075","60037827","NF","15120728","2335657","587782","30184024","11371750","21414273","59314955","42328652","","","43451378","63579491","43451378","4248223","24200132","8083576","","5032483","","12050128","3405493","2816792","7369265","6770100","2229084","12462909","9627648","17790903","10579512","NF","3065882","43426735","24397159","26478581","22290783","NF","70610114","36158928","","33672720","21868151","12083846","444455323","444455323","205409327","139544760","46746112","30321946","342059192","100239443","125499487","264615049","","31886192","NF","44769848","429844438","","11690601","NF","NF","26463261","34344041","215395505","77966257","","","29470293","25968724","46640187","53776512","3701584","5604319","21176635","38023362","65367120","27136653","207609425","56270385","90719987","7864511","","3404165","1665107","8039114","","153062886","7373427"
"AK-2-E","21777969","23112954","2678430.68","5805345.14","18545605.27","4307177","33481706","20699751","225633830","18199938","50121391","12064864","33172229","15955228","52476859","89017388","14685117","","2499641","17911179","27229821","311989572","314908205","11817209","38148012","9163781","119237103","9477957","18052906","702801","118731722","103740152","198831769","13473701","","23905340","8851646","75445815","","42896241","11121916","24973464","7171889","14472689","110787576","17505583","46390065","NF","12065278","2025545","389051","23260875","9241574","17937641","41065615","30183296","","","33478242","42645004","33478242","2179314","21444941","5531848","","3957797","","10077889","3169533","2048893","5955852","6858771","152311","10501836","7605855","12566989","7018773","NF","NF","33087771","18450943","21093878","18540672","NF","56546501","26243161","","22836661","15530767","8389809","347883289","347883289","154445794","98898942","34224558","19705245","244851533","73549657","91937153","180273755","","21076836","NF","33369261","321615149","","9361252","NF","NF","18790736","23171068","160946457","52891567","","","20403597","21625472","31258396","39342357","2684722","4293698","16812517","28919878","52333279","21689171","163469355","45690563","72074188","5429516","","3794585","1780592","5057440","","102167254","7140935"
"AK-3-A","20225946","21378758","2818774.129","5233123.729","18982863.04","4299139","30588989","20029164","216272370","16638767","46936705","14305821","29147836","15215162","44731644","82936240","14559565","","2095979","14983520","27633982","295966231","283016618","11631354","37021217","9461295","104735864","7807382","21022436","680454","115958207","97263993","177890085","12159125","","21129634","6685982","65231649","","40603032","11603824","24904446","7410749","14171950","106466774","15345415","45553401","NF","11651083","1966397","720669","22582801","9316555","16834587","34639772","25791956","","","35668072","38813859","35668072","1948789","22178864","4568305","","3863907","","8654732","2582633","1950881","6312803","5703927","NF","10108604","6321777","11812231","7129960","NF","NF","29147836","15215162","18121045","24332264","NF","50535211","18509055","","24495846","14991822","7896249","315043548","315043548","144453070","90548007","29805354","20523068","223188478","64698804","81958145","164108129","","20330261","NF","28993794","282611517","","8822448","NF","NF","17703074","21884868","142122834","54251122","","","18280260","20616134","27923108","39470150","5929499","3205607","16459283","35633106","53145446","21386032","159705671","39496954","72333327","4946086","","3856551","1439843","5196247","","77843403","9093321"
