"","sepfac","xfac","y","y.errbar","massloss","massloss.errbar","xcomp","sepcomp"
"1","AK",0,0.527324592423195,0.00374927684349455,0,0,"A","a"
"2","AK",97,0.530507725201757,0.00480226189984242,97,0,"A","ab"
"3","AK",181,0.521043520764309,0.00600532512965353,181,0,"A","a"
"4","AK",375,0.518739096638971,0.00559712694722986,375,0,"A","a"
"5","KL",0,0.533703334654324,0.0021201360499492,0,0,"A","a"
"6","KL",97,0.550097898081658,0.00514011485629359,97,0,"AB","ab"
"7","KL",181,0.557091033319234,0.00473685086552385,181,0,"B","bc"
"8","KL",375,0.562161705319363,0.00430984764275669,375,0,"B","b"
"9","OS",0,0.517172845040672,0.00575136136067089,0,0,"A","a"
"10","OS",97,0.527468019922374,0.0037389282709046,97,0,"A","a"
"11","OS",181,0.543613705574746,0.00406716389638336,181,0,"A","ab"
"12","OS",375,0.539989936517345,0.00352504749734627,375,0,"A","a"
"13","SW",0,0.531483309829457,0.00227251847644723,0,0,"A","a"
"14","SW",97,0.550288182329179,0.00423006914302271,97,0,"B","b"
"15","SW",181,0.577754542342312,0.00197008103617957,181,0,"C","c"
"16","SW",375,0.572693009145431,0.00605709492849437,375,0,"BC","b"
