"RT";"name";"formula";"MW";"type";"code";"m/z";"checked"
2.42;2.42;"Acetic acid, methyl ester";"C3H6O2";74;"x";;"59+74";"ok"
3.19;3.19;"2-Propenoic acid, methyl ester";"C4H6O2";86;"sh";;"55+85";"ok"
3.72;3.72;"Carbonic acid, dimethyl ester";"C3H6O3";90;"x";;"45+5";"ok"
3.99;3.99;"Acetaldehyde, methoxy-";"C3H6O2";74;"x";;"45+74";"?"
5.34;5.34;"2-Propanone, 1-methoxy-";"C4H8O2";88;"sh";;"45+58";"ok"
5.44;5.44;"2-Butenoic acid, methyl ester, (E)-";"C5H8O2";100;"sh";;"69+85";"ok"
6;6;"N-Methylpyrrole";"C5H7N";81;"ar";;"80+81";"ok"
6.07;6.07;"Benzene, 1,2-dimethyl-";"C8H10";106;"g";"G0";"91+106";"ok"
6.33;6.33;"Propanoic acid, 2-methoxy-, methyl ester";"C5H10O3";118;"sh";;59;"?"
6.67;6.67;"Furan, 2-methoxy-";"C5H6O2";98;"f";;"83+98";"ok"
6.76;6.76;"3-Pentenoic acid, methyl ester";"C6H10O2";114;"sh";;"55+114";"ok"
6.9;6.9;"Glycine, N,N-dimethyl-, methyl ester";"C5H11NO2";117;"x";;"58+117";"ok"
7.06;7.06;"Acetic acid, methoxy-, methyl ester";"C4H8O3";104;"sh";;"45+74";"ok"
7.7;7.7;"5-Hexenoic acid, methyl ester";"C7H12O2";128;"sh";;"68+74";"ok"
7.79;7.79;"Furan, 2-(methoxymethyl)-";"C6H8O2";112;"f";;"81+112";"ok"
8.2;8.2;"Styrene";"C8H8";104;"x";;"103+104";"ok"
8.78;8.78;"Heptanoic acid, methyl ester";"C8H16O2";144;"sh";;"74+87";"?"
9.33;9.33;"Propanoic acid, 2-hydroxy-, methyl ester";"C4H8O3";104;"sh";;45;"ok, but no!!"
9.81;9.81;"Benzene, methoxy-";"C7H8O";108;"ar";;"93+108";"ok"
9.98;9.98;"Benzenemethanamine, N,N-dimethyl-";"C9H13N";135;"n";;"134+135";"ok"
10.11;10.11;"2-Cyclopenten-1-one";"C5H6O";82;"cp";;"53+82";"ok"
10.35;10.35;"2-Cyclopenten-1-one, 2-methyl-";"C6H8O";96;"cp";;"67+96";"ok"
10.72;10.72;"Octanoic acid, methyl ester";"C9H18O2";158;"ar";;"74+87";"ok"
11.09;11.09;"Benzene, 1-methoxy-2-methyl-";"C8H10O";122;"ar";;"107+122";"ok"
11.4;11.4;"3-Furaldehyde";"C5H4O2";96;"f";;"95+96";"ok"
11.63;11.63;"Benzene, 1-methoxy-4-methyl-";"C8H10O";122;"ar";;"121+122";"ok"
11.72;11.72;"Benzene, 1-methoxy-3-methyl-";"C8H10O";122;"ar";;"91+122";"ok"
12.07;12.07;"Furfural";"C5H4O2";96;"f";;"95+96";"ok"
12.4;12.4;"?";"C7H12O2";;"u";;"85+97";"?"
12.62;12.62;"Nonanoic acid, methyl ester";"C10H20O2";172;"fa";;"74+87";"ok"
12.82;12.82;"2,5-Dimethylanisole";"C9H12O";136;"ar";;"121+136";"ok"
13.26;13.26;"Benzene, 1-ethyl-4-methoxy-";"C9H12O";136;"ar";;"121+136";"ok"
14.07;14.07;"Methyl 2-furoate";"C6H6O3";126;"ar";;"95+126";"ok"
14.19;14.19;"Pyridine, 3-methoxy-";"C6H7NO";109;"n";;"66+109";"ok"
14.34;14.34;"Butanedioic acid, dimethyl ester";"C6H10O4";146;"sh";;"87+115";"ok"
14.45;14.45;"Decanoic acid, methyl ester";"C11H22O2";186;"fa";;"74+87";"ok"
14.78;14.78;"2-Hexenoic acid, 3-methyl-, methyl ester";"C8H14O2";142;"sh";;"111+142";"?"
14.9;14.9;"Benzoic acid, methyl ester";"C8H8O2";136;"ar";;"105+136";"ok"
15.4;15.4;"2,3-Dimethoxytoluene";"C9H12O2";152;"ar";;"137+152";"ok"
15.83;15.83;"Benzene, 1-ethenyl-4-methoxy-";"C9H10O";134;"ar";;"119+134";"ok"
16.55;16.55;"Benzene, 1,2-dimethoxy-";"C8H10O2";138;"g";"G0";"123+138";"ok"
16.82;16.82;"Benzene, 1,4-dimethoxy-";"C8H10O2";138;"ar";;"123+138";"ok"
16.97;16.97;"Benzene, 1,3-dimethoxy-";"C8H10O2";138;"ar";;"109+138";"ok"
17.12;17.12;"Benzaldehyde, 4-(1-methylethyl)-";"C10H12O";148;"ar";;"133+148";"ok"
17.36;17.36;"Fructofuranose, 2,6-anhydro-1,3,4-tri-O-methyl-, β-d-";"C9H16O5";204;"ch";;"101+126";"?"
17.74;17.74;"2,5-Dimethoxytoluene";"C9H12O2";152;"ar";;"137+152";"ok"
17.87;17.87;"3,4-Dimethoxytoluene";"C9H12O2";152;"g";"G1";"137+152";"ok"
18.27;18.27;"Benzene, 1-methoxy-4-(1-propenyl)-";"C10H12O";148;"ar";;"147+148";"ok"
18.92;18.92;"Phenol, 3,5-dimethoxy-";"C8H10O3";154;"u";;"125+154";"no!!"
19;19;"Benzene, 4-ethyl-1,2-dimethoxy-";"C10H14O2";166;"g";"G2";"151+166";"ok"
20.2;20.2;"1,2,3-Trimethoxybenzene";"C9H12O3";168;"sy";"S0";"153+168";"ok"
20.4;20.4;"methylindole";;131;"n";"Me-In";"130+131";"ok"
20.51;20.51;"3(2H)-Furanone, 4-methoxy-2,5-dimethyl-?";"C7H10O3";142;"u";;"127+142";"?"
20.96;20.96;"Benzene, 1,2-dimethoxy-4-(2-propenyl)-";"C11H14O2";178;"g";;"163+178";"ok"
21.02;21.02;"Tetradecanoic acid, methyl ester";"C15H30O2";242;"fa";;"74+87";"ok"
21.14;21.14;"?";;;"u";;128;"?"
21.47;21.47;"Benzene, 1,2,3-trimethoxy-5-methyl-";"C10H14O3";182;"sy";"S1";"167+182";"ok"
21.64;21.64;"Benzoic acid, 3,4,5-trimethoxy-";"C10H12O5";212;"sy";"S-COOH";"197+212";"!!"
21.96;21.96;"1,2,4-Trimethoxybenzene";"C9H12O3";168;"ar";;"153+168";"ok"
22.15;22.15;"Benzoic acid, 4-methoxy-, methyl ester";"C9H10O3";166;"ar";;"134+168";"ok"
22.23;22.23;"3,4,5-trimethoxybenzaldehyde";"C10H12O4";196;"sy";"S-CHO";"181+196";"ok"
22.49;22.49;"Pentadecanoic acid, methyl ester";"C16H32O2";256;"fa";;"74+87";"ok"
22.73;22.73;"Nonanedioic acid, dimethyl ester";"C11H20O4";216;"sh";;"152+198";"ok"
22.87;22.87;"Benzene, 1,3,5-trimethoxy-";"C9H12O3";168;"ar";;"139+168";"ok"
23.21;23.21;"2,4,6-Trimethoxytoluene";"C10H14O3";182;"ar";;"167+182";"!!"
23.36;23.36;"Benzeneacetic acid, 4-methoxy-, methyl ester";"C10H12O3";180;"ar";;"121+180";"ok"
23.91;23.91;"9-Hexadecanoic acid, methyl ester";"C17H34O2";270;"fa";"16:0fa";"74+87";"ok"
