"","","","Substrate","treatment","rep","NH4+ (µmol g-1 DW)","sqNH4+ (µmol g-1 DW)","NO3- (µmol g-1 DW)","sqNO3- (µmol g-1 DW)","NPOC (µmol g-1 DW)","sqNPOC (µmol g-1 DW)","TN (µmol g-1 DW)","sqTN (µmol g-1 DW)","C mic (µmol g-1 DW)","sqC mic (µmol g-1 DW)","N mic (µmol g-1 DW)","sqN mic (µmol g-1 DW)","","C/N mic","sqC/N mic","Exoglucan (pmol g-1 min-1)","sqExoglucan (pmol g-1 min-1)","Endochit (pmol g-1 min-1)","","sqEndochit (pmol g-1 min-1)","","Phosph (pmol g-1 min-1)","sqPhosph (pmol g-1 min-1)","Protease (nmol g-1 min-1)","sqProtease (nmol g-1 min-1)","phenoloxidase (µmol h-1 g-1 DW)","sqphenoloxidase (µmol h-1 g-1 DW)","peroxidase","sqperoxidase","Cellulase-act (µg gluc g-1 DW h-1)","sqCellulase-act (µg gluc g-1 DW h-1)","Protease-act (µg AS-N g-1 DW h-1)","sqProtease-act (µg AS-N g-1 DW h-1)","Bruttomineralisierung (µg NH4-N g-1 h-1)","sqBruttomineralisierung (µg NH4-N g-1 h-1)","Immobilisierung","sqImmobilisierung","Respiration","sqRespiration","Total bacteria(nmol %contr)","sqTotal bacteria(nmol %contr)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","Total bacteria(mol% in %kontr.)","sqTotal bacteria(mol% in %kontr.)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","APE13Cplfa","sqAPE13Cplfa","APE 13C total respiration","sqAPE 13C total respiration","Respired excess 13C (% of Microbial Biomass excess 13C)","sqRespired excess 13C (% of Microbial Biomass excess 13C)","Priming effect (% of control)"
"cg",NA,NA,NA,NA,NA,189.470971868918,5.18665599219187,31.2904845431086,1.39702099877685,1.63800914803554,0.0785463734977919,3.42101976604392,0.162366783971119,14.1967481649579,0.647470699387083,18.8880551310671,0.840573351218983,NA,3.24444763512629,0.166501961123252,13.6049426772437,1.03654985657484,20.0613961267835,NA,1.24616571176956,NA,11.4374490751900,0.608027476140138,18.3209725093809,0.826476911038107,NA,NA,NA,NA,34.9861352573193,2.44045053116668,35.8821568400242,2.16632647018916,99.8236241340866,5.57199690467774,38.7928764559485,1.67739146877342,36.3965646483092,1.73684827395971,101.339391149230,4.10948394720039,213.597847305453,8.2206968205468,25.837689874174,1.08430786918274,30.7544664110885,1.26881065203264,29.5175491381633,1.29812214873325,28.0840219587588,1.34205146392193,106.736348377152,4.76131697946326,23.6790385931553,1.18422162313215,21.1964852931321,1.05372491235899,16.9217999855811,0.89786339938829,0.0268206428061729,0.0458733824175684,0.147711828238182,0.118968492317862,92.2667233767173,2.65001995419508,36.2028561687284
"ch",NA,NA,NA,NA,NA,9.55008005135024,0.85402361057185,57.0486288170661,2.5843276981117,31.2159888931341,1.45576072605096,13.9715081878543,0.767616395488477,18.1706379842003,0.991300720267793,31.0915101490013,1.36414588522963,NA,2.86505281184614,0.182496452377833,47.9111059857927,1.95599523367854,20.2807119017658,NA,1.1317786148951,NA,4.68790013558235,0.209011998936941,16.5533176099130,0.905697233187079,NA,NA,NA,NA,9.61675035033057,0.413607308560142,76.299734203777,3.24785110746655,83.977945441777,3.84009997119151,142.365177337399,6.46413387318862,12.8502799988949,0.681961642358722,36.2626224358111,1.98427416255386,24.2771631266398,1.32491182933024,44.289177029095,2.43127014525211,43.5530794049842,2.24349871225069,51.0790549588939,2.61095949151682,6.32795367220368,0.320745922435114,19.7385253094793,1.00511277205507,8.74625934308365,0.435415940619881,8.91502409561982,0.422118738126627,18.4378465980966,0.862086742728103,0.0198166150658145,0.0425607393667938,0.0438268841348811,0.0391642795897399,183.058563737153,4.98947136202873,12.8394620202942
"ck",NA,NA,NA,NA,NA,67.531959644266,2.45390377071568,19.2354543827313,1.04266338367651,7.07089688687144,0.336491874805659,8.11636056899441,0.380960072393187,6.76080602329686,0.367171586403846,7.73775759957832,0.409971110731042,NA,2.58970269595906,0.131359851866458,52.2790563412832,1.98630831172144,12.8062780552249,NA,0.634328068911774,NA,5.27897155871882,0.258078221454338,25.1013886567046,1.03323555190184,NA,NA,NA,NA,4.97885808897883,0.241074509087094,98.5079315152361,3.69041673046793,64.8403728421855,2.30203404381619,89.6717485420322,3.9730726398292,10.9406642405033,0.527888024827381,131.526971571921,6.54343449632058,258.605127189724,13.7551548437205,58.0160827109764,2.7950125977837,35.2164829990305,1.97482205865108,6.37576720245265,0.359598221159209,21.6404477168141,1.08313830669529,158.043092735052,8.55982270557654,61.5878385529065,2.97129669136504,53.542608242473,2.99240665641685,81.7990906711115,4.58795840684249,0.0371005793748395,0.0982141109829093,0.0342894733373422,0.0312559672188428,83.6448975206166,1.87631660277602,10.8473423557835
"cl",NA,NA,NA,NA,NA,8.64899850693446,0.766349538308487,43.3623768050786,2.04040982396113,24.8348627989196,1.31352020393609,16.5327457248506,0.904844610455933,11.3321458701574,0.569653893872132,13.0072873179180,0.587208826352048,NA,2.36520650548423,0.130814177483032,20.9838923294413,1.12730837486831,18.3173234483986,NA,1.06231668974912,NA,7.17078383785158,0.302424276910777,22.2952983524943,1.08222077327316,NA,NA,NA,NA,23.9507912781999,0.919696951292889,21.3748270171819,1.68490933222532,62.0969702163996,2.60573400917353,61.4886824644796,5.1900645640646,15.8016068452037,0.731721462126105,41.063858497332,2.00354475002757,61.9001792403098,3.19962639077578,39.5547237588597,1.98794163881039,32.9055327312047,1.65083834430670,31.6092432929797,1.62271532306023,13.0667145206858,0.647189881482217,52.079768307216,2.66956769169802,9.41065760827777,0.46302556710952,10.7335116177902,0.538854867164293,6.25242996690671,0.322068041963903,0.00957248632156458,0.0232308489494586,0.0228227085969727,0.0189653649989701,150.459659147694,4.1057291472288,15.5666840994773
"gg",NA,NA,NA,NA,NA,115.527575462931,5.13184725181221,17.8430275397389,1.11283613639907,12.2095652636886,0.589674277687468,7.96670967791796,0.456958764492051,18.9753086402562,0.767169661951345,24.4517789558096,1.05157300036889,NA,9.19687325556954,0.424305131196786,45.4642827773358,2.13710070429948,53.1667324854275,NA,2.28947476367743,NA,11.0337527632470,0.552921535409447,12.4543224610752,0.585012272441431,21.7808511556900,1.18115645264069,17.5584911010333,0.964526924829874,16.7919589204549,0.470376586356098,93.0909770167587,3.97924565279266,35.8064954597097,1.39363190890939,73.3160118884508,2.57276783983830,42.7839334595149,1.34174040269517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768169728797474,0.115754749348574,42.4212737604417,1.22491459226577,27.5136800915958
"gh",NA,NA,NA,NA,NA,4.37164206244239,0.330802795896275,14.1631306118271,0.715497836836818,13.8680189973706,0.678953877458242,10.3873062384838,0.583552160461766,35.6343659602744,1.52008473369021,23.7885451185261,1.22316068294353,NA,10.106808068582,0.412140183428658,20.0276840579869,1.23307546800717,8.20200040503118,NA,0.669620934523956,NA,11.3731195534110,0.589246757724552,20.3059399414919,1.00854401038077,17.9119938034688,1.33109954798272,20.5362917245954,1.46740189905402,21.1223072536054,0.656511762380258,63.1904430224308,3.82232171209094,85.2223997613671,2.22263648713619,97.8845946277788,2.01624070878271,18.5822202143169,0.476566953597637,30.1822384599121,1.49754109668952,42.2920882598195,2.09369037396456,31.409415743594,1.57845198760484,17.6344198816507,0.909977154240424,21.7713485003002,1.12066873361244,11.8391211395471,0.586215691978887,39.9229353176605,1.88123233065396,4.56008284722989,0.231452802551174,16.6097188759938,0.832118545817361,17.6212940494991,0.868914628780395,0.0274336601318098,0.0148983458810785,0.431255782084627,0.0668130145980848,278.486684452087,5.51764850908047,11.3836740338762
"gk",NA,NA,NA,NA,NA,86.3804505768131,3.76666453636422,46.1960011480007,2.10782323940035,9.07703927472864,0.453539444301113,11.0542602322811,0.596576782464963,7.73925995077537,0.355777829213749,8.60441652504029,0.462036012353106,NA,7.25341715353616,0.313981712595329,16.9164490976207,0.7987564840713,42.0805758572225,NA,2.02187986873420,NA,9.60824682878482,0.470631729537211,8.8717316072964,0.445407776968892,21.2115452968326,0.993997638820026,11.9527906706514,0.608918912097962,15.1365452634884,0.480598457089675,32.214445146826,1.51513682864023,102.920536078491,3.22794623833153,86.6463965589623,2.90967132302474,7.31681553278635,0.223690533530966,35.1755004194669,1.64005444218859,70.9711766688891,3.64009541611324,13.7922274387944,0.61564840645725,35.5418712330920,1.50985723973405,30.3402250114615,1.3454240297728,10.3956009567624,0.533491854979096,44.0307967645818,2.50413499500963,11.9303284888788,0.579849186723046,26.0141510606947,1.16024220516947,25.3749087359848,1.17036212578095,0.296452137063535,0.136308443255207,1.95950506623634,0.274915111303046,9.18026598860625,0.258824099024671,25.4670968254049
"gl",NA,NA,NA,NA,NA,13.1454666216019,0.95664302611152,77.2196240687388,3.28914833475177,26.7288046021477,1.31155531349369,8.64296648083812,0.464215952077608,24.7365198310138,1.004782884306,34.1213204339209,1.54928792959833,NA,15.930601197194,0.713718374370344,36.7769144434246,2.09071599662062,28.4189040985605,NA,1.35675340846982,NA,4.8374716949767,0.256508307404558,61.0510536049865,2.37149852790636,71.6721644745336,3.39963098111584,47.5523855728831,2.59572162456029,6.66918038550549,0.197563377005491,29.8491933817332,1.48231230969234,55.4633959283429,2.35110341797592,43.7222464258998,1.49702976056291,24.5909258516949,0.65529803130681,35.9607478836587,1.78367240201248,36.4388840115608,1.76369071837902,39.8815616639055,2.01873406824113,45.2017099215924,2.1457359296366,32.0413742799633,1.58515359368879,6.47805854351388,0.327313383461993,23.3700335055316,1.18812114772121,5.59581425094331,0.280359456837492,24.2772328456058,1.21295334554699,18.1908381379889,0.920290038658479,0.0456581709451535,0.0265871997578723,0.38776437727293,0.0596481410103704,110.792228157086,2.3887452358814,16.5653208759772
"mg",NA,NA,NA,NA,NA,45.1934783297557,1.89392145823383,6.77813900737098,0.33716082005039,8.95408196890197,0.441173151039813,7.5224595434279,0.360377281491685,9.70957423523163,0.465358628397314,15.3546876331223,0.707973785560507,NA,9.48657888630372,0.481017261933669,25.9628463341053,1.16920717910561,36.0548333801639,NA,1.56446004935893,NA,10.8697193377734,0.515266790161023,6.28021982940045,0.305903882904327,44.6706097548145,1.89403452760128,29.1217870817693,1.32823768527776,12.1240687367309,0.465191938332746,15.1087712247540,0.713726252963746,18.5932352568165,0.862056224043658,24.6915260395121,1.18954734125635,4.26648930383269,0.200114427514229,117.760015515303,5.10517294718588,78.2754841611761,3.47080245934259,143.857831951882,6.13856082079663,198.555960014515,8.11703417561553,258.865560695159,10.8911964550647,1.40835362074041,0.068642064698545,29.8773477388543,1.45979904671344,15.7412969032272,0.76505034049881,48.4234883444663,2.28323343668738,99.26704316904,4.83691611644581,0.977644396019702,0.338292233064131,0.397312847678132,0.104820401030727,5.33773939662489,0.231781386748897,3.28453002595118
"mh",NA,NA,NA,NA,NA,27.1447244773073,1.40421014326471,4.62995317855485,0.227678800857346,18.2929231375523,0.922595730287476,12.7442425967039,0.69399521241976,23.7071571677586,1.40619365411156,32.8854945980315,1.96097154083836,NA,15.8060814691718,0.776611643532437,54.353531088369,2.28958298476758,17.3138751730773,NA,0.786873034225676,NA,9.2779953218948,0.472754965873764,5.19863526952806,0.252777766674082,9.52592556434521,0.443506276051484,9.99194349891645,0.478181797021364,20.2967931263984,0.746234224501516,68.3227860296778,2.27527071324453,30.4438881813827,1.23737581878675,21.5297561448536,0.600684370855114,13.7662301225664,0.621691461004054,25.3956588255255,1.30628538149321,16.7426661359780,0.863252651039574,31.2532260304998,1.60888782983509,14.9489991715925,0.840275033521904,14.6295327782514,0.805289539112497,0.620624007881161,0.0310560483915232,11.3302031234810,0.568215019745013,7.56119926686718,0.377534816383073,22.9423926041246,1.1778968827232,22.387710992348,1.12858917727018,1.69794831125726,0.94111495126367,0.220622517559239,0.0662719531535559,135.321367781351,5.9369220743733,12.9047562820711
