"","","","Substrate","treatment","rep","NH4+ (µmol g-1 DW)","sqNH4+ (µmol g-1 DW)","NO3- (µmol g-1 DW)","sqNO3- (µmol g-1 DW)","NPOC (µmol g-1 DW)","sqNPOC (µmol g-1 DW)","TN (µmol g-1 DW)","sqTN (µmol g-1 DW)","C mic (µmol g-1 DW)","sqC mic (µmol g-1 DW)","N mic (µmol g-1 DW)","sqN mic (µmol g-1 DW)","","C/N mic","sqC/N mic","Exoglucan (pmol g-1 min-1)","sqExoglucan (pmol g-1 min-1)","Endochit (pmol g-1 min-1)","","sqEndochit (pmol g-1 min-1)","","Phosph (pmol g-1 min-1)","sqPhosph (pmol g-1 min-1)","Protease (nmol g-1 min-1)","sqProtease (nmol g-1 min-1)","phenoloxidase (µmol h-1 g-1 DW)","sqphenoloxidase (µmol h-1 g-1 DW)","peroxidase","sqperoxidase","Cellulase-act (µg gluc g-1 DW h-1)","sqCellulase-act (µg gluc g-1 DW h-1)","Protease-act (µg AS-N g-1 DW h-1)","sqProtease-act (µg AS-N g-1 DW h-1)","Bruttomineralisierung (µg NH4-N g-1 h-1)","sqBruttomineralisierung (µg NH4-N g-1 h-1)","Immobilisierung","sqImmobilisierung","Respiration","sqRespiration","Total bacteria(nmol %contr)","sqTotal bacteria(nmol %contr)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","Total bacteria(mol% in %kontr.)","sqTotal bacteria(mol% in %kontr.)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","APE13Cplfa","sqAPE13Cplfa","APE 13C total respiration","sqAPE 13C total respiration","Respired excess 13C (% of Microbial Biomass excess 13C)","sqRespired excess 13C (% of Microbial Biomass excess 13C)","Priming effect (% of control)"
"cg",NA,NA,NA,NA,NA,387.95641768,19.086110744,116.92500972,10.7334655992,109.70325236,10.47367282,110.30148572,10.501346716,121.09035388,10.98732844,129.14624828,11.336859302,NA,94.11556551,9.7000600866,46.49221096,6.7488195536,72.427644866,NA,8.4297604794,NA,94.433538552,9.7009358246,119.75355402,10.915693618,NA,NA,NA,NA,82.035775432,8.763211962,69.48597039,8.18192395275,131.64609964,10.71580432075,139.815706133333,11.7964281033333,111.64971372,10.4888348935,152.45109175,12.329941165,170.473537,12.991468495,141.98170855,11.914370095,146.92041945,12.119407355,129.3038558,11.36932643,109.5215236,10.46309427,126.2036525,11.208700095,99.989636025,9.997722561,101.18887544,10.0578835695,88.82014587,9.423371099,0.0855116085,0.292333404,0.4061814125,0.63128023525,304.33969565,17.33596512,8.75526178275
"ch",NA,NA,NA,NA,NA,33.123111348,5.6992263696,122.567076008,10.8022632816,123.289065242,11.0192492516,82.63572383,9.0618496498,93.384526928,9.618713062,147.903358274,12.0940284936,NA,63.081122844,7.9405169902,141.06948298,11.734656754,75.848082686,NA,8.6441136608,NA,124.61848392,11.161542652,81.713751122,8.9995438506,NA,NA,NA,NA,137.17888974,11.705909814,129.982501198,10.986281996,144.668685844,11.4756232804,161.4423231225,11.78168860475,89.7078595475,9.458114995,90.3545167066667,9.45679344166667,87.54355191,9.33444125,91.4832508366667,9.49192827966667,101.63630712,10.0227570896667,101.736252563333,10.0068565243333,98.2241038833333,9.90958990133333,94.67552378,9.71794994433333,99.6627316533333,9.98089477966667,112.5532454,10.6071414166667,112.4232162,10.5947575166667,0.0570906816666667,0.238045755,0.3085912095,0.55476153225,319.427256633333,17.70840845,-12.12763417375
"ck",NA,NA,NA,NA,NA,158.05196406,12.359292874,87.36748849,9.2957331744,114.17586706,10.680646634,117.53205642,10.835327512,86.450798736,9.2915092266,90.129105376,9.4858408152,NA,96.122128932,9.8034148074,160.46390644,12.529621454,101.08204066,NA,10.0363290074,NA,105.765131636,10.2813671708,140.64110216,11.819538664,NA,NA,NA,NA,104.957692664,10.2423894708,160.28216667,12.1776635216,182.50057448,13.335532812,109.709908254,9.7886029992,107.25042678,10.348887812,102.08262892,10.0503009495,93.111923865,9.4002986685,107.90925591,10.378501074,79.59946203,8.9163686565,78.59370478,8.865126109,99.8234842,9.9896973955,87.06195881,9.2316802615,107.62978456,10.3637982165,80.26292468,8.9464124355,79.997085595,8.9145414385,0.0359161225,0.188876008,0.3139967515,0.5598817415,481.43159915,21.8980496425,5.00011435325
"cl",NA,NA,NA,NA,NA,33.062795922,5.7049015366,135.040560326,11.4619513822,95.374414372,9.6879250022,90.14524404,9.456460285,99.89397455,9.980399124,122.11220608,11.03669896,NA,81.675731414,9.0366293648,88.30841033,9.337554113,72.096663508,NA,8.4322843492,NA,142.8245975,11.947556242,106.047110884,10.2477460076,NA,NA,NA,NA,162.60142912,12.722302298,41.16930602,6.2185754802,138.737438866667,11.7108820366667,32.9279450636667,5.15843420233333,111.526869825,10.5468879425,99.15796363,9.91041690033333,99.96073581,9.877212227,98.3158089733333,9.86857726533333,94.42402354,9.684253369,91.1626746266667,9.515514135,102.15717339,10.1024216636667,101.432794593333,9.98804910566667,101.918754633333,10.092990883,97.43206727,9.86731762166667,94.6725430333333,9.72873125433333,0.0418083566666667,0.204161129,0.36443388375,0.603522203,363.587264,18.9639961533333,8.81257947025
"gg",NA,NA,NA,NA,NA,118.44559371,10.2068590815,65.3431577,8.04191135125,106.08899109,10.29080367,74.47184164,8.6231509675,155.1792009,12.4442916725,135.766245425,11.6261451875,NA,114.71294995,10.705859545,109.719696305,10.35595157975,136.6414941875,NA,11.56728879375,NA,103.83245526,10.18169197375,110.313647275,10.4942013925,85.5513936575,9.208456903,82.80603044,9.07205039725,319.7239155,17.8774737175,157.6387572675,12.209077472,176.39379365,13.2416666725,212.43280725,14.45155185,248.359921433333,15.74603558,162.8521996,12.76135571,223.9366323,14.96451243,126.1655169,11.23234245,119.0088373,10.90911716,114.3911776,10.69538113,103.748162,10.18568417,144.0486411,12.00202654,80.04522441,8.946799674,76.82770735,8.765141605,73.06392527,8.54774387,1.054482822,1.02688014,10.9583075533333,3.30985868833333,296.678918866667,17.21415027,4.854155025
"gh",NA,NA,NA,NA,NA,42.968169644,6.54766037,99.17739069,9.9361369882,102.926129034,10.1252361446,79.858393772,8.919567228,149.29822073,12.1352600338,99.605363168,9.914059596,9.914059595,149.59794116,12.224910728,71.147834222,8.3552148266,42.485585866,42.48558587,6.4877531828,6.487753183,90.281395628,9.4855576186,100.509400726,9.9806895724,46.736651524,6.7213994104,52.615658598,7.1218324434,252.59180308,15.881198294,90.67049854,8.821090521,385.00911864,19.510539848,594.33977404,24.305592696,381.502247725,19.52893298,99.5562688733333,9.95139286666667,110.230852596667,10.4500055023333,94.5957053433333,9.69594126,94.7495613266667,9.72395626366667,95.9739055366667,9.781580245,101.575770053333,10.074480685,109.87192325,10.4423071793333,97.7135464266667,9.88438063466667,98.4804142366667,9.91554307433333,100.1701869,9.999654252,0.844243388,0.918798848,10.4212166975,3.22781639025,629.4135289,24.9453851333333,71.314447725
"gk",NA,NA,NA,NA,NA,96.260307494,9.1527699942,96.541151998,9.6244893464,106.186150222,10.2958782388,88.234696374,9.3766440608,118.2625378,10.869734702,86.053666402,9.2663789114,9.266378912,134.84029308,11.608338626,115.128422606,10.703592277,115.090202198,115.0902022,10.5589877592,10.55898776,103.33204607,10.1556438408,104.682173044,10.2228941724,112.20348938,10.5514876182,98.7423184,9.9204828972,255.32380394,15.972492464,110.710408402,10.4254468264,262.48637085,16.02629889,242.318548025,15.4185790225,264.989086975,16.27765286,110.60095731,10.4866592196667,92.3994914766667,9.44941255533333,124.044827766667,11.13354935,144.718875866667,12.0076699966667,132.781064,11.5046276433333,95.62305943,9.77529018533333,79.03689686,8.807155826,107.447567183333,10.3618868733333,122.4926554,11.0533655066667,113.6989217,10.6478928866667,1.13669284366667,1.064112106,12.6494104975,3.55084091325,315.286248133333,17.75585916,-12.5614331285
"gl",NA,NA,NA,NA,NA,41.22798398,6.3578704636,115.00250404,10.447120878,105.73552051,10.208894979,88.170238896,9.379796026,144.18655376,11.970713518,111.152820578,10.4422337082,10.44223371,127.73967172,11.282346282,81.182985822,8.7940801048,108.426533942,108.426534,10.3347183794,10.33471838,87.230858102,9.3366454608,157.776680322,12.3623141452,137.943279314,11.3035904544,104.82804535,9.9447430784,282.0247644,16.792570132,98.991192366,9.8517674352,165.091216044,12.658045638,220.37117536,14.778318992,353.0897575,18.7844923125,100.451143693333,9.985232541,101.38832443,10.0328797636667,101.3636274,10.0203640573333,104.41847589,10.165553718,97.49553244,9.844091166,99.0470941766667,9.950978039,99.2807064966667,9.94734049866667,100.543649386667,10.0262262106667,104.692118636667,10.2150383876667,98.8538697833333,9.932532726,0.73505215,0.857255118666667,10.6581338425,3.26438456625,534.575385533333,23.0919231933333,54.33418912
"mg",NA,NA,NA,NA,NA,119.637277498,10.7926037942,104.434995946,10.2144478476,107.207916098,10.3458500186,106.819861272,10.3298381852,110.2187225,10.4894290696,117.489837506,10.8189043568,NA,94.560860464,9.7137643332,128.164283788,11.2677017526,141.430643418,NA,11.8015460152,NA,111.449016606,10.5458684592,105.331941314,10.2591218438,134.09368845,11.4427413966,128.024842444,11.2459814756,167.81111848,12.946839564,111.083274368,10.5183140478,121.781972978,11.0058125816,99.988829348,9.9369724684,113.410375,10.648412225,133.67314295,11.53340112,127.45669495,11.276280485,138.246338,11.71755363,151.2457445,12.230819535,144.20899945,11.884165435,105.2406305,10.258679855,104.7754593,10.233376835,105.8525317,10.28775238,112.5787188,10.60414747,105.883187425,10.261398058,2.0908097115,1.444970197,3.71780254175,1.926616445,132.650873675,11.516152705,-8.8961606785
"mh",NA,NA,NA,NA,NA,89.392305802,9.362523984,101.997020736,10.0970984298,107.384245662,10.3264268732,91.124882394,9.5237064622,79.1097626625,8.833948949,80.43927831,8.85190910525,NA,101.1175649275,10.03946529675,164.843358652,12.658180642,121.36683342,NA,10.991900772,NA,98.978173572,9.938886575,106.19957009,10.3025886376,120.6013424,10.973979328,115.99331394,10.7606721328,180.14527548,13.403550278,228.18597748,14.954252172,153.35905286,12.329293698,327.409959375,18.0890715425,119.843022425,10.93771744,91.83204021,9.56199654333333,91.4327387833333,9.552902051,92.3139339433333,9.57636414633333,81.19927428,9.001869515,84.14031844,9.1645078,99.9206682033333,9.996021306,98.0188048733333,9.89661913533333,101.298470973333,10.0630530856667,91.2929312,9.53768745933333,94.9440949533333,9.72858276566667,1.33035599666667,1.05952811566667,2.69061459475,1.63958395625,130.7665237,11.39659288,2.86497035875
