"","","","Substrate","treatment","rep","NH4+ (µmol g-1 DW)","sqNH4+ (µmol g-1 DW)","NO3- (µmol g-1 DW)","sqNO3- (µmol g-1 DW)","NPOC (µmol g-1 DW)","sqNPOC (µmol g-1 DW)","TN (µmol g-1 DW)","sqTN (µmol g-1 DW)","C mic (µmol g-1 DW)","sqC mic (µmol g-1 DW)","N mic (µmol g-1 DW)","sqN mic (µmol g-1 DW)","","C/N mic","sqC/N mic","Exoglucan (pmol g-1 min-1)","sqExoglucan (pmol g-1 min-1)","Endochit (pmol g-1 min-1)","","sqEndochit (pmol g-1 min-1)","","Phosph (pmol g-1 min-1)","sqPhosph (pmol g-1 min-1)","Protease (nmol g-1 min-1)","sqProtease (nmol g-1 min-1)","phenoloxidase (µmol h-1 g-1 DW)","sqphenoloxidase (µmol h-1 g-1 DW)","peroxidase","sqperoxidase","Cellulase-act (µg gluc g-1 DW h-1)","sqCellulase-act (µg gluc g-1 DW h-1)","Protease-act (µg AS-N g-1 DW h-1)","sqProtease-act (µg AS-N g-1 DW h-1)","Bruttomineralisierung (µg NH4-N g-1 h-1)","sqBruttomineralisierung (µg NH4-N g-1 h-1)","Immobilisierung","sqImmobilisierung","Respiration","sqRespiration","Total bacteria(nmol %contr)","sqTotal bacteria(nmol %contr)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","Total bacteria(mol% in %kontr.)","sqTotal bacteria(mol% in %kontr.)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","APE13Cplfa","sqAPE13Cplfa","APE 13C total respiration","sqAPE 13C total respiration","Respired excess 13C (% of Microbial Biomass excess 13C)","sqRespired excess 13C (% of Microbial Biomass excess 13C)","Priming effect (% of control)"
"cg",NA,NA,NA,NA,NA,0.00600693028820987,0.000713078354155992,0.000672692728756877,4.06661812724754e-05,7.21676497009288e-09,4.59377807613083e-10,1.34208992497106e-07,8.29762460291931e-09,2.68972758178582e-05,1.74261046449481e-06,6.441897032602e-05,4.35446282824715e-06,NA,2.04766002893058e-07,1.26034468173698e-08,0.000943385090671585,7.81027209173366e-05,0.000766590528272867,NA,6.71961278586565e-05,NA,3.05929321583558e-05,2.22862541160913e-06,7.6908114205227e-05,4.73338220810666e-06,NA,NA,NA,NA,0.00374847310631842,0.000782462812188213,0.00990220079885698,0.00150153323597719,0.0265733207658352,0.0100884151278570,0.00445417236413931,0.00118150323140224,0.00274010710399411,0.000377390241913733,0.0333897668986867,0.0167874992978470,0.0623585963191238,0.0317954691363194,0.00917199280593829,0.00458790154328367,0.0105494453961906,0.00527762193293207,0.0115038264827537,0.00575567323686704,0.0129206348729536,0.00646564623292124,0.0423862950043404,0.0213835832634881,0.0119335095026250,0.00597095233639218,0.0105568524824051,0.00528133153364215,0.00960209406012721,0.00480323295866082,0.0157997376726959,0.00790961895038516,0.00374395917139135,0.000553435280123234,0.00222370207430789,0.000297659456970015,0.304543425887135
"ch",NA,NA,NA,NA,NA,0.000892103007575519,7.08829659853564e-05,0.00509095098380052,0.000438347206543268,0.000544668722844296,4.31331837026342e-05,0.000113868653546227,7.4003008367777e-06,0.000197122208422653,1.61329886161772e-05,0.000266141219173656,2.30778128053744e-05,NA,6.16193550832845e-07,4.04933265484986e-08,0.00164429786981412,0.000107693858520130,0.000670539113398855,NA,4.16311611795754e-05,NA,2.9025510924627e-07,1.78509740037096e-08,0.000230544951115616,1.46798864609365e-05,NA,NA,NA,NA,3.48286904694076e-06,2.25961530956212e-07,0.0110626310209649,0.000980294777063854,0.0106718071474711,0.00155665330394807,0.0378865726983863,0.0116471205192151,0.000245390405507804,3.16063339984596e-05,0.00918605292104352,0.00256198251201177,0.00444967650567022,0.00117725341410766,0.0132022980984273,0.00380354399580497,0.0104324977737161,0.00291258176976865,0.0141574910986590,0.00394502548706356,0.000243210352563704,6.14241959800071e-05,0.00252962991515153,0.000626141476037721,0.00045102413060204,0.000111566268754970,0.000367501040258883,9.2845349497328e-05,0.00156988501067168,0.000387813547607558,0.00691908744293138,0.00186411207348065,0.000239210331580939,2.96701676912837e-05,0.0182136399365999,0.00459139117692167,0.0563696755309824
"ck",NA,NA,NA,NA,NA,0.00377348681834928,0.000213229651278516,0.000318303388003804,2.25718127467301e-05,2.12450940528727e-06,1.42880639531974e-07,3.28008696006865e-06,2.21543936936446e-07,5.38429671768438e-06,3.53373795648083e-07,7.8057849030116e-06,5.05379886420484e-07,NA,7.64436003752617e-08,4.68084230114656e-09,0.00140971646828677,8.84482297188975e-05,3.65541104089255e-05,NA,2.30416142293764e-06,NA,8.98129848148284e-07,5.76100102571898e-08,0.000140738752605903,8.38764160710056e-06,NA,NA,NA,NA,7.33038865845856e-07,4.45394117337188e-08,0.0128066539064896,0.00107594367418106,0.00194088402660670,0.000123524614079875,0.0297652485091097,0.00314365607254800,8.92026734124944e-05,1.12094448568694e-05,0.0640771433446566,0.0327082280432446,0.131912369185075,0.0724913318949893,0.0270399524463533,0.0135690237291767,0.022268408437152,0.0111615509722340,0.00408962450630119,0.00204498102803541,0.0109251039252409,0.00546577232324214,0.0891150296446589,0.0464144585980565,0.0287700263077922,0.0144441330465314,0.0335072580088307,0.0168472315847174,0.0511072437841449,0.0258895180562108,0.0516206088294825,0.0261565629983256,0.000109326242770406,1.46894171225540e-05,0.000435142780034629,5.29672107833076e-05,0.178703023483348
"cl",NA,NA,NA,NA,NA,0.000616904956044243,4.60683957234074e-05,0.00133568249646337,0.000139318696521939,0.000606191868114515,4.77859385902542e-05,0.000156522215989845,1.20134729658090e-05,2.36066609178076e-05,1.5341836893117e-06,1.83913658220586e-05,1.15906976547219e-06,NA,1.02015786243077e-07,6.37613038998704e-09,0.000427063256318374,3.02069525960797e-05,0.000551876829176945,NA,3.57510091952804e-05,NA,9.1949130944641e-07,5.95716313694207e-08,0.000266261559274137,1.77736115896374e-05,NA,NA,NA,NA,6.62494391535839e-05,3.93633057272881e-06,0.0073897254102385,0.000705116667691569,0.0113494806424992,0.00287823921501374,0.129166999596432,0.0505249541492144,0.000237520348829926,2.81631358892402e-05,0.00976349384739956,0.00237965384749918,0.0210755241612631,0.00604240498753614,0.00923000092873038,0.00236276126801259,0.00697303324779179,0.00169539973730873,0.0069045232609795,0.00169673381255387,0.000956656124644498,0.000240495867955543,0.0147773848271372,0.00413725786791284,0.000499217175157855,0.000123372399211835,0.000710170096463254,0.000174793875685999,0.000255578953568538,6.42551172162036e-05,0.00304613384225748,0.00075753861846671,2.07258816134471e-05,2.62360776411907e-06,0.00974950178376232,0.00272625285744931,0.137465040849952
"gg",NA,NA,NA,NA,NA,0.0222671333819847,0.00208983249803616,0.000274634740743691,1.75283708141365e-05,6.24104403737978e-06,3.8316036913671e-07,4.60661039072668e-06,2.82164569499237e-07,8.26669860132416e-06,5.29327672682295e-07,3.87714485498882e-05,2.4494870425758e-06,NA,1.44782130648443e-06,8.71087507523036e-08,0.00109913674533358,8.52681306788683e-05,0.000719664278099132,NA,5.21234395035367e-05,NA,6.21009343356663e-06,4.33991630390086e-07,7.77539880079856e-05,4.58705661433676e-06,0.00349536099880576,0.000215506599904078,0.000829543997162256,5.11720128916804e-05,3.58091637683545e-06,2.17747849779157e-07,0.0139772028325615,0.00197303828148838,5.9668822513243e-05,4.33673741034356e-06,0.000576896398076848,4.02106034218296e-05,0.000161938268345038,2.05655183870773e-05,0.0647662609094661,0.0330751015748459,0.122743411218804,0.0665265345299765,0.0148711538939028,0.00744370496571321,0.00172453467533541,0.000862280091678233,0.00944640150982994,0.00472528204375798,0.0143590645371360,0.00718684841548074,0.0811486625350914,0.0419612524561642,0.0369642477892286,0.0186080195349724,0.0529157800356399,0.0268312573468911,0.0601598984256026,0.0306320655584967,0.0199716723777037,0.0100055498648819,5.48145548089067e-06,6.78857152664554e-07,7.11487735301299e-05,9.08136358547476e-06,0.169799129888105
"gh",NA,NA,NA,NA,NA,1.53293049448264e-05,9.427684823182e-07,5.86411020555291e-05,3.87582454235352e-06,4.66202648488117e-05,2.9172835833466e-06,4.05625015603441e-05,2.64435040354535e-06,0.000434417527500952,3.49495727808276e-05,0.000435458882755778,3.29146914038938e-05,NA,3.00572146149418e-06,1.87314169505787e-07,0.00081490547912259,6.67537906143251e-05,0.000191175515126845,NA,1.62285546667184e-05,NA,3.57420848463084e-05,2.15070203627272e-06,0.000228138126801014,1.49196054124277e-05,0.00255751326634975,0.000211115242587223,0.00273157362600396,0.000246237254720208,7.02981706313113e-06,4.23103264314932e-07,0.0188487915413886,0.00396515077930604,0.000324968921475345,2.40033151092816e-05,0.000102737804522546,6.80880342396033e-06,9.76126066908866e-06,1.22897171120842e-06,0.00530420626459795,0.00132273338174991,0.00841488071301186,0.00233747339687190,0.00634249637114552,0.00154693572563373,0.0020190160558951,0.000512761143547345,0.00299063090483005,0.000767968816909517,0.000794750562635378,0.000198435575230741,0.00756716053450056,0.00189247172924618,0.000127666850632577,3.21508652800544e-05,0.00165984159405059,0.000412485136504138,0.00180488981324624,0.000442197630437585,6.19098990024664e-05,1.54178467321452e-05,5.98880305447521e-06,7.50083379589093e-07,0.0110992591773371,0.0028445771948138,0.000338486832186888
"gk",NA,NA,NA,NA,NA,0.0381736848845526,0.0033025681826017,0.00560097839590884,0.000311866671671608,7.67293975257116e-06,5.45341795662141e-07,3.49723592785513e-05,2.36591180476981e-06,2.64717659536986e-06,1.66438906994832e-07,1.43074745985675e-05,8.94495581411419e-07,NA,1.21101070241669e-06,7.76548375822595e-08,6.56105132399449e-05,4.46783605484159e-06,0.00215558868383707,NA,0.000185193047239274,NA,1.07212569285494e-05,6.6776763967769e-07,7.41443593180556e-06,5.21944885716069e-07,0.000176169187964862,1.12914936671216e-05,3.05269563483804e-05,2.05025356485974e-06,1.78485710314789e-06,1.18893872401652e-07,0.000923514764281153,6.28331825814678e-05,0.00463207856350058,0.000673468881088431,0.00356861202652442,0.000555660479038728,1.78008570516492e-06,2.19526981696108e-07,0.00582808673025932,0.00142819311188595,0.0313753233249859,0.00848132384613037,0.000723397147431058,0.000179214559294337,0.00349993586688120,0.000924606450596464,0.00303393990335048,0.00080008922164134,0.000691640899368161,0.000174573116650461,0.0172626042148719,0.00467443392972922,0.000721405620151198,0.000183536237699474,0.00262408815260471,0.000644875706068588,0.00289547363997185,0.000706968240000155,0.00394159790181839,0.00095946220067224,0.000309648497906893,3.91098683604277e-05,4.97100606251659e-05,1.24600101267868e-05,0.164853728544609
"gl",NA,NA,NA,NA,NA,0.00130104121929145,7.20382433800184e-05,0.0196717794287332,0.00247934305092667,0.00054135285753451,3.86266105645697e-05,1.32240245105909e-05,8.68250769814506e-07,0.000120567760597913,7.13560839547794e-06,0.00112914388264521,6.81643354078052e-05,NA,3.43462251809025e-05,2.31239495106799e-06,0.00463378062258698,0.000427897620043969,0.000621497653557236,NA,4.20732286356734e-05,NA,1.36752038319263e-06,8.26530488540025e-08,0.00264766588789226,0.000186510027232558,0.00740806623781591,0.00104574014080016,0.0046555730960484,0.000611721343999045,4.53818306947616e-08,2.78205817117471e-09,0.00105591627253541,7.20299739488063e-05,0.00157957316438477,0.000164457242313461,0.000212626832443118,1.50664110076358e-05,2.84888851063749e-05,3.58879382341635e-06,0.00735016104687825,0.00186077029954207,0.00740676225580887,0.00180239086822051,0.00883798977377193,0.00236326399580275,0.0106396339449449,0.00259245447310918,0.00621589383637987,0.00151364642986783,0.000250661810061813,6.34339753229185e-05,0.00321802209345522,0.00083450271706576,0.000181547091959695,4.58462984472418e-05,0.00312387776805175,0.000824785738968983,0.00197400758886661,0.000502669713734285,0.000226107327394796,5.6397535943232e-05,4.07061872739807e-06,5.16019711605066e-07,0.00250001437917314,0.000626341809597259,0.00226004498720308
"mg",NA,NA,NA,NA,NA,0.00242709234525836,0.000131726352966608,2.56139271720376e-06,1.72144176579766e-07,6.9958938576758e-06,4.78973346912713e-07,3.54630388973843e-06,2.1477210398987e-07,8.64865850470867e-06,5.61032664062273e-07,4.13291812107675e-05,2.64673077456187e-06,NA,1.44979107229614e-05,8.70220162199397e-07,0.000230535442109008,1.65765162008411e-05,0.000559073922767288,NA,4.37206410518520e-05,NA,1.29607441502201e-05,8.2485423104116e-07,1.82597579437089e-06,1.14664850159222e-07,0.00153096381571862,0.000104778701292138,0.000361017136406548,2.76933982359153e-05,3.92726209015333e-06,2.41628931829650e-07,4.83865691587656e-05,3.05852377528185e-06,7.62920414959636e-05,5.41817227339298e-06,0.000494994033899839,2.92101185690186e-05,4.50016035330088e-06,5.61377098391774e-07,0.0441287351529793,0.0222795124850647,0.0308646722630778,0.015505400066599,0.0519943000324442,0.0263510882302464,0.06525561629868,0.033335932672778,0.0881725590980918,0.0458824945760486,0.000674668237477649,0.000337334950970534,0.0143664702509071,0.00719056254310521,0.00749586251322137,0.00374897090661459,0.0216516942430332,0.0108509790280139,0.0469222629021831,0.0237202749456705,0.0235308127670806,0.0117976864813945,0.000102493879220230,1.359848157106e-05,5.50628389112167e-06,6.89561220807051e-07,0.00390825613169217
"mh",NA,NA,NA,NA,NA,0.00108409168099967,7.1130805256585e-05,6.14811817530172e-07,3.75212650865325e-08,0.000117274341981847,9.14691521507673e-06,5.40065760132811e-05,4.06372114905782e-06,0.00215047256660525,0.000335689185635576,0.00520838267780285,0.000891237388442362,NA,0.000318061837964493,3.90091969848531e-05,0.00147384158489257,0.000148278233005345,5.84008834854454e-05,NA,3.78588201082438e-06,NA,1.10708019091094e-05,7.41055532832163e-07,8.31071976280107e-07,5.25876720725294e-08,5.60213159014102e-06,3.86544962696785e-07,7.91138939024186e-06,5.64748238543593e-07,2.29758412608336e-05,1.38914147889139e-06,0.00102835931053569,7.52602073726317e-05,0.000213089953170687,1.45198276020167e-05,2.39881128260272e-05,3.09565610186380e-06,0.000127135889431009,1.55026907440800e-05,0.00442530772307176,0.00109084865188288,0.00195479702715748,0.00047817891627122,0.00658889518721791,0.00164705750628691,0.00197582424999680,0.000510177130050074,0.00176343280054157,0.00045217336331924,2.26231006185262e-06,5.66038402390989e-07,0.00078171018295793,0.000193200622169577,0.000326406460562276,8.25193041460414e-05,0.00366284834242768,0.000892017871298124,0.00322900794410866,0.00078732575846959,0.0746958536455997,0.040697769808361,4.64380510099906e-05,5.58085908471969e-06,0.0517116115673852,0.0262039246425472,0.318736599247026
