"name","site","harvest","G","S","FA","A","C","N","SCC","LIG"
"E1-AK-0-A","AK",0,0.1391122077,0.0475467413,0.1909950728,0.2790516928,0.0866271058,0.0354973975,0.2211697821,0.186658949
"E1-AK-0-B","AK",0,0.1495914955,0.0452795558,0.1972647742,0.2947633145,0.0997488839,0.0134063573,0.1999456187,0.1948710513
"E1-AK-0-C","AK",0,0.1264357432,0.0385033107,0.1803077356,0.2571054598,0.0760024089,0.0717209007,0.2499244412,0.1649390539
"E1-AK-0-D","AK",0,0.1439499048,0.0426844856,0.186949897,0.2825685057,0.0994849165,0.0281947641,0.2161675262,0.1866343904
"E1-AK-2-A","AK",2,0.1111012172,0.0503882922,0.1885146241,0.3005212656,0.0952422833,0.0236004708,0.2306318468,0.1614895093
"E1-AK-2-B","AK",2,0.1251836649,0.0400337772,0.1714970619,0.264143202,0.0915247843,0.0670603681,0.2405571416,0.1652174421
"E1-AK-2-C","AK",2,0.1199336768,0.0501930489,0.1643265674,0.3070346731,0.105488362,0.0216027432,0.2314209285,0.1701267258
"E1-AK-2-D","AK",2,0.1291209378,0.049098601,0.1802352004,0.2882987474,0.1025170398,0.0273149085,0.2234145652,0.1782195388
"E1-AK-2-E","AK",2,0.1192448757,0.0485614603,0.1776319741,0.2869496281,0.0921257008,0.0399015133,0.2355848476,0.1678063361
"E1-AK-3-A","AK",3,0.1241245718,0.0526146831,0.1646542866,0.3057642047,0.1058769587,0.0173209562,0.2296443391,0.1767392549
"E1-AK-3-B","AK",3,0.1274494501,0.0498587228,0.1751673006,0.3136344555,0.0913035466,0.0190412438,0.2235452805,0.1773081729
"E1-AK-3-C","AK",3,0.135965293,0.0477985003,0.1787212261,0.3029651737,0.0928303484,0.0263875022,0.2153319563,0.1837637933
"E1-AK-3-D","AK",3,0.1183783814,0.0536366863,0.1760147444,0.3199654385,0.1084368675,0.0111082937,0.2124595881,0.1720150678
"E1-AK-3-E","AK",3,0.1135598504,0.0491361777,0.17827511,0.2746705106,0.087951367,0.0782333966,0.2181735878,0.1626960281
"E1-AK-4-A","AK",4,0.1104999294,0.0544707083,0.1680474015,0.3192020789,0.1153972797,0.0105763372,0.2218062649,0.1649706378
"E1-AK-4-B","AK",4,0.1406668833,0.0543773266,0.164106354,0.3220749354,0.1023780173,0.0130382427,0.2033582407,0.1950442099
"E1-AK-4-C","AK",4,0.135966948,0.0463655856,0.1689775845,0.3028405477,0.0849679184,0.0451096467,0.215771769,0.1823325336
"E1-AK-4-D","AK",4,0.1252178905,0.0404046768,0.1883568843,0.2777505137,0.0591604952,0.0783686413,0.2307408981,0.1656225673
"E1-AK-4-E","AK",4,0.1444319552,0.0470696639,0.1870617601,0.3184970888,0.0822908129,0.0245846715,0.1960640476,0.1915016191
"E1-KL-0-A","KL",0,0.1182199746,0.0460550018,0.1915695894,0.2766627338,0.0770931689,0.0518070956,0.2385924358,0.1642749765
"E1-KL-0-B","KL",0,0.1013858204,0.0470823402,0.1781391648,0.2629143193,0.0851262436,0.0662418071,0.2591103047,0.1484681605
"E1-KL-0-D","KL",0,0.1133073947,0.0551700747,0.200242627,0.3007382219,0.1100152671,0.0073589785,0.2131674361,0.1684774694
"E1-KL-2-A","KL",2,0.1049580421,0.050095881,0.1812698931,0.2929995342,0.0847273994,0.0418784635,0.2440707867,0.1550539231
"E1-KL-2-B","KL",2,0.1173381526,0.0515120004,0.1758115865,0.3024552404,0.088566521,0.0304497196,0.2338667796,0.168850153
"E1-KL-2-C","KL",2,0.1198989547,0.0465514322,0.1808738972,0.2777511154,0.0750575487,0.0600479656,0.239819086,0.166450387
"E1-KL-2-D","KL",2,0.0919961878,0.0433651781,0.1748356101,0.2675395194,0.0734426746,0.088187086,0.2606337441,0.1353613659
"E1-KL-3-A","KL",3,0.1057843456,0.0465122065,0.1803594616,0.2907344772,0.0740562078,0.0590231468,0.2435301544,0.1522965521
"E1-KL-3-B","KL",3,0.1216452107,0.0519740399,0.1655245189,0.3155425903,0.092582157,0.0252092233,0.2275222599,0.1736192506
"E1-KL-3-C","KL",3,0.0988556125,0.0412374204,0.1587331792,0.242653222,0.0640823842,0.1095746223,0.2848635594,0.1400930329
"E1-KL-3-D","KL",3,0.1167915132,0.0486154827,0.1809290287,0.2971034648,0.0782796496,0.0458873458,0.2323935152,0.1654069959
"E1-KL-3-E","KL",3,0.1256935456,0.0540048519,0.1654782968,0.307559815,0.0964600522,0.0209893949,0.2298140435,0.1796983975
"E1-KL-4-A","KL",4,0.1219264059,0.0427502959,0.19754588,0.2661853036,0.0621232769,0.076800659,0.2326681787,0.1646767017
"E1-KL-4-B","KL",4,0.1197621406,0.0488764502,0.1895682358,0.2799501651,0.0770215273,0.0508481939,0.2339732871,0.1686385908
"E1-KL-4-C","KL",4,0.1414056464,0.0530565836,0.1858809405,0.2983301564,0.0846429113,0.0172319859,0.2194517758,0.19446223
"E1-KL-4-D","KL",4,0.1371955457,0.0529779379,0.1822006826,0.3079519674,0.0908668242,0.0122278642,0.216579178,0.1901734836
"E1-KL-4-E","KL",4,0.1291149907,0.0471511405,0.1808493691,0.2840772122,0.0775894575,0.0420147391,0.2392030909,0.1762661312
"E1-OS-0-A","OS",0,0.1509960415,0.0537228642,0.2068407216,0.2155784955,0.0981750606,0.0221375845,0.2525492321,0.2047189057
"E1-OS-0-B","OS",0,0.1097931578,0.0373094498,0.1814533564,0.2003425552,0.064753602,0.1164474749,0.289900404,0.1471026075
"E1-OS-0-C","OS",0,0.1302607064,0.0396192408,0.1904128571,0.2401157187,0.0714786718,0.0830747394,0.2450380659,0.1698799472
"E1-OS-0-D","OS",0,0.1308444029,0.0499546725,0.2059681412,0.2584577538,0.0911633636,0.0376178936,0.2259937725,0.1807990754
"E1-OS-2-A","OS",2,0.1475767801,0.0495621027,0.1837880873,0.2430557401,0.1089643499,0.029284653,0.2377682869,0.1971388828
"E1-OS-2-B","OS",2,0.137478233,0.0473179213,0.191045464,0.2423505652,0.1017660986,0.0409450886,0.2390966292,0.1847961543
"E1-OS-2-C","OS",2,0.1287605996,0.0418474618,0.1853056549,0.2544393535,0.0704644818,0.0806398739,0.2385425744,0.1706080614
"E1-OS-2-D","OS",2,0.1315729999,0.0578615087,0.1766157781,0.2800347813,0.1072109184,0.0165846844,0.2301193293,0.1894345086
"E1-OS-2-E","OS",2,0.1364549706,0.0461008942,0.1946588814,0.2481025963,0.0807690753,0.0680266836,0.2258868986,0.1825558648
"E1-OS-3-A","OS",3,0.1359811884,0.0585049783,0.1539292599,0.285429139,0.116791036,0.0126592101,0.2367051883,0.1944861667
"E1-OS-3-B","OS",3,0.1447238717,0.0529495057,0.1718930451,0.2715253301,0.1060661609,0.0310392087,0.2218028779,0.1976733773
"E1-OS-3-C","OS",3,0.1462810388,0.0557377622,0.1765497625,0.2815371952,0.1046615415,0.0231125496,0.2121201501,0.202018801
"E1-OS-3-D","OS",3,0.138765681,0.0628937177,0.1828883736,0.2825583542,0.1232914896,0.0111558926,0.1984464912,0.2016593987
"E1-OS-3-E","OS",3,0.1361191235,0.055260615,0.179962482,0.2825420667,0.1029451167,0.0208850078,0.2222855883,0.1913797385
"E1-OS-4-A","OS",4,0.1478688783,0.0542165208,0.1890261277,0.2718361921,0.0972448787,0.0292366972,0.2105707054,0.2020853991
"E1-OS-4-B","OS",4,0.1376011759,0.0470274894,0.1514005111,0.2618931518,0.102290654,0.0410008921,0.2587861257,0.1846286653
"E1-OS-4-C","OS",4,0.1108212651,0.0478299028,0.1676832883,0.3336592377,0.0809812229,0.0512545972,0.2077704862,0.1586511678
"E1-OS-4-D","OS",4,0.133259233,0.0569015314,0.1927017503,0.2746431701,0.0906294984,0.0384644959,0.2134003209,0.1901607643
"E1-OS-4-E","OS",4,0.13034614,0.0561334096,0.1671917842,0.3084466265,0.0988932081,0.0172904058,0.2216984259,0.1864795495
"E1-SW-0-A","SW",0,0.1376050954,0.0549425667,0.2024969268,0.2715353848,0.0923376829,0.0271318361,0.2139505073,0.1925476621
"E1-SW-0-B","SW",0,0.1294498436,0.0611052084,0.1820913827,0.2838833512,0.1102691249,0.0093932393,0.22380785,0.1905550519
"E1-SW-0-C","SW",0,0.1399345594,0.0560813577,0.1907444076,0.2591354999,0.1052895642,0.0186804348,0.2301341763,0.1960159171
"E1-SW-0-D","SW",0,0.1288283321,0.0523456774,0.2294316115,0.2229658519,0.0935321258,0.0605728213,0.21232358,0.1811740095
"E1-SW-2-A","SW",2,0.1346531998,0.0517413031,0.2243277571,0.2822135754,0.0785684556,0.0313929729,0.1971027361,0.1863945029
"E1-SW-2-B","SW",2,0.1229331663,0.0478317176,0.2080284948,0.2348296476,0.0715107368,0.0742184445,0.2406477923,0.1707648839
"E1-SW-2-C","SW",2,0.1418556521,0.0585466346,0.1792673553,0.2919834429,0.1020026865,0.0188813369,0.2074628918,0.2004022867
"E1-SW-2-D","SW",2,0.144443308,0.0559427915,0.2235667861,0.2625529275,0.0897890347,0.0244098694,0.1992952828,0.2003860996
"E1-SW-2-E","SW",2,0.1208541108,0.0495287854,0.2034305883,0.2264065721,0.0894034294,0.0673399325,0.2430365814,0.1703828963
"E1-SW-3-A","SW",3,0.1476172457,0.0597659738,0.1672916232,0.2645622448,0.1060992174,0.0112221766,0.2434415185,0.2073832195
"E1-SW-3-B","SW",3,0.1365329394,0.043211241,0.2055989734,0.249541603,0.061939828,0.071753672,0.2314217431,0.1797441804
"E1-SW-3-C","SW",3,0.1429713705,0.0562604309,0.2131128415,0.2504646887,0.0869314826,0.0368027499,0.213456436,0.1992318014
"E1-SW-3-D","SW",3,0.1580926872,0.0563030484,0.1756070569,0.2739378462,0.1129065251,0.0142249221,0.2089279141,0.2143957356
"E1-SW-3-E","SW",3,0.145096957,0.0436672934,0.1915336332,0.233752722,0.079540763,0.0549505234,0.2514581081,0.1887642503
"E1-SW-4-A","SW",4,0.1437535558,0.0473223729,0.2002979161,0.252873539,0.0842543795,0.0556549465,0.2158432901,0.1910759287
"E1-SW-4-B","SW",4,0.1532308726,0.0533411643,0.2041392585,0.273043643,0.0962189177,0.025647814,0.1943783299,0.206572037
"E1-SW-4-C","SW",4,0.1558425348,0.0542590859,0.1911451558,0.2719304459,0.1066159409,0.0138600902,0.2063467466,0.2101016207
"E1-SW-4-D","SW",4,0.1306323354,0.0388063018,0.2160456893,0.2327706449,0.0443783043,0.0653382123,0.272028512,0.1694386372
"E1-SW-4-E","SW",4,0.1370940857,0.0445678734,0.2021334952,0.2562995924,0.0658353233,0.0741526052,0.2199170248,0.1816619591
